=> Saving data in Logs/FRL~try=749
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.9
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  FRL_defense_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.1607 test loss 2.241267 best test_acc 0.1607
e 1 | malicious users: 5 | test acc 0.3791 test loss 1.947004 best test_acc 0.3791
e 2 | malicious users: 5 | test acc 0.3430 test loss 1.852294 best test_acc 0.3791
e 3 | malicious users: 5 | test acc 0.4531 test loss 1.721993 best test_acc 0.4531
e 4 | malicious users: 5 | test acc 0.6080 test loss 1.241645 best test_acc 0.6080
e 5 | malicious users: 5 | test acc 0.6688 test loss 1.164684 best test_acc 0.6688
e 6 | malicious users: 5 | test acc 0.5981 test loss 1.318540 best test_acc 0.6688
e 7 | malicious users: 5 | test acc 0.6529 test loss 1.098426 best test_acc 0.6688
e 8 | malicious users: 5 | test acc 0.6670 test loss 1.089476 best test_acc 0.6688
e 9 | malicious users: 5 | test acc 0.5893 test loss 1.077140 best test_acc 0.6688
e 10 | malicious users: 5 | test acc 0.7196 test loss 0.941402 best test_acc 0.7196
e 11 | malicious users: 5 | test acc 0.6639 test loss 0.963984 best test_acc 0.7196
e 12 | malicious users: 5 | test acc 0.7918 test loss 0.781033 best test_acc 0.7918
e 13 | malicious users: 5 | test acc 0.7262 test loss 0.885608 best test_acc 0.7918
e 14 | malicious users: 5 | test acc 0.7679 test loss 0.714697 best test_acc 0.7918
e 15 | malicious users: 5 | test acc 0.7998 test loss 0.650967 best test_acc 0.7998
e 16 | malicious users: 5 | test acc 0.7022 test loss 0.861650 best test_acc 0.7998
e 17 | malicious users: 5 | test acc 0.6709 test loss 0.807884 best test_acc 0.7998
e 18 | malicious users: 5 | test acc 0.7725 test loss 0.953576 best test_acc 0.7998
e 19 | malicious users: 5 | test acc 0.6803 test loss 0.908579 best test_acc 0.7998
e 20 | malicious users: 5 | test acc 0.7344 test loss 0.847508 best test_acc 0.7998
e 21 | malicious users: 5 | test acc 0.7326 test loss 0.874148 best test_acc 0.7998
e 22 | malicious users: 5 | test acc 0.7973 test loss 0.805543 best test_acc 0.7998
e 23 | malicious users: 5 | test acc 0.7575 test loss 0.758058 best test_acc 0.7998
e 24 | malicious users: 5 | test acc 0.8149 test loss 0.579021 best test_acc 0.8149
e 25 | malicious users: 5 | test acc 0.7008 test loss 0.828469 best test_acc 0.8149
e 26 | malicious users: 5 | test acc 0.8119 test loss 0.611470 best test_acc 0.8149
e 27 | malicious users: 5 | test acc 0.7353 test loss 0.755298 best test_acc 0.8149
e 28 | malicious users: 5 | test acc 0.7379 test loss 0.782243 best test_acc 0.8149
e 29 | malicious users: 5 | test acc 0.8028 test loss 0.684543 best test_acc 0.8149
e 30 | malicious users: 5 | test acc 0.7143 test loss 0.818044 best test_acc 0.8149
e 31 | malicious users: 5 | test acc 0.7865 test loss 0.711918 best test_acc 0.8149
e 32 | malicious users: 5 | test acc 0.6930 test loss 0.953574 best test_acc 0.8149
e 33 | malicious users: 5 | test acc 0.6632 test loss 0.911921 best test_acc 0.8149
e 34 | malicious users: 5 | test acc 0.6680 test loss 0.891591 best test_acc 0.8149
e 35 | malicious users: 5 | test acc 0.8533 test loss 0.669804 best test_acc 0.8533
e 36 | malicious users: 5 | test acc 0.8875 test loss 0.409020 best test_acc 0.8875
e 37 | malicious users: 5 | test acc 0.5754 test loss 1.079054 best test_acc 0.8875
e 38 | malicious users: 5 | test acc 0.7655 test loss 0.578032 best test_acc 0.8875
