=> Saving data in Logs/FRL~try=649
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  1
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.25 | total number of malicious clients: 250
e 0 | malicious users: 8 | test acc 0.1013 test loss 2.277910 best test_acc 0.1013
e 1 | malicious users: 7 | test acc 0.1582 test loss 2.160578 best test_acc 0.1582
e 2 | malicious users: 7 | test acc 0.3728 test loss 1.981129 best test_acc 0.3728
e 3 | malicious users: 8 | test acc 0.4486 test loss 1.624362 best test_acc 0.4486
e 4 | malicious users: 3 | test acc 0.5021 test loss 1.482898 best test_acc 0.5021
e 5 | malicious users: 7 | test acc 0.5471 test loss 1.300485 best test_acc 0.5471
e 6 | malicious users: 4 | test acc 0.6977 test loss 1.249208 best test_acc 0.6977
e 7 | malicious users: 12 | test acc 0.5598 test loss 1.194769 best test_acc 0.6977
e 8 | malicious users: 6 | test acc 0.7237 test loss 0.834217 best test_acc 0.7237
e 9 | malicious users: 5 | test acc 0.6645 test loss 0.957847 best test_acc 0.7237
e 10 | malicious users: 9 | test acc 0.7433 test loss 0.864869 best test_acc 0.7433
e 11 | malicious users: 7 | test acc 0.7076 test loss 0.846367 best test_acc 0.7433
e 12 | malicious users: 9 | test acc 0.6720 test loss 0.965682 best test_acc 0.7433
e 13 | malicious users: 4 | test acc 0.7886 test loss 0.720322 best test_acc 0.7886
e 14 | malicious users: 7 | test acc 0.7769 test loss 0.827461 best test_acc 0.7886
e 15 | malicious users: 7 | test acc 0.7499 test loss 0.874684 best test_acc 0.7886
e 16 | malicious users: 2 | test acc 0.7793 test loss 0.769470 best test_acc 0.7886
e 17 | malicious users: 6 | test acc 0.7513 test loss 0.661264 best test_acc 0.7886
e 18 | malicious users: 7 | test acc 0.8291 test loss 0.608420 best test_acc 0.8291
e 19 | malicious users: 6 | test acc 0.8368 test loss 0.704386 best test_acc 0.8368
e 20 | malicious users: 5 | test acc 0.8389 test loss 0.556913 best test_acc 0.8389
e 21 | malicious users: 10 | test acc 0.8140 test loss 0.696962 best test_acc 0.8389
e 22 | malicious users: 6 | test acc 0.7476 test loss 0.728678 best test_acc 0.8389
e 23 | malicious users: 4 | test acc 0.7530 test loss 0.692530 best test_acc 0.8389
e 24 | malicious users: 3 | test acc 0.7790 test loss 0.793039 best test_acc 0.8389
e 25 | malicious users: 7 | test acc 0.7069 test loss 0.808250 best test_acc 0.8389
e 26 | malicious users: 9 | test acc 0.8478 test loss 0.540336 best test_acc 0.8478
e 27 | malicious users: 4 | test acc 0.8100 test loss 0.703182 best test_acc 0.8478
e 28 | malicious users: 4 | test acc 0.8753 test loss 0.545035 best test_acc 0.8753
e 29 | malicious users: 5 | test acc 0.8221 test loss 0.526781 best test_acc 0.8753
e 30 | malicious users: 6 | test acc 0.8720 test loss 0.515186 best test_acc 0.8753
e 31 | malicious users: 8 | test acc 0.7999 test loss 0.662984 best test_acc 0.8753
e 32 | malicious users: 9 | test acc 0.8443 test loss 0.578401 best test_acc 0.8753
e 33 | malicious users: 8 | test acc 0.7503 test loss 0.722956 best test_acc 0.8753
e 34 | malicious users: 11 | test acc 0.8481 test loss 0.585533 best test_acc 0.8753
e 35 | malicious users: 3 | test acc 0.9044 test loss 0.429000 best test_acc 0.9044
e 36 | malicious users: 6 | test acc 0.7773 test loss 0.679073 best test_acc 0.9044
e 37 | malicious users: 5 | test acc 0.7816 test loss 0.635976 best test_acc 0.9044
e 38 | malicious users: 6 | test acc 0.8229 test loss 0.599749 best test_acc 0.9044
e 39 | malicious users: 6 | test acc 0.9245 test loss 0.297427 best test_acc 0.9245
e 40 | malicious users: 8 | test acc 0.8411 test loss 0.627643 best test_acc 0.9245
e 41 | malicious users: 5 | test acc 0.8891 test loss 0.438634 best test_acc 0.9245
e 42 | malicious users: 4 | test acc 0.8301 test loss 0.610603 best test_acc 0.9245
e 43 | malicious users: 7 | test acc 0.8556 test loss 0.501079 best test_acc 0.9245
e 44 | malicious users: 5 | test acc 0.7186 test loss 0.958434 best test_acc 0.9245
e 45 | malicious users: 5 | test acc 0.7734 test loss 0.619855 best test_acc 0.9245
e 46 | malicious users: 5 | test acc 0.7479 test loss 0.657527 best test_acc 0.9245
e 47 | malicious users: 9 | test acc 0.7609 test loss 0.866223 best test_acc 0.9245
e 48 | malicious users: 4 | test acc 0.6842 test loss 0.931562 best test_acc 0.9245
e 49 | malicious users: 8 | test acc 0.7720 test loss 0.685960 best test_acc 0.9245
e 50 | malicious users: 6 | test acc 0.8652 test loss 0.579632 best test_acc 0.9245
e 51 | malicious users: 3 | test acc 0.8942 test loss 0.515391 best test_acc 0.9245
e 52 | malicious users: 8 | test acc 0.8999 test loss 0.380396 best test_acc 0.9245
e 53 | malicious users: 3 | test acc 0.8140 test loss 0.584294 best test_acc 0.9245
e 54 | malicious users: 7 | test acc 0.8766 test loss 0.438697 best test_acc 0.9245
e 55 | malicious users: 9 | test acc 0.8475 test loss 0.561037 best test_acc 0.9245
e 56 | malicious users: 9 | test acc 0.7933 test loss 0.756503 best test_acc 0.9245
e 57 | malicious users: 6 | test acc 0.8718 test loss 0.645823 best test_acc 0.9245
e 58 | malicious users: 6 | test acc 0.8518 test loss 0.522560 best test_acc 0.9245
e 59 | malicious users: 7 | test acc 0.8121 test loss 0.717305 best test_acc 0.9245
e 60 | malicious users: 5 | test acc 0.7713 test loss 0.755394 best test_acc 0.9245
e 61 | malicious users: 6 | test acc 0.8425 test loss 0.479782 best test_acc 0.9245
e 62 | malicious users: 5 | test acc 0.7439 test loss 0.775362 best test_acc 0.9245
e 63 | malicious users: 6 | test acc 0.8908 test loss 0.465346 best test_acc 0.9245
e 64 | malicious users: 3 | test acc 0.8208 test loss 0.560084 best test_acc 0.9245
e 65 | malicious users: 9 | test acc 0.8056 test loss 0.586819 best test_acc 0.9245
e 66 | malicious users: 8 | test acc 0.8591 test loss 0.689636 best test_acc 0.9245
e 67 | malicious users: 6 | test acc 0.8277 test loss 0.606972 best test_acc 0.9245
e 68 | malicious users: 3 | test acc 0.8704 test loss 0.475137 best test_acc 0.9245
e 69 | malicious users: 4 | test acc 0.8443 test loss 0.491715 best test_acc 0.9245
e 70 | malicious users: 7 | test acc 0.8928 test loss 0.428602 best test_acc 0.9245
e 71 | malicious users: 8 | test acc 0.8320 test loss 0.673742 best test_acc 0.9245
e 72 | malicious users: 6 | test acc 0.9093 test loss 0.467935 best test_acc 0.9245
e 73 | malicious users: 8 | test acc 0.7452 test loss 0.811890 best test_acc 0.9245
e 74 | malicious users: 5 | test acc 0.7361 test loss 0.721963 best test_acc 0.9245
e 75 | malicious users: 5 | test acc 0.7227 test loss 0.812943 best test_acc 0.9245
e 76 | malicious users: 5 | test acc 0.7278 test loss 0.707153 best test_acc 0.9245
e 77 | malicious users: 5 | test acc 0.8068 test loss 0.610441 best test_acc 0.9245
e 78 | malicious users: 5 | test acc 0.8587 test loss 0.557591 best test_acc 0.9245
e 79 | malicious users: 2 | test acc 0.8277 test loss 0.555954 best test_acc 0.9245
e 80 | malicious users: 5 | test acc 0.9156 test loss 0.333367 best test_acc 0.9245
e 81 | malicious users: 7 | test acc 0.8144 test loss 0.643959 best test_acc 0.9245
e 82 | malicious users: 6 | test acc 0.9024 test loss 0.438149 best test_acc 0.9245
e 83 | malicious users: 10 | test acc 0.9181 test loss 0.430708 best test_acc 0.9245
e 84 | malicious users: 8 | test acc 0.8447 test loss 0.510816 best test_acc 0.9245
e 85 | malicious users: 5 | test acc 0.8244 test loss 0.617257 best test_acc 0.9245
e 86 | malicious users: 3 | test acc 0.8207 test loss 0.611540 best test_acc 0.9245
e 87 | malicious users: 7 | test acc 0.8633 test loss 0.429882 best test_acc 0.9245
e 88 | malicious users: 5 | test acc 0.8425 test loss 0.567758 best test_acc 0.9245
e 89 | malicious users: 9 | test acc 0.7845 test loss 0.674132 best test_acc 0.9245
e 90 | malicious users: 4 | test acc 0.8608 test loss 0.749395 best test_acc 0.9245
e 91 | malicious users: 7 | test acc 0.8725 test loss 0.436789 best test_acc 0.9245
e 92 | malicious users: 8 | test acc 0.8822 test loss 0.511171 best test_acc 0.9245
e 93 | malicious users: 10 | test acc 0.8110 test loss 0.625500 best test_acc 0.9245
e 94 | malicious users: 2 | test acc 0.8220 test loss 0.581735 best test_acc 0.9245
e 95 | malicious users: 5 | test acc 0.8177 test loss 0.637449 best test_acc 0.9245
e 96 | malicious users: 7 | test acc 0.8678 test loss 0.509770 best test_acc 0.9245
e 97 | malicious users: 7 | test acc 0.7800 test loss 0.645213 best test_acc 0.9245
e 98 | malicious users: 10 | test acc 0.8328 test loss 0.655300 best test_acc 0.9245
e 99 | malicious users: 6 | test acc 0.9060 test loss 0.526954 best test_acc 0.9245
e 100 | malicious users: 7 | test acc 0.8471 test loss 0.570487 best test_acc 0.9245
e 101 | malicious users: 7 | test acc 0.7943 test loss 0.677984 best test_acc 0.9245
e 102 | malicious users: 4 | test acc 0.8001 test loss 0.701548 best test_acc 0.9245
e 103 | malicious users: 5 | test acc 0.8356 test loss 0.507753 best test_acc 0.9245
e 104 | malicious users: 4 | test acc 0.8772 test loss 0.562834 best test_acc 0.9245
e 105 | malicious users: 9 | test acc 0.7802 test loss 0.661800 best test_acc 0.9245
e 106 | malicious users: 7 | test acc 0.8638 test loss 0.471999 best test_acc 0.9245
e 107 | malicious users: 4 | test acc 0.7972 test loss 0.662038 best test_acc 0.9245
e 108 | malicious users: 8 | test acc 0.8686 test loss 0.562956 best test_acc 0.9245
e 109 | malicious users: 6 | test acc 0.8903 test loss 0.482552 best test_acc 0.9245
e 110 | malicious users: 5 | test acc 0.7565 test loss 0.731696 best test_acc 0.9245
e 111 | malicious users: 7 | test acc 0.7713 test loss 0.617752 best test_acc 0.9245
e 112 | malicious users: 4 | test acc 0.8360 test loss 0.655647 best test_acc 0.9245
e 113 | malicious users: 4 | test acc 0.8258 test loss 0.571124 best test_acc 0.9245
e 114 | malicious users: 8 | test acc 0.8019 test loss 0.626926 best test_acc 0.9245
e 115 | malicious users: 3 | test acc 0.8278 test loss 0.472537 best test_acc 0.9245
e 116 | malicious users: 6 | test acc 0.8440 test loss 0.547258 best test_acc 0.9245
e 117 | malicious users: 9 | test acc 0.8656 test loss 0.468578 best test_acc 0.9245
e 118 | malicious users: 9 | test acc 0.8228 test loss 0.522450 best test_acc 0.9245
e 119 | malicious users: 6 | test acc 0.8978 test loss 0.395158 best test_acc 0.9245
e 120 | malicious users: 3 | test acc 0.8453 test loss 0.525635 best test_acc 0.9245
e 121 | malicious users: 6 | test acc 0.8128 test loss 0.626756 best test_acc 0.9245
e 122 | malicious users: 6 | test acc 0.7447 test loss 0.773802 best test_acc 0.9245
e 123 | malicious users: 5 | test acc 0.8800 test loss 0.426293 best test_acc 0.9245
e 124 | malicious users: 5 | test acc 0.7944 test loss 0.681380 best test_acc 0.9245
e 125 | malicious users: 2 | test acc 0.8598 test loss 0.471065 best test_acc 0.9245
