=> Saving data in Logs/FRL~try=513
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.1
batch size is :  8
test batch size is:  128
10
84
87
98
127
143
179
234
398
400
414
427
473
512
524
534
558
574
582
671
734
767
820
823
876
881
889
921
958
use_cuda:  True
type of FL:  FRL_label_flip
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
/home/test/anaconda3/envs/FRL_test/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:138: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
e 64 | malicious users: 7 | test acc 0.8091 test loss 1.052009 best test_acc 0.8697
e 65 | malicious users: 5 | test acc 0.8349 test loss 1.108784 best test_acc 0.8697
e 66 | malicious users: 3 | test acc 0.7948 test loss 1.024982 best test_acc 0.8697
e 67 | malicious users: 3 | test acc 0.8501 test loss 0.963260 best test_acc 0.8697
e 68 | malicious users: 3 | test acc 0.7987 test loss 0.974368 best test_acc 0.8697
e 69 | malicious users: 4 | test acc 0.8419 test loss 1.046138 best test_acc 0.8697
e 70 | malicious users: 7 | test acc 0.8033 test loss 1.180559 best test_acc 0.8697
e 71 | malicious users: 7 | test acc 0.7539 test loss 1.111369 best test_acc 0.8697
e 72 | malicious users: 6 | test acc 0.6942 test loss 1.245456 best test_acc 0.8697
e 73 | malicious users: 5 | test acc 0.7574 test loss 1.179309 best test_acc 0.8697
e 74 | malicious users: 8 | test acc 0.6372 test loss 1.051854 best test_acc 0.8697
e 75 | malicious users: 6 | test acc 0.7468 test loss 1.178574 best test_acc 0.8697
e 76 | malicious users: 4 | test acc 0.8261 test loss 1.101784 best test_acc 0.8697
e 77 | malicious users: 3 | test acc 0.8401 test loss 0.875110 best test_acc 0.8697
e 78 | malicious users: 5 | test acc 0.7280 test loss 1.240551 best test_acc 0.8697
e 79 | malicious users: 7 | test acc 0.8610 test loss 1.260544 best test_acc 0.8697
e 80 | malicious users: 10 | test acc 0.7148 test loss 1.188074 best test_acc 0.8697
e 81 | malicious users: 6 | test acc 0.6086 test loss 1.332092 best test_acc 0.8697
e 82 | malicious users: 5 | test acc 0.5532 test loss 1.172498 best test_acc 0.8697
e 83 | malicious users: 8 | test acc 0.5331 test loss 1.233077 best test_acc 0.8697
e 84 | malicious users: 2 | test acc 0.8305 test loss 1.101945 best test_acc 0.8697
e 85 | malicious users: 4 | test acc 0.9035 test loss 0.951029 best test_acc 0.9035
e 86 | malicious users: 8 | test acc 0.7802 test loss 1.261806 best test_acc 0.9035
e 87 | malicious users: 3 | test acc 0.7933 test loss 1.196275 best test_acc 0.9035
e 88 | malicious users: 5 | test acc 0.7142 test loss 1.140453 best test_acc 0.9035
e 89 | malicious users: 5 | test acc 0.7922 test loss 1.050372 best test_acc 0.9035
e 90 | malicious users: 5 | test acc 0.6319 test loss 1.120767 best test_acc 0.9035
e 91 | malicious users: 6 | test acc 0.7868 test loss 1.283248 best test_acc 0.9035
e 92 | malicious users: 3 | test acc 0.8294 test loss 1.096849 best test_acc 0.9035
e 93 | malicious users: 4 | test acc 0.7916 test loss 0.992492 best test_acc 0.9035
e 94 | malicious users: 4 | test acc 0.7420 test loss 1.024009 best test_acc 0.9035
e 95 | malicious users: 4 | test acc 0.8727 test loss 0.841523 best test_acc 0.9035
e 96 | malicious users: 3 | test acc 0.7340 test loss 1.123379 best test_acc 0.9035
e 97 | malicious users: 3 | test acc 0.8296 test loss 0.840200 best test_acc 0.9035
e 98 | malicious users: 4 | test acc 0.8593 test loss 0.895386 best test_acc 0.9035
e 99 | malicious users: 3 | test acc 0.7607 test loss 1.100174 best test_acc 0.9035
e 100 | malicious users: 5 | test acc 0.8415 test loss 0.876206 best test_acc 0.9035
e 101 | malicious users: 6 | test acc 0.7533 test loss 1.075517 best test_acc 0.9035
e 102 | malicious users: 7 | test acc 0.7617 test loss 1.073504 best test_acc 0.9035
e 103 | malicious users: 5 | test acc 0.8514 test loss 0.843450 best test_acc 0.9035
e 104 | malicious users: 2 | test acc 0.7752 test loss 1.092151 best test_acc 0.9035
e 105 | malicious users: 2 | test acc 0.8757 test loss 1.006778 best test_acc 0.9035
e 106 | malicious users: 9 | test acc 0.7797 test loss 1.046081 best test_acc 0.9035
e 107 | malicious users: 5 | test acc 0.7765 test loss 1.004771 best test_acc 0.9035
e 108 | malicious users: 3 | test acc 0.8887 test loss 0.847150 best test_acc 0.9035
e 109 | malicious users: 8 | test acc 0.6814 test loss 1.327729 best test_acc 0.9035
e 110 | malicious users: 7 | test acc 0.6852 test loss 1.201601 best test_acc 0.9035
e 111 | malicious users: 3 | test acc 0.8366 test loss 1.005565 best test_acc 0.9035
e 112 | malicious users: 3 | test acc 0.7353 test loss 1.034633 best test_acc 0.9035
e 113 | malicious users: 9 | test acc 0.8780 test loss 0.969598 best test_acc 0.9035
e 114 | malicious users: 9 | test acc 0.6502 test loss 1.085131 best test_acc 0.9035
e 115 | malicious users: 8 | test acc 0.8279 test loss 1.048940 best test_acc 0.9035
e 116 | malicious users: 5 | test acc 0.7548 test loss 1.071274 best test_acc 0.9035
e 117 | malicious users: 7 | test acc 0.7437 test loss 1.091834 best test_acc 0.9035
e 118 | malicious users: 5 | test acc 0.8733 test loss 1.098211 best test_acc 0.9035
e 119 | malicious users: 2 | test acc 0.8286 test loss 0.893383 best test_acc 0.9035
e 120 | malicious users: 4 | test acc 0.8798 test loss 0.933427 best test_acc 0.9035
e 121 | malicious users: 6 | test acc 0.7658 test loss 0.913007 best test_acc 0.9035
e 122 | malicious users: 6 | test acc 0.8596 test loss 1.069197 best test_acc 0.9035
e 123 | malicious users: 2 | test acc 0.8706 test loss 0.887447 best test_acc 0.9035
e 124 | malicious users: 2 | test acc 0.8981 test loss 0.723252 best test_acc 0.9035
e 125 | malicious users: 1 | test acc 0.8521 test loss 0.796847 best test_acc 0.9035
e 126 | malicious users: 6 | test acc 0.8701 test loss 0.878673 best test_acc 0.9035
e 127 | malicious users: 2 | test acc 0.8838 test loss 0.723257 best test_acc 0.9035
e 128 | malicious users: 1 | test acc 0.8143 test loss 0.799790 best test_acc 0.9035
e 129 | malicious users: 9 | test acc 0.7270 test loss 1.078693 best test_acc 0.9035
e 130 | malicious users: 3 | test acc 0.6373 test loss 0.963420 best test_acc 0.9035
e 131 | malicious users: 2 | test acc 0.9056 test loss 0.733962 best test_acc 0.9056
e 132 | malicious users: 3 | test acc 0.8445 test loss 0.908549 best test_acc 0.9056
e 133 | malicious users: 12 | test acc 0.7926 test loss 1.007116 best test_acc 0.9056
e 134 | malicious users: 7 | test acc 0.7898 test loss 1.061854 best test_acc 0.9056
e 135 | malicious users: 10 | test acc 0.6645 test loss 1.301468 best test_acc 0.9056
e 136 | malicious users: 3 | test acc 0.7492 test loss 1.047861 best test_acc 0.9056
e 137 | malicious users: 7 | test acc 0.8661 test loss 1.071343 best test_acc 0.9056
e 138 | malicious users: 5 | test acc 0.7403 test loss 0.994894 best test_acc 0.9056
e 139 | malicious users: 5 | test acc 0.8325 test loss 1.011986 best test_acc 0.9056
e 140 | malicious users: 5 | test acc 0.7834 test loss 0.979118 best test_acc 0.9056
e 141 | malicious users: 5 | test acc 0.7903 test loss 1.011192 best test_acc 0.9056
e 142 | malicious users: 1 | test acc 0.9106 test loss 0.735764 best test_acc 0.9106
e 143 | malicious users: 5 | test acc 0.8678 test loss 0.967533 best test_acc 0.9106
e 144 | malicious users: 6 | test acc 0.6543 test loss 1.041048 best test_acc 0.9106
e 145 | malicious users: 5 | test acc 0.7251 test loss 0.989449 best test_acc 0.9106
e 146 | malicious users: 3 | test acc 0.8471 test loss 0.956525 best test_acc 0.9106
e 147 | malicious users: 4 | test acc 0.9057 test loss 0.862710 best test_acc 0.9106
e 148 | malicious users: 4 | test acc 0.8112 test loss 0.847093 best test_acc 0.9106
e 149 | malicious users: 6 | test acc 0.8101 test loss 1.011223 best test_acc 0.9106
e 150 | malicious users: 5 | test acc 0.7243 test loss 1.013682 best test_acc 0.9106
e 151 | malicious users: 9 | test acc 0.8331 test loss 1.042502 best test_acc 0.9106
e 152 | malicious users: 5 | test acc 0.8281 test loss 0.919201 best test_acc 0.9106
e 153 | malicious users: 12 | test acc 0.6972 test loss 1.267364 best test_acc 0.9106
e 154 | malicious users: 4 | test acc 0.7524 test loss 1.092081 best test_acc 0.9106
e 155 | malicious users: 4 | test acc 0.7866 test loss 1.021081 best test_acc 0.9106
e 156 | malicious users: 2 | test acc 0.8185 test loss 0.948587 best test_acc 0.9106
e 157 | malicious users: 7 | test acc 0.9016 test loss 0.834653 best test_acc 0.9106
e 158 | malicious users: 2 | test acc 0.9091 test loss 0.837797 best test_acc 0.9106
e 159 | malicious users: 4 | test acc 0.8923 test loss 0.714851 best test_acc 0.9106
e 160 | malicious users: 7 | test acc 0.8213 test loss 1.055205 best test_acc 0.9106
e 161 | malicious users: 2 | test acc 0.8383 test loss 0.940416 best test_acc 0.9106
e 162 | malicious users: 4 | test acc 0.8966 test loss 0.796292 best test_acc 0.9106
e 163 | malicious users: 8 | test acc 0.8119 test loss 1.011753 best test_acc 0.9106
e 164 | malicious users: 5 | test acc 0.8723 test loss 1.139292 best test_acc 0.9106
e 165 | malicious users: 6 | test acc 0.7830 test loss 1.110671 best test_acc 0.9106
e 166 | malicious users: 5 | test acc 0.8823 test loss 0.907802 best test_acc 0.9106
e 167 | malicious users: 3 | test acc 0.7939 test loss 1.048384 best test_acc 0.9106
e 168 | malicious users: 2 | test acc 0.9031 test loss 0.775657 best test_acc 0.9106
e 169 | malicious users: 2 | test acc 0.8209 test loss 0.683479 best test_acc 0.9106
e 170 | malicious users: 5 | test acc 0.8362 test loss 0.961647 best test_acc 0.9106
e 171 | malicious users: 2 | test acc 0.9046 test loss 0.857617 best test_acc 0.9106
e 172 | malicious users: 2 | test acc 0.9069 test loss 0.792319 best test_acc 0.9106
e 173 | malicious users: 5 | test acc 0.7910 test loss 0.943090 best test_acc 0.9106
e 174 | malicious users: 2 | test acc 0.9075 test loss 0.815694 best test_acc 0.9106
e 175 | malicious users: 4 | test acc 0.8935 test loss 0.706845 best test_acc 0.9106
e 176 | malicious users: 5 | test acc 0.7534 test loss 0.955233 best test_acc 0.9106
e 177 | malicious users: 4 | test acc 0.8064 test loss 0.911506 best test_acc 0.9106
e 178 | malicious users: 2 | test acc 0.8877 test loss 0.796742 best test_acc 0.9106
e 179 | malicious users: 6 | test acc 0.8384 test loss 0.862496 best test_acc 0.9106
e 180 | malicious users: 4 | test acc 0.8910 test loss 0.743421 best test_acc 0.9106
e 181 | malicious users: 4 | test acc 0.8537 test loss 0.793130 best test_acc 0.9106
e 182 | malicious users: 6 | test acc 0.8952 test loss 0.835317 best test_acc 0.9106
e 183 | malicious users: 7 | test acc 0.8365 test loss 0.932759 best test_acc 0.9106
e 184 | malicious users: 2 | test acc 0.9020 test loss 0.791886 best test_acc 0.9106
e 185 | malicious users: 6 | test acc 0.8419 test loss 0.833050 best test_acc 0.9106
e 186 | malicious users: 7 | test acc 0.8353 test loss 0.803575 best test_acc 0.9106
e 187 | malicious users: 5 | test acc 0.8373 test loss 0.963105 best test_acc 0.9106
e 188 | malicious users: 5 | test acc 0.8055 test loss 0.902306 best test_acc 0.9106
e 189 | malicious users: 2 | test acc 0.8721 test loss 0.918891 best test_acc 0.9106
e 190 | malicious users: 4 | test acc 0.7013 test loss 0.933482 best test_acc 0.9106
e 191 | malicious users: 6 | test acc 0.8164 test loss 0.870569 best test_acc 0.9106
e 192 | malicious users: 10 | test acc 0.8219 test loss 1.032520 best test_acc 0.9106
e 193 | malicious users: 6 | test acc 0.8907 test loss 0.892026 best test_acc 0.9106
e 194 | malicious users: 8 | test acc 0.8406 test loss 0.933760 best test_acc 0.9106
e 195 | malicious users: 3 | test acc 0.8692 test loss 0.919059 best test_acc 0.9106
e 196 | malicious users: 4 | test acc 0.8125 test loss 0.822676 best test_acc 0.9106
e 197 | malicious users: 7 | test acc 0.8088 test loss 1.018515 best test_acc 0.9106
e 198 | malicious users: 8 | test acc 0.7590 test loss 1.044761 best test_acc 0.9106
e 199 | malicious users: 4 | test acc 0.9032 test loss 0.858309 best test_acc 0.9106
e 200 | malicious users: 4 | test acc 0.8042 test loss 0.836425 best test_acc 0.9106
e 201 | malicious users: 3 | test acc 0.7474 test loss 0.864577 best test_acc 0.9106
e 202 | malicious users: 7 | test acc 0.7268 test loss 1.050055 best test_acc 0.9106
e 203 | malicious users: 4 | test acc 0.7855 test loss 0.931998 best test_acc 0.9106
e 204 | malicious users: 6 | test acc 0.8211 test loss 1.059518 best test_acc 0.9106
e 205 | malicious users: 9 | test acc 0.8105 test loss 0.892214 best test_acc 0.9106
e 206 | malicious users: 4 | test acc 0.8755 test loss 0.771438 best test_acc 0.9106
e 207 | malicious users: 5 | test acc 0.8564 test loss 0.833446 best test_acc 0.9106
e 208 | malicious users: 4 | test acc 0.8223 test loss 0.911388 best test_acc 0.9106
e 209 | malicious users: 4 | test acc 0.9211 test loss 0.765346 best test_acc 0.9211
e 210 | malicious users: 5 | test acc 0.9221 test loss 0.888667 best test_acc 0.9221
e 211 | malicious users: 5 | test acc 0.8982 test loss 0.738365 best test_acc 0.9221
e 212 | malicious users: 7 | test acc 0.7475 test loss 0.987245 best test_acc 0.9221
e 213 | malicious users: 5 | test acc 0.8052 test loss 0.992781 best test_acc 0.9221
e 214 | malicious users: 2 | test acc 0.7843 test loss 0.916935 best test_acc 0.9221
e 215 | malicious users: 8 | test acc 0.7547 test loss 1.091884 best test_acc 0.9221
e 216 | malicious users: 6 | test acc 0.8246 test loss 0.955793 best test_acc 0.9221
e 217 | malicious users: 3 | test acc 0.8497 test loss 0.675311 best test_acc 0.9221
e 218 | malicious users: 4 | test acc 0.8276 test loss 0.942591 best test_acc 0.9221
e 219 | malicious users: 4 | test acc 0.8190 test loss 0.832382 best test_acc 0.9221
e 220 | malicious users: 3 | test acc 0.8315 test loss 0.795188 best test_acc 0.9221
e 221 | malicious users: 3 | test acc 0.9119 test loss 0.813942 best test_acc 0.9221
e 222 | malicious users: 5 | test acc 0.9095 test loss 0.665985 best test_acc 0.9221
e 223 | malicious users: 1 | test acc 0.9044 test loss 0.619832 best test_acc 0.9221
e 224 | malicious users: 5 | test acc 0.8414 test loss 1.063176 best test_acc 0.9221
e 225 | malicious users: 5 | test acc 0.7609 test loss 0.916613 best test_acc 0.9221
e 226 | malicious users: 5 | test acc 0.7318 test loss 0.960077 best test_acc 0.9221
e 227 | malicious users: 6 | test acc 0.8751 test loss 0.793240 best test_acc 0.9221
e 228 | malicious users: 10 | test acc 0.7348 test loss 0.976054 best test_acc 0.9221
e 229 | malicious users: 4 | test acc 0.8200 test loss 0.868424 best test_acc 0.9221
