=> Saving data in Logs/FRL~try=830
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.1
batch size is :  8
test batch size is:  128
10
84
87
98
127
143
179
234
398
400
414
427
473
512
524
534
558
574
582
671
734
767
820
823
876
881
889
921
958
use_cuda:  True
type of FL:  FRL_label_flip_fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
/home/test/anaconda3/envs/FRL_test/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:138: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
e 64 | malicious users: 5 | test acc 0.7401 test loss 1.196887 best test_acc 0.9051
e 65 | malicious users: 6 | test acc 0.8251 test loss 1.111532 best test_acc 0.9051
e 66 | malicious users: 4 | test acc 0.8897 test loss 0.980182 best test_acc 0.9051
e 67 | malicious users: 5 | test acc 0.8725 test loss 1.070908 best test_acc 0.9051
e 68 | malicious users: 4 | test acc 0.8621 test loss 0.961358 best test_acc 0.9051
e 69 | malicious users: 3 | test acc 0.8597 test loss 1.127398 best test_acc 0.9051
e 70 | malicious users: 9 | test acc 0.6188 test loss 1.145874 best test_acc 0.9051
e 71 | malicious users: 5 | test acc 0.8164 test loss 1.073720 best test_acc 0.9051
e 72 | malicious users: 2 | test acc 0.8991 test loss 0.881982 best test_acc 0.9051
e 73 | malicious users: 7 | test acc 0.5879 test loss 1.272525 best test_acc 0.9051
e 74 | malicious users: 7 | test acc 0.8512 test loss 1.127077 best test_acc 0.9051
e 75 | malicious users: 6 | test acc 0.8934 test loss 1.004376 best test_acc 0.9051
e 76 | malicious users: 4 | test acc 0.8522 test loss 1.086316 best test_acc 0.9051
e 77 | malicious users: 2 | test acc 0.8825 test loss 0.823543 best test_acc 0.9051
e 78 | malicious users: 3 | test acc 0.8596 test loss 0.982822 best test_acc 0.9051
e 79 | malicious users: 6 | test acc 0.8672 test loss 0.977804 best test_acc 0.9051
e 80 | malicious users: 4 | test acc 0.7811 test loss 0.970339 best test_acc 0.9051
e 81 | malicious users: 2 | test acc 0.8888 test loss 0.964514 best test_acc 0.9051
e 82 | malicious users: 4 | test acc 0.9177 test loss 0.899000 best test_acc 0.9177
e 83 | malicious users: 3 | test acc 0.8344 test loss 0.880619 best test_acc 0.9177
e 84 | malicious users: 4 | test acc 0.8239 test loss 1.099559 best test_acc 0.9177
e 85 | malicious users: 7 | test acc 0.7890 test loss 1.149768 best test_acc 0.9177
e 86 | malicious users: 7 | test acc 0.8566 test loss 0.978650 best test_acc 0.9177
e 87 | malicious users: 4 | test acc 0.8622 test loss 1.012884 best test_acc 0.9177
e 88 | malicious users: 5 | test acc 0.8027 test loss 1.208675 best test_acc 0.9177
e 89 | malicious users: 4 | test acc 0.9171 test loss 0.798427 best test_acc 0.9177
e 90 | malicious users: 5 | test acc 0.8180 test loss 1.056363 best test_acc 0.9177
e 91 | malicious users: 3 | test acc 0.8658 test loss 1.013950 best test_acc 0.9177
e 92 | malicious users: 7 | test acc 0.9033 test loss 0.912949 best test_acc 0.9177
e 93 | malicious users: 6 | test acc 0.9012 test loss 1.082845 best test_acc 0.9177
e 94 | malicious users: 6 | test acc 0.9086 test loss 0.934728 best test_acc 0.9177
e 95 | malicious users: 5 | test acc 0.8500 test loss 1.008772 best test_acc 0.9177
e 96 | malicious users: 5 | test acc 0.8729 test loss 0.998190 best test_acc 0.9177
e 97 | malicious users: 8 | test acc 0.7470 test loss 0.922530 best test_acc 0.9177
e 98 | malicious users: 5 | test acc 0.8925 test loss 0.934630 best test_acc 0.9177
e 99 | malicious users: 3 | test acc 0.8369 test loss 0.984208 best test_acc 0.9177
e 100 | malicious users: 5 | test acc 0.8672 test loss 0.954469 best test_acc 0.9177
e 101 | malicious users: 4 | test acc 0.8593 test loss 0.902091 best test_acc 0.9177
e 102 | malicious users: 4 | test acc 0.8033 test loss 0.962041 best test_acc 0.9177
e 103 | malicious users: 0 | test acc 0.8516 test loss 0.753263 best test_acc 0.9177
e 104 | malicious users: 7 | test acc 0.7931 test loss 0.923052 best test_acc 0.9177
e 105 | malicious users: 2 | test acc 0.8437 test loss 0.865244 best test_acc 0.9177
e 106 | malicious users: 7 | test acc 0.8464 test loss 1.055339 best test_acc 0.9177
e 107 | malicious users: 5 | test acc 0.8470 test loss 1.018619 best test_acc 0.9177
e 108 | malicious users: 4 | test acc 0.8470 test loss 1.017384 best test_acc 0.9177
e 109 | malicious users: 3 | test acc 0.8767 test loss 0.893198 best test_acc 0.9177
e 110 | malicious users: 5 | test acc 0.8633 test loss 1.002927 best test_acc 0.9177
e 111 | malicious users: 7 | test acc 0.8739 test loss 0.981836 best test_acc 0.9177
e 112 | malicious users: 4 | test acc 0.9096 test loss 0.829137 best test_acc 0.9177
e 113 | malicious users: 3 | test acc 0.8700 test loss 0.857484 best test_acc 0.9177
e 114 | malicious users: 2 | test acc 0.9329 test loss 0.700171 best test_acc 0.9329
e 115 | malicious users: 8 | test acc 0.8419 test loss 1.120795 best test_acc 0.9329
e 116 | malicious users: 8 | test acc 0.8156 test loss 1.121396 best test_acc 0.9329
e 117 | malicious users: 5 | test acc 0.8326 test loss 0.884771 best test_acc 0.9329
e 118 | malicious users: 5 | test acc 0.8037 test loss 0.948366 best test_acc 0.9329
e 119 | malicious users: 5 | test acc 0.9086 test loss 0.794185 best test_acc 0.9329
e 120 | malicious users: 6 | test acc 0.9136 test loss 0.849271 best test_acc 0.9329
e 121 | malicious users: 3 | test acc 0.8819 test loss 0.872483 best test_acc 0.9329
e 122 | malicious users: 3 | test acc 0.8981 test loss 0.810748 best test_acc 0.9329
e 123 | malicious users: 6 | test acc 0.7744 test loss 1.129838 best test_acc 0.9329
e 124 | malicious users: 7 | test acc 0.8578 test loss 1.007076 best test_acc 0.9329
e 125 | malicious users: 6 | test acc 0.6969 test loss 1.042413 best test_acc 0.9329
e 126 | malicious users: 4 | test acc 0.8719 test loss 0.957001 best test_acc 0.9329
e 127 | malicious users: 3 | test acc 0.8909 test loss 0.980958 best test_acc 0.9329
e 128 | malicious users: 4 | test acc 0.8572 test loss 0.845241 best test_acc 0.9329
e 129 | malicious users: 4 | test acc 0.8258 test loss 1.021504 best test_acc 0.9329
e 130 | malicious users: 7 | test acc 0.8124 test loss 1.074349 best test_acc 0.9329
e 131 | malicious users: 10 | test acc 0.8202 test loss 1.116459 best test_acc 0.9329
e 132 | malicious users: 3 | test acc 0.9279 test loss 0.827405 best test_acc 0.9329
e 133 | malicious users: 6 | test acc 0.7724 test loss 1.083695 best test_acc 0.9329
