=> Saving data in Logs/FRL~try=600
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.9
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.3133 test loss 2.270067 best test_acc 0.3133
e 1 | malicious users: 5 | test acc 0.4608 test loss 2.208899 best test_acc 0.4608
e 2 | malicious users: 4 | test acc 0.5869 test loss 1.944046 best test_acc 0.5869
e 3 | malicious users: 3 | test acc 0.4588 test loss 1.915143 best test_acc 0.5869
e 4 | malicious users: 5 | test acc 0.5542 test loss 1.800882 best test_acc 0.5869
e 5 | malicious users: 5 | test acc 0.5495 test loss 1.700723 best test_acc 0.5869
e 6 | malicious users: 3 | test acc 0.5915 test loss 1.657520 best test_acc 0.5915
e 7 | malicious users: 5 | test acc 0.5843 test loss 1.282907 best test_acc 0.5915
e 8 | malicious users: 6 | test acc 0.6537 test loss 1.393030 best test_acc 0.6537
e 9 | malicious users: 4 | test acc 0.7262 test loss 1.045179 best test_acc 0.7262
e 10 | malicious users: 3 | test acc 0.7226 test loss 0.974460 best test_acc 0.7262
e 11 | malicious users: 8 | test acc 0.7745 test loss 0.901948 best test_acc 0.7745
e 12 | malicious users: 3 | test acc 0.7929 test loss 0.804868 best test_acc 0.7929
e 13 | malicious users: 2 | test acc 0.7356 test loss 0.805325 best test_acc 0.7929
e 14 | malicious users: 3 | test acc 0.7048 test loss 0.860426 best test_acc 0.7929
e 15 | malicious users: 6 | test acc 0.7422 test loss 0.862116 best test_acc 0.7929
e 16 | malicious users: 3 | test acc 0.8407 test loss 0.661161 best test_acc 0.8407
e 17 | malicious users: 5 | test acc 0.8865 test loss 0.461976 best test_acc 0.8865
e 18 | malicious users: 5 | test acc 0.8071 test loss 0.854789 best test_acc 0.8865
e 19 | malicious users: 7 | test acc 0.8456 test loss 0.520815 best test_acc 0.8865
e 20 | malicious users: 3 | test acc 0.7527 test loss 0.750285 best test_acc 0.8865
e 21 | malicious users: 3 | test acc 0.9165 test loss 0.432320 best test_acc 0.9165
e 22 | malicious users: 5 | test acc 0.7937 test loss 0.662227 best test_acc 0.9165
e 23 | malicious users: 3 | test acc 0.8596 test loss 0.425150 best test_acc 0.9165
e 24 | malicious users: 1 | test acc 0.7924 test loss 0.730217 best test_acc 0.9165
e 25 | malicious users: 7 | test acc 0.8849 test loss 0.393496 best test_acc 0.9165
e 26 | malicious users: 5 | test acc 0.7337 test loss 0.810306 best test_acc 0.9165
e 27 | malicious users: 3 | test acc 0.9169 test loss 0.427820 best test_acc 0.9169
e 28 | malicious users: 5 | test acc 0.9271 test loss 0.373356 best test_acc 0.9271
e 29 | malicious users: 4 | test acc 0.8383 test loss 0.529166 best test_acc 0.9271
e 30 | malicious users: 4 | test acc 0.7730 test loss 0.754189 best test_acc 0.9271
e 31 | malicious users: 3 | test acc 0.8915 test loss 0.483761 best test_acc 0.9271
e 32 | malicious users: 7 | test acc 0.8209 test loss 0.637423 best test_acc 0.9271
e 33 | malicious users: 6 | test acc 0.9177 test loss 0.390977 best test_acc 0.9271
e 34 | malicious users: 4 | test acc 0.9255 test loss 0.298507 best test_acc 0.9271
e 35 | malicious users: 5 | test acc 0.8220 test loss 0.602604 best test_acc 0.9271
e 36 | malicious users: 5 | test acc 0.9076 test loss 0.506859 best test_acc 0.9271
e 37 | malicious users: 6 | test acc 0.8017 test loss 0.568279 best test_acc 0.9271
e 38 | malicious users: 5 | test acc 0.8129 test loss 0.575898 best test_acc 0.9271
e 39 | malicious users: 5 | test acc 0.7932 test loss 0.676510 best test_acc 0.9271
e 40 | malicious users: 4 | test acc 0.8987 test loss 0.364218 best test_acc 0.9271
e 41 | malicious users: 7 | test acc 0.8806 test loss 0.487344 best test_acc 0.9271
e 42 | malicious users: 2 | test acc 0.8509 test loss 0.459233 best test_acc 0.9271
e 43 | malicious users: 6 | test acc 0.9290 test loss 0.380000 best test_acc 0.9290
e 44 | malicious users: 8 | test acc 0.9159 test loss 0.371570 best test_acc 0.9290
e 45 | malicious users: 3 | test acc 0.8277 test loss 0.471156 best test_acc 0.9290
e 46 | malicious users: 4 | test acc 0.8504 test loss 0.471291 best test_acc 0.9290
e 47 | malicious users: 3 | test acc 0.8934 test loss 0.508772 best test_acc 0.9290
e 48 | malicious users: 3 | test acc 0.9326 test loss 0.289663 best test_acc 0.9326
e 49 | malicious users: 4 | test acc 0.8092 test loss 0.577508 best test_acc 0.9326
e 50 | malicious users: 5 | test acc 0.9338 test loss 0.333947 best test_acc 0.9338
e 51 | malicious users: 5 | test acc 0.8981 test loss 0.458861 best test_acc 0.9338
e 52 | malicious users: 5 | test acc 0.8333 test loss 0.569702 best test_acc 0.9338
e 53 | malicious users: 8 | test acc 0.8916 test loss 0.336966 best test_acc 0.9338
e 54 | malicious users: 4 | test acc 0.8543 test loss 0.560449 best test_acc 0.9338
e 55 | malicious users: 2 | test acc 0.8598 test loss 0.414072 best test_acc 0.9338
e 56 | malicious users: 4 | test acc 0.8925 test loss 0.346679 best test_acc 0.9338
e 57 | malicious users: 4 | test acc 0.8431 test loss 0.500247 best test_acc 0.9338
e 58 | malicious users: 7 | test acc 0.8199 test loss 0.639246 best test_acc 0.9338
e 59 | malicious users: 4 | test acc 0.8020 test loss 0.618654 best test_acc 0.9338
e 60 | malicious users: 5 | test acc 0.9379 test loss 0.260312 best test_acc 0.9379
e 61 | malicious users: 8 | test acc 0.8595 test loss 0.502499 best test_acc 0.9379
e 62 | malicious users: 4 | test acc 0.9170 test loss 0.295901 best test_acc 0.9379
e 63 | malicious users: 5 | test acc 0.9179 test loss 0.486819 best test_acc 0.9379
e 64 | malicious users: 7 | test acc 0.9082 test loss 0.349421 best test_acc 0.9379
e 65 | malicious users: 10 | test acc 0.9404 test loss 0.279770 best test_acc 0.9404
e 66 | malicious users: 5 | test acc 0.9127 test loss 0.393863 best test_acc 0.9404
e 67 | malicious users: 5 | test acc 0.9351 test loss 0.307608 best test_acc 0.9404
e 68 | malicious users: 8 | test acc 0.9240 test loss 0.318011 best test_acc 0.9404
e 69 | malicious users: 3 | test acc 0.8333 test loss 0.539935 best test_acc 0.9404
e 70 | malicious users: 3 | test acc 0.8805 test loss 0.507346 best test_acc 0.9404
e 71 | malicious users: 3 | test acc 0.8607 test loss 0.444278 best test_acc 0.9404
e 72 | malicious users: 8 | test acc 0.9324 test loss 0.308755 best test_acc 0.9404
e 73 | malicious users: 4 | test acc 0.9346 test loss 0.359704 best test_acc 0.9404
e 74 | malicious users: 5 | test acc 0.8202 test loss 0.506166 best test_acc 0.9404
e 75 | malicious users: 5 | test acc 0.9315 test loss 0.387921 best test_acc 0.9404
e 76 | malicious users: 5 | test acc 0.8996 test loss 0.397209 best test_acc 0.9404
e 77 | malicious users: 4 | test acc 0.9257 test loss 0.349505 best test_acc 0.9404
e 78 | malicious users: 6 | test acc 0.9265 test loss 0.325493 best test_acc 0.9404
e 79 | malicious users: 6 | test acc 0.8287 test loss 0.506240 best test_acc 0.9404
e 80 | malicious users: 4 | test acc 0.8577 test loss 0.462966 best test_acc 0.9404
e 81 | malicious users: 7 | test acc 0.9001 test loss 0.371202 best test_acc 0.9404
e 82 | malicious users: 4 | test acc 0.9121 test loss 0.385944 best test_acc 0.9404
e 83 | malicious users: 5 | test acc 0.8402 test loss 0.464471 best test_acc 0.9404
e 84 | malicious users: 5 | test acc 0.9293 test loss 0.344306 best test_acc 0.9404
e 85 | malicious users: 6 | test acc 0.9240 test loss 0.385809 best test_acc 0.9404
e 86 | malicious users: 7 | test acc 0.8806 test loss 0.322283 best test_acc 0.9404
e 87 | malicious users: 6 | test acc 0.7960 test loss 0.566370 best test_acc 0.9404
e 88 | malicious users: 5 | test acc 0.9032 test loss 0.364521 best test_acc 0.9404
e 89 | malicious users: 2 | test acc 0.9374 test loss 0.244196 best test_acc 0.9404
e 90 | malicious users: 4 | test acc 0.9389 test loss 0.248831 best test_acc 0.9404
e 91 | malicious users: 4 | test acc 0.9076 test loss 0.348017 best test_acc 0.9404
e 92 | malicious users: 3 | test acc 0.9364 test loss 0.258895 best test_acc 0.9404
e 93 | malicious users: 6 | test acc 0.8723 test loss 0.814020 best test_acc 0.9404
e 94 | malicious users: 4 | test acc 0.9419 test loss 0.205544 best test_acc 0.9419
e 95 | malicious users: 3 | test acc 0.8198 test loss 0.535449 best test_acc 0.9419
e 96 | malicious users: 4 | test acc 0.9352 test loss 0.275113 best test_acc 0.9419
e 97 | malicious users: 4 | test acc 0.8353 test loss 0.536931 best test_acc 0.9419
e 98 | malicious users: 7 | test acc 0.9425 test loss 0.224626 best test_acc 0.9425
e 99 | malicious users: 5 | test acc 0.9080 test loss 0.342208 best test_acc 0.9425
e 100 | malicious users: 6 | test acc 0.9299 test loss 0.314109 best test_acc 0.9425
e 101 | malicious users: 6 | test acc 0.8708 test loss 0.381084 best test_acc 0.9425
e 102 | malicious users: 4 | test acc 0.9243 test loss 0.292806 best test_acc 0.9425
e 103 | malicious users: 6 | test acc 0.9321 test loss 0.299129 best test_acc 0.9425
e 104 | malicious users: 9 | test acc 0.9134 test loss 0.469261 best test_acc 0.9425
e 105 | malicious users: 5 | test acc 0.8981 test loss 0.323483 best test_acc 0.9425
e 106 | malicious users: 1 | test acc 0.9463 test loss 0.237385 best test_acc 0.9463
e 107 | malicious users: 7 | test acc 0.9232 test loss 0.383186 best test_acc 0.9463
e 108 | malicious users: 4 | test acc 0.9511 test loss 0.212770 best test_acc 0.9511
e 109 | malicious users: 3 | test acc 0.7525 test loss 0.583512 best test_acc 0.9511
e 110 | malicious users: 7 | test acc 0.8415 test loss 0.484331 best test_acc 0.9511
e 111 | malicious users: 3 | test acc 0.8881 test loss 0.441624 best test_acc 0.9511
e 112 | malicious users: 3 | test acc 0.8289 test loss 0.543158 best test_acc 0.9511
e 113 | malicious users: 6 | test acc 0.9448 test loss 0.354207 best test_acc 0.9511
e 114 | malicious users: 3 | test acc 0.9496 test loss 0.233922 best test_acc 0.9511
e 115 | malicious users: 9 | test acc 0.9488 test loss 0.198445 best test_acc 0.9511
e 116 | malicious users: 2 | test acc 0.8563 test loss 0.489657 best test_acc 0.9511
e 117 | malicious users: 3 | test acc 0.9297 test loss 0.249048 best test_acc 0.9511
e 118 | malicious users: 6 | test acc 0.8554 test loss 0.420190 best test_acc 0.9511
e 119 | malicious users: 7 | test acc 0.9071 test loss 0.332902 best test_acc 0.9511
e 120 | malicious users: 7 | test acc 0.8532 test loss 0.456019 best test_acc 0.9511
e 121 | malicious users: 5 | test acc 0.9440 test loss 0.273349 best test_acc 0.9511
e 122 | malicious users: 4 | test acc 0.9378 test loss 0.276216 best test_acc 0.9511
e 123 | malicious users: 4 | test acc 0.9443 test loss 0.246869 best test_acc 0.9511
e 124 | malicious users: 4 | test acc 0.9043 test loss 0.349576 best test_acc 0.9511
e 125 | malicious users: 3 | test acc 0.9019 test loss 0.330250 best test_acc 0.9511
e 126 | malicious users: 3 | test acc 0.9364 test loss 0.290853 best test_acc 0.9511
e 127 | malicious users: 4 | test acc 0.8485 test loss 0.457398 best test_acc 0.9511
e 128 | malicious users: 6 | test acc 0.9236 test loss 0.314302 best test_acc 0.9511
e 129 | malicious users: 7 | test acc 0.8136 test loss 0.479004 best test_acc 0.9511
e 130 | malicious users: 2 | test acc 0.9195 test loss 0.452510 best test_acc 0.9511
e 131 | malicious users: 5 | test acc 0.9060 test loss 0.343683 best test_acc 0.9511
e 132 | malicious users: 8 | test acc 0.8783 test loss 0.596254 best test_acc 0.9511
e 133 | malicious users: 6 | test acc 0.8785 test loss 0.358896 best test_acc 0.9511
e 134 | malicious users: 4 | test acc 0.8382 test loss 0.510506 best test_acc 0.9511
e 135 | malicious users: 7 | test acc 0.9098 test loss 0.387358 best test_acc 0.9511
e 136 | malicious users: 4 | test acc 0.9333 test loss 0.359305 best test_acc 0.9511
e 137 | malicious users: 7 | test acc 0.8842 test loss 0.322054 best test_acc 0.9511
e 138 | malicious users: 3 | test acc 0.8322 test loss 0.582774 best test_acc 0.9511
