=> Saving data in Logs/FRL~try=491
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.7
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 8 | test acc 0.1786 test loss 2.278914 best test_acc 0.1786
e 1 | malicious users: 7 | test acc 0.1688 test loss 2.276249 best test_acc 0.1786
e 2 | malicious users: 3 | test acc 0.1605 test loss 2.199733 best test_acc 0.1786
e 3 | malicious users: 7 | test acc 0.3191 test loss 1.889151 best test_acc 0.3191
e 4 | malicious users: 5 | test acc 0.5497 test loss 1.634142 best test_acc 0.5497
e 5 | malicious users: 9 | test acc 0.4979 test loss 1.517071 best test_acc 0.5497
e 6 | malicious users: 7 | test acc 0.4509 test loss 1.598810 best test_acc 0.5497
e 7 | malicious users: 6 | test acc 0.5165 test loss 1.460125 best test_acc 0.5497
e 8 | malicious users: 3 | test acc 0.6436 test loss 1.240626 best test_acc 0.6436
e 9 | malicious users: 5 | test acc 0.6873 test loss 1.113178 best test_acc 0.6873
e 10 | malicious users: 5 | test acc 0.6854 test loss 1.153342 best test_acc 0.6873
e 11 | malicious users: 2 | test acc 0.6750 test loss 1.000943 best test_acc 0.6873
e 12 | malicious users: 6 | test acc 0.7030 test loss 0.898754 best test_acc 0.7030
e 13 | malicious users: 3 | test acc 0.6964 test loss 1.062238 best test_acc 0.7030
e 14 | malicious users: 7 | test acc 0.8027 test loss 0.827038 best test_acc 0.8027
e 15 | malicious users: 8 | test acc 0.6743 test loss 0.849922 best test_acc 0.8027
e 16 | malicious users: 7 | test acc 0.6633 test loss 0.959598 best test_acc 0.8027
e 17 | malicious users: 5 | test acc 0.7515 test loss 0.803977 best test_acc 0.8027
e 18 | malicious users: 6 | test acc 0.7326 test loss 0.956689 best test_acc 0.8027
e 19 | malicious users: 7 | test acc 0.5993 test loss 1.000084 best test_acc 0.8027
e 20 | malicious users: 6 | test acc 0.6642 test loss 0.939864 best test_acc 0.8027
e 21 | malicious users: 5 | test acc 0.7411 test loss 0.844417 best test_acc 0.8027
e 22 | malicious users: 6 | test acc 0.7599 test loss 0.784885 best test_acc 0.8027
e 23 | malicious users: 2 | test acc 0.8263 test loss 0.748188 best test_acc 0.8263
e 24 | malicious users: 4 | test acc 0.8236 test loss 0.561028 best test_acc 0.8263
e 25 | malicious users: 4 | test acc 0.8180 test loss 0.557197 best test_acc 0.8263
e 26 | malicious users: 5 | test acc 0.8395 test loss 0.915381 best test_acc 0.8395
e 27 | malicious users: 6 | test acc 0.7393 test loss 0.760174 best test_acc 0.8395
e 28 | malicious users: 4 | test acc 0.8071 test loss 0.644023 best test_acc 0.8395
e 29 | malicious users: 4 | test acc 0.7559 test loss 0.718682 best test_acc 0.8395
e 30 | malicious users: 4 | test acc 0.8121 test loss 0.587808 best test_acc 0.8395
