=> Saving data in Logs/FRL~try=885
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  1
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  Reverse_mid_val
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 9 | test acc 0.2040 test loss 2.228004 best test_acc 0.2040
e 1 | malicious users: 5 | test acc 0.4653 test loss 1.977600 best test_acc 0.4653
e 2 | malicious users: 6 | test acc 0.4628 test loss 1.789953 best test_acc 0.4653
e 3 | malicious users: 3 | test acc 0.6183 test loss 1.479878 best test_acc 0.6183
e 4 | malicious users: 9 | test acc 0.5989 test loss 1.390768 best test_acc 0.6183
e 5 | malicious users: 5 | test acc 0.6177 test loss 1.062297 best test_acc 0.6183
e 6 | malicious users: 2 | test acc 0.6190 test loss 1.156714 best test_acc 0.6190
e 7 | malicious users: 5 | test acc 0.6716 test loss 0.897102 best test_acc 0.6716
e 8 | malicious users: 6 | test acc 0.6847 test loss 1.068534 best test_acc 0.6847
e 9 | malicious users: 5 | test acc 0.7004 test loss 0.858628 best test_acc 0.7004
e 10 | malicious users: 6 | test acc 0.6897 test loss 0.841292 best test_acc 0.7004
e 11 | malicious users: 6 | test acc 0.7730 test loss 0.725625 best test_acc 0.7730
e 12 | malicious users: 5 | test acc 0.8095 test loss 0.637806 best test_acc 0.8095
e 13 | malicious users: 10 | test acc 0.8193 test loss 0.590915 best test_acc 0.8193
e 14 | malicious users: 6 | test acc 0.7413 test loss 0.879042 best test_acc 0.8193
e 15 | malicious users: 6 | test acc 0.7457 test loss 0.740308 best test_acc 0.8193
e 16 | malicious users: 8 | test acc 0.8236 test loss 0.570785 best test_acc 0.8236
e 17 | malicious users: 4 | test acc 0.7503 test loss 0.762048 best test_acc 0.8236
e 18 | malicious users: 8 | test acc 0.9107 test loss 0.443826 best test_acc 0.9107
e 19 | malicious users: 6 | test acc 0.7713 test loss 0.775538 best test_acc 0.9107
e 20 | malicious users: 5 | test acc 0.9043 test loss 0.388556 best test_acc 0.9107
e 21 | malicious users: 4 | test acc 0.7763 test loss 0.730537 best test_acc 0.9107
e 22 | malicious users: 5 | test acc 0.7659 test loss 0.776520 best test_acc 0.9107
e 23 | malicious users: 4 | test acc 0.8410 test loss 0.507212 best test_acc 0.9107
e 24 | malicious users: 3 | test acc 0.8324 test loss 0.618385 best test_acc 0.9107
e 25 | malicious users: 8 | test acc 0.8832 test loss 0.502506 best test_acc 0.9107
e 26 | malicious users: 6 | test acc 0.8335 test loss 0.564744 best test_acc 0.9107
e 27 | malicious users: 4 | test acc 0.8483 test loss 0.590145 best test_acc 0.9107
e 28 | malicious users: 6 | test acc 0.8330 test loss 0.569380 best test_acc 0.9107
e 29 | malicious users: 4 | test acc 0.9226 test loss 0.313643 best test_acc 0.9226
e 30 | malicious users: 5 | test acc 0.8320 test loss 0.574375 best test_acc 0.9226
e 31 | malicious users: 7 | test acc 0.9106 test loss 0.356100 best test_acc 0.9226
e 32 | malicious users: 5 | test acc 0.8263 test loss 0.560967 best test_acc 0.9226
e 33 | malicious users: 3 | test acc 0.9141 test loss 0.347862 best test_acc 0.9226
e 34 | malicious users: 5 | test acc 0.8268 test loss 0.492048 best test_acc 0.9226
e 35 | malicious users: 8 | test acc 0.8292 test loss 0.462699 best test_acc 0.9226
e 36 | malicious users: 3 | test acc 0.9192 test loss 0.357465 best test_acc 0.9226
e 37 | malicious users: 6 | test acc 0.9293 test loss 0.334108 best test_acc 0.9293
e 38 | malicious users: 7 | test acc 0.9227 test loss 0.348163 best test_acc 0.9293
e 39 | malicious users: 5 | test acc 0.8771 test loss 0.504876 best test_acc 0.9293
e 40 | malicious users: 4 | test acc 0.9267 test loss 0.351379 best test_acc 0.9293
e 41 | malicious users: 5 | test acc 0.9122 test loss 0.400003 best test_acc 0.9293
e 42 | malicious users: 4 | test acc 0.9317 test loss 0.335391 best test_acc 0.9317
e 43 | malicious users: 1 | test acc 0.8896 test loss 0.409967 best test_acc 0.9317
