#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 680
e 0 | malicious users: 4 | test acc 0.3631 test loss 2.186829 best test_acc 0.3631
e 1 | malicious users: 4 | test acc 0.4534 test loss 1.809255 best test_acc 0.4534
e 2 | malicious users: 3 | test acc 0.5022 test loss 1.462067 best test_acc 0.5022
e 3 | malicious users: 7 | test acc 0.4721 test loss 1.893557 best test_acc 0.5022
e 4 | malicious users: 7 | test acc 0.5476 test loss 1.390561 best test_acc 0.5476
e 5 | malicious users: 5 | test acc 0.6448 test loss 1.196178 best test_acc 0.6448
e 6 | malicious users: 7 | test acc 0.6358 test loss 1.396588 best test_acc 0.6448
e 7 | malicious users: 5 | test acc 0.6386 test loss 1.026402 best test_acc 0.6448
e 8 | malicious users: 3 | test acc 0.7088 test loss 1.016032 best test_acc 0.7088
e 9 | malicious users: 7 | test acc 0.6087 test loss 1.327432 best test_acc 0.7088
e 10 | malicious users: 7 | test acc 0.6807 test loss 1.168225 best test_acc 0.7088
e 11 | malicious users: 1 | test acc 0.7501 test loss 0.800123 best test_acc 0.7501
e 12 | malicious users: 1 | test acc 0.7258 test loss 0.816180 best test_acc 0.7501
e 13 | malicious users: 6 | test acc 0.6412 test loss 1.113851 best test_acc 0.7501
e 14 | malicious users: 3 | test acc 0.6713 test loss 0.963736 best test_acc 0.7501
e 15 | malicious users: 5 | test acc 0.6889 test loss 1.044182 best test_acc 0.7501
e 16 | malicious users: 6 | test acc 0.7166 test loss 0.883156 best test_acc 0.7501
e 17 | malicious users: 5 | test acc 0.7318 test loss 0.959404 best test_acc 0.7501
e 18 | malicious users: 7 | test acc 0.6586 test loss 0.975201 best test_acc 0.7501
e 19 | malicious users: 3 | test acc 0.7566 test loss 0.838120 best test_acc 0.7566
e 20 | malicious users: 6 | test acc 0.7106 test loss 0.979357 best test_acc 0.7566
e 21 | malicious users: 5 | test acc 0.7317 test loss 0.850102 best test_acc 0.7566
e 22 | malicious users: 5 | test acc 0.6686 test loss 0.930941 best test_acc 0.7566
e 23 | malicious users: 5 | test acc 0.7542 test loss 0.788258 best test_acc 0.7566
e 24 | malicious users: 9 | test acc 0.5315 test loss 1.333754 best test_acc 0.7566
e 25 | malicious users: 5 | test acc 0.7764 test loss 0.789868 best test_acc 0.7764
e 26 | malicious users: 3 | test acc 0.7871 test loss 0.742789 best test_acc 0.7871
e 27 | malicious users: 5 | test acc 0.7569 test loss 0.811605 best test_acc 0.7871
e 28 | malicious users: 5 | test acc 0.7582 test loss 0.881128 best test_acc 0.7871
e 29 | malicious users: 5 | test acc 0.7548 test loss 0.814367 best test_acc 0.7871
e 30 | malicious users: 2 | test acc 0.7446 test loss 0.752396 best test_acc 0.7871
e 31 | malicious users: 5 | test acc 0.6690 test loss 0.974517 best test_acc 0.7871
e 32 | malicious users: 7 | test acc 0.6717 test loss 0.967053 best test_acc 0.7871
e 33 | malicious users: 5 | test acc 0.7588 test loss 0.852234 best test_acc 0.7871
e 34 | malicious users: 7 | test acc 0.7231 test loss 0.901824 best test_acc 0.7871
e 35 | malicious users: 9 | test acc 0.6160 test loss 1.135030 best test_acc 0.7871
e 36 | malicious users: 7 | test acc 0.6893 test loss 0.919750 best test_acc 0.7871
e 37 | malicious users: 7 | test acc 0.6151 test loss 1.139567 best test_acc 0.7871
e 38 | malicious users: 3 | test acc 0.7850 test loss 0.684421 best test_acc 0.7871
e 39 | malicious users: 5 | test acc 0.7790 test loss 0.810680 best test_acc 0.7871
e 40 | malicious users: 6 | test acc 0.6898 test loss 0.885288 best test_acc 0.7871
e 41 | malicious users: 2 | test acc 0.7824 test loss 0.670177 best test_acc 0.7871
e 42 | malicious users: 5 | test acc 0.7819 test loss 0.748312 best test_acc 0.7871
e 43 | malicious users: 6 | test acc 0.7476 test loss 0.908839 best test_acc 0.7871
e 44 | malicious users: 6 | test acc 0.7620 test loss 0.805611 best test_acc 0.7871
e 45 | malicious users: 5 | test acc 0.7274 test loss 0.856558 best test_acc 0.7871
e 46 | malicious users: 8 | test acc 0.6437 test loss 0.984237 best test_acc 0.7871
e 47 | malicious users: 7 | test acc 0.7908 test loss 0.788629 best test_acc 0.7908
e 48 | malicious users: 6 | test acc 0.6894 test loss 0.929488 best test_acc 0.7908
e 49 | malicious users: 5 | test acc 0.7838 test loss 0.813236 best test_acc 0.7908
e 50 | malicious users: 4 | test acc 0.7726 test loss 0.729755 best test_acc 0.7908
e 51 | malicious users: 6 | test acc 0.7127 test loss 0.816257 best test_acc 0.7908
e 52 | malicious users: 9 | test acc 0.5651 test loss 1.144195 best test_acc 0.7908
e 53 | malicious users: 3 | test acc 0.8087 test loss 0.587445 best test_acc 0.8087
e 54 | malicious users: 10 | test acc 0.5028 test loss 1.186124 best test_acc 0.8087
e 55 | malicious users: 5 | test acc 0.7700 test loss 0.755714 best test_acc 0.8087
e 56 | malicious users: 7 | test acc 0.7929 test loss 0.775076 best test_acc 0.8087
e 57 | malicious users: 3 | test acc 0.7982 test loss 0.621423 best test_acc 0.8087
e 58 | malicious users: 5 | test acc 0.7450 test loss 0.775707 best test_acc 0.8087
e 59 | malicious users: 9 | test acc 0.7411 test loss 0.931493 best test_acc 0.8087
e 60 | malicious users: 1 | test acc 0.8087 test loss 0.591650 best test_acc 0.8087
e 61 | malicious users: 2 | test acc 0.7915 test loss 0.625863 best test_acc 0.8087
e 62 | malicious users: 8 | test acc 0.6451 test loss 1.031864 best test_acc 0.8087
e 63 | malicious users: 3 | test acc 0.7878 test loss 0.655908 best test_acc 0.8087
e 64 | malicious users: 3 | test acc 0.7971 test loss 0.646705 best test_acc 0.8087
e 65 | malicious users: 5 | test acc 0.7975 test loss 0.706018 best test_acc 0.8087
e 66 | malicious users: 6 | test acc 0.7318 test loss 0.789156 best test_acc 0.8087
e 67 | malicious users: 6 | test acc 0.6858 test loss 0.884187 best test_acc 0.8087
e 68 | malicious users: 2 | test acc 0.8076 test loss 0.618234 best test_acc 0.8087
e 69 | malicious users: 2 | test acc 0.8001 test loss 0.605931 best test_acc 0.8087
e 70 | malicious users: 2 | test acc 0.8168 test loss 0.603829 best test_acc 0.8168
e 71 | malicious users: 6 | test acc 0.7338 test loss 0.868281 best test_acc 0.8168
e 72 | malicious users: 4 | test acc 0.8144 test loss 0.626956 best test_acc 0.8168
e 73 | malicious users: 4 | test acc 0.8070 test loss 0.660567 best test_acc 0.8168
e 74 | malicious users: 3 | test acc 0.7922 test loss 0.621452 best test_acc 0.8168
e 75 | malicious users: 6 | test acc 0.8072 test loss 0.734972 best test_acc 0.8168
e 76 | malicious users: 7 | test acc 0.6502 test loss 0.928077 best test_acc 0.8168
e 77 | malicious users: 5 | test acc 0.8185 test loss 0.616827 best test_acc 0.8185
e 78 | malicious users: 6 | test acc 0.8135 test loss 0.696001 best test_acc 0.8185
e 79 | malicious users: 6 | test acc 0.6928 test loss 0.881394 best test_acc 0.8185
e 80 | malicious users: 5 | test acc 0.8041 test loss 0.717260 best test_acc 0.8185
e 81 | malicious users: 1 | test acc 0.8259 test loss 0.532557 best test_acc 0.8259
e 82 | malicious users: 5 | test acc 0.7935 test loss 0.724288 best test_acc 0.8259
e 83 | malicious users: 3 | test acc 0.8215 test loss 0.585731 best test_acc 0.8259
e 84 | malicious users: 6 | test acc 0.7467 test loss 0.789049 best test_acc 0.8259
e 85 | malicious users: 6 | test acc 0.7577 test loss 0.753175 best test_acc 0.8259
e 86 | malicious users: 4 | test acc 0.8324 test loss 0.601319 best test_acc 0.8324
e 87 | malicious users: 5 | test acc 0.7627 test loss 0.737580 best test_acc 0.8324
e 88 | malicious users: 8 | test acc 0.7196 test loss 0.898268 best test_acc 0.8324
e 89 | malicious users: 7 | test acc 0.5862 test loss 0.944732 best test_acc 0.8324
e 90 | malicious users: 3 | test acc 0.8236 test loss 0.624132 best test_acc 0.8324
e 91 | malicious users: 3 | test acc 0.8096 test loss 0.641707 best test_acc 0.8324
e 92 | malicious users: 6 | test acc 0.8056 test loss 0.750122 best test_acc 0.8324
e 93 | malicious users: 4 | test acc 0.8288 test loss 0.571447 best test_acc 0.8324
e 94 | malicious users: 6 | test acc 0.7785 test loss 0.719457 best test_acc 0.8324
e 95 | malicious users: 3 | test acc 0.8104 test loss 0.615013 best test_acc 0.8324
e 96 | malicious users: 4 | test acc 0.7761 test loss 0.710376 best test_acc 0.8324
e 97 | malicious users: 5 | test acc 0.7420 test loss 0.722211 best test_acc 0.8324
e 98 | malicious users: 7 | test acc 0.7009 test loss 0.826171 best test_acc 0.8324
e 99 | malicious users: 10 | test acc 0.5088 test loss 1.230675 best test_acc 0.8324
e 100 | malicious users: 4 | test acc 0.8120 test loss 0.622234 best test_acc 0.8324
e 101 | malicious users: 4 | test acc 0.7628 test loss 0.622386 best test_acc 0.8324
e 102 | malicious users: 7 | test acc 0.7246 test loss 0.841557 best test_acc 0.8324
e 103 | malicious users: 6 | test acc 0.8346 test loss 0.612651 best test_acc 0.8346
e 104 | malicious users: 5 | test acc 0.8067 test loss 0.660242 best test_acc 0.8346
e 105 | malicious users: 6 | test acc 0.8323 test loss 0.661312 best test_acc 0.8346
e 106 | malicious users: 3 | test acc 0.8336 test loss 0.541953 best test_acc 0.8346
e 107 | malicious users: 9 | test acc 0.4148 test loss 1.171204 best test_acc 0.8346
e 108 | malicious users: 7 | test acc 0.6439 test loss 0.847627 best test_acc 0.8346
e 109 | malicious users: 7 | test acc 0.6915 test loss 0.983336 best test_acc 0.8346
e 110 | malicious users: 7 | test acc 0.6966 test loss 0.881613 best test_acc 0.8346
e 111 | malicious users: 3 | test acc 0.8309 test loss 0.555911 best test_acc 0.8346
e 112 | malicious users: 3 | test acc 0.8334 test loss 0.554812 best test_acc 0.8346
e 113 | malicious users: 5 | test acc 0.8218 test loss 0.680728 best test_acc 0.8346
e 114 | malicious users: 5 | test acc 0.7497 test loss 0.695111 best test_acc 0.8346
e 115 | malicious users: 4 | test acc 0.7793 test loss 0.681345 best test_acc 0.8346
e 116 | malicious users: 6 | test acc 0.7114 test loss 0.777042 best test_acc 0.8346
e 117 | malicious users: 3 | test acc 0.8333 test loss 0.539409 best test_acc 0.8346
e 118 | malicious users: 3 | test acc 0.8331 test loss 0.541962 best test_acc 0.8346
e 119 | malicious users: 6 | test acc 0.7026 test loss 0.858218 best test_acc 0.8346
e 120 | malicious users: 6 | test acc 0.7194 test loss 0.782576 best test_acc 0.8346
e 121 | malicious users: 6 | test acc 0.7528 test loss 0.781494 best test_acc 0.8346
e 122 | malicious users: 6 | test acc 0.7778 test loss 0.749089 best test_acc 0.8346
e 123 | malicious users: 2 | test acc 0.8269 test loss 0.552974 best test_acc 0.8346
e 124 | malicious users: 4 | test acc 0.8195 test loss 0.629904 best test_acc 0.8346
e 125 | malicious users: 7 | test acc 0.6986 test loss 0.822073 best test_acc 0.8346
e 126 | malicious users: 5 | test acc 0.8375 test loss 0.586759 best test_acc 0.8375
e 127 | malicious users: 4 | test acc 0.8088 test loss 0.673660 best test_acc 0.8375
e 128 | malicious users: 4 | test acc 0.8219 test loss 0.596869 best test_acc 0.8375
e 129 | malicious users: 3 | test acc 0.8381 test loss 0.539696 best test_acc 0.8381
