#########Federated Learning With Noise Mask attack############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 10 | test acc 0.1062 test loss 2.302795 best test_acc 0.1062
e 1 | malicious users: 4 | test acc 0.1000 test loss 2.304079 best test_acc 0.1062
e 2 | malicious users: 8 | test acc 0.1013 test loss 2.302898 best test_acc 0.1062
e 3 | malicious users: 7 | test acc 0.1000 test loss 2.301712 best test_acc 0.1062
e 4 | malicious users: 7 | test acc 0.1000 test loss 2.306500 best test_acc 0.1062
e 5 | malicious users: 5 | test acc 0.1000 test loss 2.301641 best test_acc 0.1062
e 6 | malicious users: 3 | test acc 0.1000 test loss 2.301825 best test_acc 0.1062
e 7 | malicious users: 4 | test acc 0.1204 test loss 2.307283 best test_acc 0.1204
e 8 | malicious users: 5 | test acc 0.1000 test loss 2.302171 best test_acc 0.1204
e 9 | malicious users: 2 | test acc 0.1000 test loss 2.301530 best test_acc 0.1204
e 10 | malicious users: 5 | test acc 0.1000 test loss 2.300593 best test_acc 0.1204
e 11 | malicious users: 2 | test acc 0.1000 test loss 2.300700 best test_acc 0.1204
e 12 | malicious users: 6 | test acc 0.1000 test loss 2.408754 best test_acc 0.1204
e 13 | malicious users: 3 | test acc 0.1000 test loss 2.303073 best test_acc 0.1204
e 14 | malicious users: 5 | test acc 0.1000 test loss 2.306063 best test_acc 0.1204
e 15 | malicious users: 4 | test acc 0.1000 test loss 2.302151 best test_acc 0.1204
e 16 | malicious users: 5 | test acc 0.1000 test loss 2.301261 best test_acc 0.1204
e 17 | malicious users: 6 | test acc 0.1000 test loss 2.301171 best test_acc 0.1204
e 18 | malicious users: 6 | test acc 0.1000 test loss 2.305161 best test_acc 0.1204
e 19 | malicious users: 5 | test acc 0.1000 test loss 2.301748 best test_acc 0.1204
e 20 | malicious users: 5 | test acc 0.1000 test loss 2.298222 best test_acc 0.1204
e 21 | malicious users: 1 | test acc 0.1000 test loss 2.300025 best test_acc 0.1204
e 22 | malicious users: 9 | test acc 0.1000 test loss 2.300500 best test_acc 0.1204
e 23 | malicious users: 1 | test acc 0.1000 test loss 2.303076 best test_acc 0.1204
e 24 | malicious users: 4 | test acc 0.0992 test loss 2.300483 best test_acc 0.1204
e 25 | malicious users: 7 | test acc 0.1000 test loss 2.330157 best test_acc 0.1204
e 26 | malicious users: 5 | test acc 0.1000 test loss 2.303426 best test_acc 0.1204
e 27 | malicious users: 7 | test acc 0.0956 test loss 2.300362 best test_acc 0.1204
e 28 | malicious users: 3 | test acc 0.1001 test loss 2.299914 best test_acc 0.1204
e 29 | malicious users: 5 | test acc 0.1000 test loss 2.561215 best test_acc 0.1204
e 30 | malicious users: 7 | test acc 0.1000 test loss 2.302537 best test_acc 0.1204
e 31 | malicious users: 4 | test acc 0.1000 test loss 2.302535 best test_acc 0.1204
e 32 | malicious users: 4 | test acc 0.1000 test loss 2.302514 best test_acc 0.1204
e 33 | malicious users: 9 | test acc 0.1000 test loss 2.300616 best test_acc 0.1204
e 34 | malicious users: 3 | test acc 0.1000 test loss 2.301696 best test_acc 0.1204
e 35 | malicious users: 2 | test acc 0.1000 test loss 2.302065 best test_acc 0.1204
e 36 | malicious users: 7 | test acc 0.1013 test loss 2.299812 best test_acc 0.1204
e 37 | malicious users: 6 | test acc 0.1000 test loss 2.303748 best test_acc 0.1204
e 38 | malicious users: 7 | test acc 0.0934 test loss 2.302575 best test_acc 0.1204
e 39 | malicious users: 5 | test acc 0.1006 test loss 2.302245 best test_acc 0.1204
e 40 | malicious users: 4 | test acc 0.1000 test loss 2.313364 best test_acc 0.1204
e 41 | malicious users: 5 | test acc 0.1060 test loss 2.302490 best test_acc 0.1204
e 42 | malicious users: 7 | test acc 0.1000 test loss 2.309227 best test_acc 0.1204
e 43 | malicious users: 6 | test acc 0.1000 test loss 2.305517 best test_acc 0.1204
e 44 | malicious users: 7 | test acc 0.1000 test loss 2.313539 best test_acc 0.1204
e 45 | malicious users: 4 | test acc 0.1000 test loss 2.302584 best test_acc 0.1204
e 46 | malicious users: 5 | test acc 0.1000 test loss 2.312891 best test_acc 0.1204
e 47 | malicious users: 4 | test acc 0.1000 test loss 2.299740 best test_acc 0.1204
e 48 | malicious users: 9 | test acc 0.1000 test loss 2.302398 best test_acc 0.1204
e 49 | malicious users: 6 | test acc 0.1000 test loss 2.302069 best test_acc 0.1204
e 50 | malicious users: 6 | test acc 0.1062 test loss 2.302443 best test_acc 0.1204
e 51 | malicious users: 9 | test acc 0.1000 test loss 2.297032 best test_acc 0.1204
e 52 | malicious users: 2 | test acc 0.1000 test loss 2.301725 best test_acc 0.1204
e 53 | malicious users: 4 | test acc 0.1000 test loss 2.300881 best test_acc 0.1204
e 54 | malicious users: 4 | test acc 0.1000 test loss 2.299552 best test_acc 0.1204
e 55 | malicious users: 1 | test acc 0.1000 test loss 2.300414 best test_acc 0.1204
e 56 | malicious users: 6 | test acc 0.1000 test loss 2.320189 best test_acc 0.1204
e 57 | malicious users: 5 | test acc 0.1000 test loss 2.312139 best test_acc 0.1204
e 58 | malicious users: 7 | test acc 0.1000 test loss 2.308768 best test_acc 0.1204
e 59 | malicious users: 8 | test acc 0.1000 test loss 2.302513 best test_acc 0.1204
e 60 | malicious users: 5 | test acc 0.1000 test loss 2.297958 best test_acc 0.1204
e 61 | malicious users: 3 | test acc 0.1000 test loss 2.297020 best test_acc 0.1204
e 62 | malicious users: 7 | test acc 0.1000 test loss 2.330174 best test_acc 0.1204
e 63 | malicious users: 4 | test acc 0.1000 test loss 2.299094 best test_acc 0.1204
e 64 | malicious users: 4 | test acc 0.1000 test loss 2.300081 best test_acc 0.1204
e 65 | malicious users: 5 | test acc 0.0985 test loss 2.302196 best test_acc 0.1204
e 66 | malicious users: 4 | test acc 0.1000 test loss 2.296779 best test_acc 0.1204
e 67 | malicious users: 1 | test acc 0.1000 test loss 2.278489 best test_acc 0.1204
e 68 | malicious users: 9 | test acc 0.1000 test loss 2.294392 best test_acc 0.1204
e 69 | malicious users: 5 | test acc 0.1000 test loss 2.291564 best test_acc 0.1204
e 70 | malicious users: 8 | test acc 0.1000 test loss 2.280666 best test_acc 0.1204
e 71 | malicious users: 8 | test acc 0.1000 test loss 2.283990 best test_acc 0.1204
e 72 | malicious users: 5 | test acc 0.1000 test loss 2.298474 best test_acc 0.1204
e 73 | malicious users: 6 | test acc 0.1027 test loss 2.298112 best test_acc 0.1204
e 74 | malicious users: 5 | test acc 0.1000 test loss 2.281922 best test_acc 0.1204
e 75 | malicious users: 7 | test acc 0.1000 test loss 2.528166 best test_acc 0.1204
e 76 | malicious users: 3 | test acc 0.1000 test loss 2.303220 best test_acc 0.1204
e 77 | malicious users: 6 | test acc 0.1000 test loss 2.325543 best test_acc 0.1204
e 78 | malicious users: 8 | test acc 0.1062 test loss 2.302412 best test_acc 0.1204
e 79 | malicious users: 7 | test acc 0.1000 test loss 2.302148 best test_acc 0.1204
e 80 | malicious users: 9 | test acc 0.0975 test loss 2.302517 best test_acc 0.1204
e 81 | malicious users: 7 | test acc 0.1000 test loss 2.301233 best test_acc 0.1204
e 82 | malicious users: 6 | test acc 0.1000 test loss 2.300368 best test_acc 0.1204
e 83 | malicious users: 4 | test acc 0.1000 test loss 2.292186 best test_acc 0.1204
e 84 | malicious users: 3 | test acc 0.1000 test loss 2.271900 best test_acc 0.1204
e 85 | malicious users: 5 | test acc 0.1000 test loss 2.405073 best test_acc 0.1204
e 86 | malicious users: 5 | test acc 0.1000 test loss 2.296538 best test_acc 0.1204
e 87 | malicious users: 8 | test acc 0.1000 test loss 2.299874 best test_acc 0.1204
e 88 | malicious users: 3 | test acc 0.1061 test loss 2.299574 best test_acc 0.1204
e 89 | malicious users: 7 | test acc 0.1000 test loss 2.301593 best test_acc 0.1204
e 90 | malicious users: 0 | test acc 0.1000 test loss 2.309171 best test_acc 0.1204
e 91 | malicious users: 8 | test acc 0.1000 test loss 2.305630 best test_acc 0.1204
e 92 | malicious users: 5 | test acc 0.1022 test loss 2.300359 best test_acc 0.1204
e 93 | malicious users: 3 | test acc 0.1000 test loss 2.389472 best test_acc 0.1204
e 94 | malicious users: 3 | test acc 0.0988 test loss 2.302084 best test_acc 0.1204
e 95 | malicious users: 7 | test acc 0.1000 test loss 2.300750 best test_acc 0.1204
e 96 | malicious users: 4 | test acc 0.1000 test loss 2.296267 best test_acc 0.1204
e 97 | malicious users: 9 | test acc 0.1000 test loss 2.283053 best test_acc 0.1204
e 98 | malicious users: 5 | test acc 0.1000 test loss 2.289500 best test_acc 0.1204
e 99 | malicious users: 6 | test acc 0.1000 test loss 2.291165 best test_acc 0.1204
e 100 | malicious users: 5 | test acc 0.1000 test loss 2.284788 best test_acc 0.1204
e 101 | malicious users: 5 | test acc 0.1000 test loss 2.294467 best test_acc 0.1204
e 102 | malicious users: 8 | test acc 0.1000 test loss 2.283895 best test_acc 0.1204
e 103 | malicious users: 5 | test acc 0.1000 test loss 2.300833 best test_acc 0.1204
e 104 | malicious users: 4 | test acc 0.1000 test loss 2.290733 best test_acc 0.1204
e 105 | malicious users: 3 | test acc 0.1000 test loss 2.299571 best test_acc 0.1204
e 106 | malicious users: 5 | test acc 0.1022 test loss 2.274921 best test_acc 0.1204
e 107 | malicious users: 6 | test acc 0.1000 test loss 2.277619 best test_acc 0.1204
e 108 | malicious users: 2 | test acc 0.1000 test loss 2.240395 best test_acc 0.1204
e 109 | malicious users: 9 | test acc 0.1000 test loss 2.376220 best test_acc 0.1204
e 110 | malicious users: 7 | test acc 0.1000 test loss 2.303231 best test_acc 0.1204
e 111 | malicious users: 2 | test acc 0.1184 test loss 2.313974 best test_acc 0.1204
e 112 | malicious users: 5 | test acc 0.1000 test loss 2.290327 best test_acc 0.1204
e 113 | malicious users: 7 | test acc 0.1139 test loss 2.319655 best test_acc 0.1204
e 114 | malicious users: 3 | test acc 0.1026 test loss 2.302526 best test_acc 0.1204
e 115 | malicious users: 7 | test acc 0.1163 test loss 2.489654 best test_acc 0.1204
e 116 | malicious users: 6 | test acc 0.1191 test loss 2.288318 best test_acc 0.1204
e 117 | malicious users: 6 | test acc 0.1846 test loss 2.214508 best test_acc 0.1846
e 118 | malicious users: 3 | test acc 0.1545 test loss 2.265415 best test_acc 0.1846
e 119 | malicious users: 8 | test acc 0.1488 test loss 2.235460 best test_acc 0.1846
e 120 | malicious users: 8 | test acc 0.1492 test loss 2.288338 best test_acc 0.1846
e 121 | malicious users: 8 | test acc 0.1691 test loss 2.158715 best test_acc 0.1846
e 122 | malicious users: 4 | test acc 0.1563 test loss 2.247081 best test_acc 0.1846
e 123 | malicious users: 5 | test acc 0.1350 test loss 2.213298 best test_acc 0.1846
e 124 | malicious users: 5 | test acc 0.1478 test loss 2.135093 best test_acc 0.1846
e 125 | malicious users: 2 | test acc 0.1635 test loss 2.172669 best test_acc 0.1846
e 126 | malicious users: 6 | test acc 0.1416 test loss 2.185227 best test_acc 0.1846
e 127 | malicious users: 6 | test acc 0.1376 test loss 2.259444 best test_acc 0.1846
e 128 | malicious users: 7 | test acc 0.1637 test loss 2.122356 best test_acc 0.1846
e 129 | malicious users: 2 | test acc 0.1597 test loss 2.193466 best test_acc 0.1846
e 130 | malicious users: 3 | test acc 0.1582 test loss 2.161284 best test_acc 0.1846
e 131 | malicious users: 4 | test acc 0.1537 test loss 2.231407 best test_acc 0.1846
e 132 | malicious users: 7 | test acc 0.1623 test loss 2.184307 best test_acc 0.1846
e 133 | malicious users: 3 | test acc 0.1442 test loss 2.184567 best test_acc 0.1846
e 134 | malicious users: 6 | test acc 0.1138 test loss 2.272192 best test_acc 0.1846
e 135 | malicious users: 1 | test acc 0.1648 test loss 2.081587 best test_acc 0.1846
e 136 | malicious users: 5 | test acc 0.1928 test loss 2.138825 best test_acc 0.1928
e 137 | malicious users: 6 | test acc 0.1799 test loss 2.057719 best test_acc 0.1928
e 138 | malicious users: 5 | test acc 0.1716 test loss 2.106252 best test_acc 0.1928
e 139 | malicious users: 6 | test acc 0.1577 test loss 2.195364 best test_acc 0.1928
e 140 | malicious users: 4 | test acc 0.1701 test loss 2.033174 best test_acc 0.1928
e 141 | malicious users: 4 | test acc 0.1712 test loss 2.094007 best test_acc 0.1928
e 142 | malicious users: 2 | test acc 0.1713 test loss 2.071434 best test_acc 0.1928
e 143 | malicious users: 3 | test acc 0.1753 test loss 2.055835 best test_acc 0.1928
e 144 | malicious users: 5 | test acc 0.1716 test loss 2.049159 best test_acc 0.1928
e 145 | malicious users: 8 | test acc 0.1577 test loss 2.067537 best test_acc 0.1928
e 146 | malicious users: 5 | test acc 0.1886 test loss 2.008595 best test_acc 0.1928
e 147 | malicious users: 1 | test acc 0.1624 test loss 2.078408 best test_acc 0.1928
e 148 | malicious users: 6 | test acc 0.1739 test loss 2.045025 best test_acc 0.1928
e 149 | malicious users: 6 | test acc 0.1923 test loss 2.050589 best test_acc 0.1928
e 150 | malicious users: 5 | test acc 0.1786 test loss 2.206789 best test_acc 0.1928
e 151 | malicious users: 4 | test acc 0.1775 test loss 2.184538 best test_acc 0.1928
e 152 | malicious users: 7 | test acc 0.1621 test loss 2.215740 best test_acc 0.1928
e 153 | malicious users: 5 | test acc 0.1734 test loss 2.090937 best test_acc 0.1928
e 154 | malicious users: 3 | test acc 0.1721 test loss 2.065304 best test_acc 0.1928
e 155 | malicious users: 4 | test acc 0.1869 test loss 2.062469 best test_acc 0.1928
e 156 | malicious users: 5 | test acc 0.1811 test loss 2.105253 best test_acc 0.1928
e 157 | malicious users: 2 | test acc 0.1896 test loss 2.092484 best test_acc 0.1928
e 158 | malicious users: 6 | test acc 0.1749 test loss 2.043770 best test_acc 0.1928
e 159 | malicious users: 6 | test acc 0.1690 test loss 2.174387 best test_acc 0.1928
e 160 | malicious users: 6 | test acc 0.1646 test loss 1.969820 best test_acc 0.1928
e 161 | malicious users: 3 | test acc 0.1706 test loss 2.008588 best test_acc 0.1928
e 162 | malicious users: 6 | test acc 0.1948 test loss 2.119660 best test_acc 0.1948
e 163 | malicious users: 5 | test acc 0.2189 test loss 2.163074 best test_acc 0.2189
e 164 | malicious users: 5 | test acc 0.1945 test loss 1.961341 best test_acc 0.2189
e 165 | malicious users: 4 | test acc 0.2095 test loss 2.014916 best test_acc 0.2189
e 166 | malicious users: 2 | test acc 0.1951 test loss 1.984570 best test_acc 0.2189
e 167 | malicious users: 5 | test acc 0.1826 test loss 2.280033 best test_acc 0.2189
e 168 | malicious users: 6 | test acc 0.1538 test loss 2.227212 best test_acc 0.2189
e 169 | malicious users: 6 | test acc 0.1700 test loss 2.072285 best test_acc 0.2189
e 170 | malicious users: 5 | test acc 0.2148 test loss 2.098950 best test_acc 0.2189
e 171 | malicious users: 6 | test acc 0.2283 test loss 1.979737 best test_acc 0.2283
e 172 | malicious users: 7 | test acc 0.1977 test loss 2.056263 best test_acc 0.2283
e 173 | malicious users: 7 | test acc 0.2175 test loss 1.973762 best test_acc 0.2283
e 174 | malicious users: 4 | test acc 0.2147 test loss 2.109718 best test_acc 0.2283
e 175 | malicious users: 2 | test acc 0.2365 test loss 1.931431 best test_acc 0.2365
e 176 | malicious users: 8 | test acc 0.2071 test loss 2.007249 best test_acc 0.2365
e 177 | malicious users: 5 | test acc 0.2077 test loss 2.193962 best test_acc 0.2365
e 178 | malicious users: 4 | test acc 0.1545 test loss 2.014562 best test_acc 0.2365
e 179 | malicious users: 2 | test acc 0.2228 test loss 2.047073 best test_acc 0.2365
e 180 | malicious users: 6 | test acc 0.1795 test loss 2.006530 best test_acc 0.2365
e 181 | malicious users: 7 | test acc 0.2127 test loss 2.009091 best test_acc 0.2365
e 182 | malicious users: 4 | test acc 0.1912 test loss 2.054769 best test_acc 0.2365
e 183 | malicious users: 6 | test acc 0.2040 test loss 2.170178 best test_acc 0.2365
e 184 | malicious users: 3 | test acc 0.2444 test loss 1.954559 best test_acc 0.2444
e 185 | malicious users: 4 | test acc 0.2279 test loss 1.948535 best test_acc 0.2444
e 186 | malicious users: 7 | test acc 0.2080 test loss 2.015172 best test_acc 0.2444
e 187 | malicious users: 6 | test acc 0.2037 test loss 2.030290 best test_acc 0.2444
e 188 | malicious users: 5 | test acc 0.2116 test loss 2.051033 best test_acc 0.2444
e 189 | malicious users: 3 | test acc 0.2047 test loss 1.938855 best test_acc 0.2444
e 190 | malicious users: 4 | test acc 0.2086 test loss 1.969528 best test_acc 0.2444
e 191 | malicious users: 3 | test acc 0.2268 test loss 1.961898 best test_acc 0.2444
e 192 | malicious users: 6 | test acc 0.2351 test loss 2.001503 best test_acc 0.2444
e 193 | malicious users: 3 | test acc 0.2307 test loss 2.149412 best test_acc 0.2444
e 194 | malicious users: 6 | test acc 0.2370 test loss 2.193943 best test_acc 0.2444
e 195 | malicious users: 5 | test acc 0.1994 test loss 2.152714 best test_acc 0.2444
e 196 | malicious users: 4 | test acc 0.2472 test loss 1.970267 best test_acc 0.2472
e 197 | malicious users: 1 | test acc 0.2674 test loss 1.849697 best test_acc 0.2674
e 198 | malicious users: 9 | test acc 0.2345 test loss 2.173416 best test_acc 0.2674
e 199 | malicious users: 4 | test acc 0.1774 test loss 2.206871 best test_acc 0.2674
e 200 | malicious users: 7 | test acc 0.1974 test loss 2.099695 best test_acc 0.2674
e 201 | malicious users: 5 | test acc 0.2292 test loss 2.149550 best test_acc 0.2674
e 202 | malicious users: 5 | test acc 0.2297 test loss 1.980844 best test_acc 0.2674
e 203 | malicious users: 5 | test acc 0.2250 test loss 2.043148 best test_acc 0.2674
e 204 | malicious users: 6 | test acc 0.2063 test loss 1.941335 best test_acc 0.2674
e 205 | malicious users: 3 | test acc 0.2081 test loss 1.956311 best test_acc 0.2674
e 206 | malicious users: 7 | test acc 0.2559 test loss 1.944035 best test_acc 0.2674
e 207 | malicious users: 3 | test acc 0.2361 test loss 1.939979 best test_acc 0.2674
e 208 | malicious users: 4 | test acc 0.2403 test loss 1.947309 best test_acc 0.2674
e 209 | malicious users: 2 | test acc 0.2675 test loss 1.887812 best test_acc 0.2675
e 210 | malicious users: 5 | test acc 0.2378 test loss 2.043097 best test_acc 0.2675
e 211 | malicious users: 7 | test acc 0.2310 test loss 2.052667 best test_acc 0.2675
e 212 | malicious users: 3 | test acc 0.2752 test loss 1.899504 best test_acc 0.2752
e 213 | malicious users: 7 | test acc 0.2084 test loss 2.228798 best test_acc 0.2752
e 214 | malicious users: 9 | test acc 0.2122 test loss 2.006029 best test_acc 0.2752
e 215 | malicious users: 6 | test acc 0.2027 test loss 1.998200 best test_acc 0.2752
e 216 | malicious users: 5 | test acc 0.2253 test loss 1.916561 best test_acc 0.2752
e 217 | malicious users: 8 | test acc 0.2585 test loss 1.903996 best test_acc 0.2752
e 218 | malicious users: 1 | test acc 0.2724 test loss 1.873141 best test_acc 0.2752
e 219 | malicious users: 9 | test acc 0.2835 test loss 1.883778 best test_acc 0.2835
e 220 | malicious users: 6 | test acc 0.2464 test loss 1.891531 best test_acc 0.2835
e 221 | malicious users: 10 | test acc 0.2497 test loss 1.947567 best test_acc 0.2835
e 222 | malicious users: 4 | test acc 0.2337 test loss 1.991487 best test_acc 0.2835
e 223 | malicious users: 6 | test acc 0.2513 test loss 2.047502 best test_acc 0.2835
e 224 | malicious users: 8 | test acc 0.2709 test loss 1.989100 best test_acc 0.2835
e 225 | malicious users: 5 | test acc 0.2638 test loss 1.917768 best test_acc 0.2835
e 226 | malicious users: 7 | test acc 0.1588 test loss 2.169736 best test_acc 0.2835
e 227 | malicious users: 5 | test acc 0.2610 test loss 1.844116 best test_acc 0.2835
e 228 | malicious users: 5 | test acc 0.1986 test loss 2.041055 best test_acc 0.2835
e 229 | malicious users: 3 | test acc 0.2300 test loss 1.910507 best test_acc 0.2835
e 230 | malicious users: 5 | test acc 0.2427 test loss 1.996377 best test_acc 0.2835
e 231 | malicious users: 5 | test acc 0.2449 test loss 2.000556 best test_acc 0.2835
e 232 | malicious users: 6 | test acc 0.2309 test loss 1.938161 best test_acc 0.2835
e 233 | malicious users: 4 | test acc 0.2644 test loss 1.863757 best test_acc 0.2835
e 234 | malicious users: 1 | test acc 0.2733 test loss 1.892964 best test_acc 0.2835
e 235 | malicious users: 5 | test acc 0.2813 test loss 1.941664 best test_acc 0.2835
e 236 | malicious users: 3 | test acc 0.2423 test loss 1.905572 best test_acc 0.2835
e 237 | malicious users: 6 | test acc 0.2055 test loss 2.039411 best test_acc 0.2835
e 238 | malicious users: 4 | test acc 0.2157 test loss 2.101033 best test_acc 0.2835
e 239 | malicious users: 8 | test acc 0.1719 test loss 2.102325 best test_acc 0.2835
e 240 | malicious users: 6 | test acc 0.2191 test loss 2.068859 best test_acc 0.2835
e 241 | malicious users: 7 | test acc 0.2444 test loss 1.949772 best test_acc 0.2835
e 242 | malicious users: 6 | test acc 0.2341 test loss 1.935013 best test_acc 0.2835
e 243 | malicious users: 5 | test acc 0.2900 test loss 1.873746 best test_acc 0.2900
e 244 | malicious users: 7 | test acc 0.2966 test loss 1.840570 best test_acc 0.2966
e 245 | malicious users: 6 | test acc 0.2676 test loss 1.915408 best test_acc 0.2966
e 246 | malicious users: 3 | test acc 0.2699 test loss 1.898993 best test_acc 0.2966
e 247 | malicious users: 4 | test acc 0.3066 test loss 1.866364 best test_acc 0.3066
e 248 | malicious users: 8 | test acc 0.2552 test loss 1.931379 best test_acc 0.3066
e 249 | malicious users: 5 | test acc 0.2700 test loss 1.914526 best test_acc 0.3066
e 250 | malicious users: 7 | test acc 0.3034 test loss 1.867456 best test_acc 0.3066
e 251 | malicious users: 7 | test acc 0.2748 test loss 1.928316 best test_acc 0.3066
e 252 | malicious users: 3 | test acc 0.2310 test loss 1.924192 best test_acc 0.3066
e 253 | malicious users: 5 | test acc 0.2598 test loss 2.601870 best test_acc 0.3066
e 254 | malicious users: 3 | test acc 0.1888 test loss 2.063321 best test_acc 0.3066
e 255 | malicious users: 10 | test acc 0.1965 test loss 3.079891 best test_acc 0.3066
e 256 | malicious users: 6 | test acc 0.1924 test loss 2.216720 best test_acc 0.3066
e 257 | malicious users: 3 | test acc 0.2229 test loss 2.016688 best test_acc 0.3066
e 258 | malicious users: 3 | test acc 0.2607 test loss 1.942647 best test_acc 0.3066
e 259 | malicious users: 6 | test acc 0.2086 test loss 2.114378 best test_acc 0.3066
e 260 | malicious users: 2 | test acc 0.2571 test loss 1.922086 best test_acc 0.3066
e 261 | malicious users: 4 | test acc 0.2762 test loss 1.847031 best test_acc 0.3066
e 262 | malicious users: 7 | test acc 0.2661 test loss 1.935797 best test_acc 0.3066
e 263 | malicious users: 6 | test acc 0.2667 test loss 1.952228 best test_acc 0.3066
e 264 | malicious users: 2 | test acc 0.2774 test loss 1.853128 best test_acc 0.3066
e 265 | malicious users: 4 | test acc 0.2232 test loss 1.947480 best test_acc 0.3066
e 266 | malicious users: 7 | test acc 0.2375 test loss 1.969217 best test_acc 0.3066
e 267 | malicious users: 2 | test acc 0.2670 test loss 1.867573 best test_acc 0.3066
e 268 | malicious users: 4 | test acc 0.2740 test loss 1.855123 best test_acc 0.3066
e 269 | malicious users: 6 | test acc 0.2598 test loss 1.986502 best test_acc 0.3066
e 270 | malicious users: 5 | test acc 0.3061 test loss 1.839207 best test_acc 0.3066
e 271 | malicious users: 3 | test acc 0.2960 test loss 1.892655 best test_acc 0.3066
e 272 | malicious users: 7 | test acc 0.2798 test loss 1.897788 best test_acc 0.3066
e 273 | malicious users: 1 | test acc 0.3003 test loss 1.820658 best test_acc 0.3066
e 274 | malicious users: 3 | test acc 0.2967 test loss 1.841984 best test_acc 0.3066
e 275 | malicious users: 4 | test acc 0.2997 test loss 1.823174 best test_acc 0.3066
e 276 | malicious users: 2 | test acc 0.2936 test loss 1.833145 best test_acc 0.3066
e 277 | malicious users: 3 | test acc 0.3157 test loss 1.813728 best test_acc 0.3157
