2024-06-16 14:25:09,222 INFO    Thread-9 (_run_job):993253 [wandb_setup.py:_flush():76] Current SDK version is 0.16.6
2024-06-16 14:25:09,223 INFO    Thread-9 (_run_job):993253 [wandb_setup.py:_flush():76] Configure stats pid to 993253
2024-06-16 14:25:09,223 INFO    Thread-9 (_run_job):993253 [wandb_setup.py:_flush():76] Loading settings from /home/test/.config/wandb/settings
2024-06-16 14:25:09,223 INFO    Thread-9 (_run_job):993253 [wandb_setup.py:_flush():76] Loading settings from /home/test/FRL/wandb/settings
2024-06-16 14:25:09,223 INFO    Thread-9 (_run_job):993253 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'project': 'mnist-update-ignostic', 'entity': 'griffith', 'root_dir': '/home/test/FRL', 'run_id': 'evbsbd06', 'sweep_param_path': '/home/test/FRL/wandb/sweep-ir4h70ep/config-evbsbd06.yaml', 'sweep_id': 'ir4h70ep'}
2024-06-16 14:25:09,223 INFO    Thread-9 (_run_job):993253 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-06-16 14:25:09,223 INFO    Thread-9 (_run_job):993253 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program_abspath': '/home/test/FRL/main.py', 'program': '/home/test/FRL/main.py'}
2024-06-16 14:25:09,223 INFO    Thread-9 (_run_job):993253 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-06-16 14:25:09,223 INFO    Thread-9 (_run_job):993253 [wandb_init.py:_log_setup():521] Logging user logs to /home/test/FRL/wandb/run-20240616_142509-evbsbd06/logs/debug.log
2024-06-16 14:25:09,223 INFO    Thread-9 (_run_job):993253 [wandb_init.py:_log_setup():522] Logging internal logs to /home/test/FRL/wandb/run-20240616_142509-evbsbd06/logs/debug-internal.log
2024-06-16 14:25:09,223 INFO    Thread-9 (_run_job):993253 [wandb_init.py:init():561] calling init triggers
2024-06-16 14:25:09,223 INFO    Thread-9 (_run_job):993253 [wandb_init.py:init():568] wandb.init called with sweep_config: {'attacks': 'rank-reverse', 'k': 0.1, 'm_r': 0.2, 'mode': 'combined', 'non_iid': 1}
config: {}
2024-06-16 14:25:09,223 INFO    Thread-9 (_run_job):993253 [wandb_init.py:init():606] wandb.init() called when a run is still active
2024-06-16 15:11:51,238 INFO    Thread-9 (_run_job):993253 [wandb_run.py:_finish():2064] finishing run griffith/mnist-update-ignostic/evbsbd06
2024-06-16 15:11:51,238 INFO    Thread-9 (_run_job):993253 [wandb_run.py:_atexit_cleanup():2304] got exitcode: 0
2024-06-16 15:11:51,238 INFO    Thread-9 (_run_job):993253 [wandb_run.py:_restore():2287] restore
2024-06-16 15:11:51,238 INFO    Thread-9 (_run_job):993253 [wandb_run.py:_restore():2293] restore done
2024-06-16 15:11:57,665 INFO    Thread-9 (_run_job):993253 [wandb_run.py:_footer_history_summary_info():3936] rendering history
2024-06-16 15:11:57,666 INFO    Thread-9 (_run_job):993253 [wandb_run.py:_footer_history_summary_info():3968] rendering summary
2024-06-16 15:11:57,672 INFO    Thread-9 (_run_job):993253 [wandb_run.py:_footer_sync_info():3895] logging synced files
