=> Saving data in Logs/FRL~try=417
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.3
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  FRL_fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.00 | total number of malicious clients: 0
e 0 | malicious users: 0 | test acc 0.1229 test loss 2.240490 best test_acc 0.1229
e 1 | malicious users: 0 | test acc 0.3405 test loss 2.065757 best test_acc 0.3405
e 2 | malicious users: 0 | test acc 0.3362 test loss 2.031455 best test_acc 0.3405
e 3 | malicious users: 0 | test acc 0.4963 test loss 1.747242 best test_acc 0.4963
e 4 | malicious users: 0 | test acc 0.5573 test loss 1.677980 best test_acc 0.5573
e 5 | malicious users: 0 | test acc 0.5035 test loss 1.570449 best test_acc 0.5573
e 6 | malicious users: 0 | test acc 0.5853 test loss 1.333860 best test_acc 0.5853
e 7 | malicious users: 0 | test acc 0.5381 test loss 1.471420 best test_acc 0.5853
e 8 | malicious users: 0 | test acc 0.6589 test loss 1.229191 best test_acc 0.6589
e 9 | malicious users: 0 | test acc 0.5734 test loss 1.144918 best test_acc 0.6589
e 10 | malicious users: 0 | test acc 0.7131 test loss 1.109721 best test_acc 0.7131
e 11 | malicious users: 0 | test acc 0.6988 test loss 1.172580 best test_acc 0.7131
e 12 | malicious users: 0 | test acc 0.6670 test loss 1.049292 best test_acc 0.7131
e 13 | malicious users: 0 | test acc 0.6979 test loss 1.074109 best test_acc 0.7131
e 14 | malicious users: 0 | test acc 0.6607 test loss 1.123054 best test_acc 0.7131
e 15 | malicious users: 0 | test acc 0.7204 test loss 1.049706 best test_acc 0.7204
e 16 | malicious users: 0 | test acc 0.7454 test loss 0.816835 best test_acc 0.7454
e 17 | malicious users: 0 | test acc 0.7727 test loss 0.846943 best test_acc 0.7727
e 18 | malicious users: 0 | test acc 0.6877 test loss 0.885830 best test_acc 0.7727
e 19 | malicious users: 0 | test acc 0.7718 test loss 0.645627 best test_acc 0.7727
e 20 | malicious users: 0 | test acc 0.6534 test loss 0.898521 best test_acc 0.7727
e 21 | malicious users: 0 | test acc 0.6791 test loss 1.003673 best test_acc 0.7727
e 22 | malicious users: 0 | test acc 0.8010 test loss 0.731819 best test_acc 0.8010
e 23 | malicious users: 0 | test acc 0.6942 test loss 0.902534 best test_acc 0.8010
e 24 | malicious users: 0 | test acc 0.8144 test loss 0.640972 best test_acc 0.8144
e 25 | malicious users: 0 | test acc 0.7080 test loss 0.912782 best test_acc 0.8144
e 26 | malicious users: 0 | test acc 0.8046 test loss 0.741880 best test_acc 0.8144
e 27 | malicious users: 0 | test acc 0.7726 test loss 0.923250 best test_acc 0.8144
e 28 | malicious users: 0 | test acc 0.8415 test loss 0.620386 best test_acc 0.8415
e 29 | malicious users: 0 | test acc 0.8274 test loss 0.697391 best test_acc 0.8415
e 30 | malicious users: 0 | test acc 0.8776 test loss 0.579940 best test_acc 0.8776
e 31 | malicious users: 0 | test acc 0.8654 test loss 0.718641 best test_acc 0.8776
e 32 | malicious users: 0 | test acc 0.8729 test loss 0.560253 best test_acc 0.8776
e 33 | malicious users: 0 | test acc 0.8061 test loss 0.763738 best test_acc 0.8776
e 34 | malicious users: 0 | test acc 0.8206 test loss 0.680569 best test_acc 0.8776
e 35 | malicious users: 0 | test acc 0.8680 test loss 0.623866 best test_acc 0.8776
e 36 | malicious users: 0 | test acc 0.7328 test loss 0.818975 best test_acc 0.8776
e 37 | malicious users: 0 | test acc 0.8090 test loss 0.637352 best test_acc 0.8776
e 38 | malicious users: 0 | test acc 0.7896 test loss 0.599338 best test_acc 0.8776
e 39 | malicious users: 0 | test acc 0.8502 test loss 0.637481 best test_acc 0.8776
e 40 | malicious users: 0 | test acc 0.7665 test loss 0.680964 best test_acc 0.8776
e 41 | malicious users: 0 | test acc 0.8752 test loss 0.699044 best test_acc 0.8776
e 42 | malicious users: 0 | test acc 0.8609 test loss 0.600792 best test_acc 0.8776
e 43 | malicious users: 0 | test acc 0.8288 test loss 0.595308 best test_acc 0.8776
e 44 | malicious users: 0 | test acc 0.6998 test loss 0.861777 best test_acc 0.8776
e 45 | malicious users: 0 | test acc 0.8133 test loss 0.689595 best test_acc 0.8776
e 46 | malicious users: 0 | test acc 0.8164 test loss 0.612883 best test_acc 0.8776
e 47 | malicious users: 0 | test acc 0.8765 test loss 0.584763 best test_acc 0.8776
e 48 | malicious users: 0 | test acc 0.8157 test loss 0.511026 best test_acc 0.8776
e 49 | malicious users: 0 | test acc 0.8655 test loss 0.570176 best test_acc 0.8776
e 50 | malicious users: 0 | test acc 0.7803 test loss 0.694105 best test_acc 0.8776
e 51 | malicious users: 0 | test acc 0.9001 test loss 0.474316 best test_acc 0.9001
e 52 | malicious users: 0 | test acc 0.7801 test loss 0.687606 best test_acc 0.9001
e 53 | malicious users: 0 | test acc 0.8919 test loss 0.497260 best test_acc 0.9001
e 54 | malicious users: 0 | test acc 0.9013 test loss 0.541205 best test_acc 0.9013
e 55 | malicious users: 0 | test acc 0.9052 test loss 0.492033 best test_acc 0.9052
e 56 | malicious users: 0 | test acc 0.8574 test loss 0.564456 best test_acc 0.9052
e 57 | malicious users: 0 | test acc 0.8156 test loss 0.588769 best test_acc 0.9052
e 58 | malicious users: 0 | test acc 0.7690 test loss 0.748510 best test_acc 0.9052
e 59 | malicious users: 0 | test acc 0.8404 test loss 0.767671 best test_acc 0.9052
e 60 | malicious users: 0 | test acc 0.9067 test loss 0.491008 best test_acc 0.9067
e 61 | malicious users: 0 | test acc 0.8669 test loss 0.405031 best test_acc 0.9067
e 62 | malicious users: 0 | test acc 0.8630 test loss 0.445114 best test_acc 0.9067
e 63 | malicious users: 0 | test acc 0.9030 test loss 0.408756 best test_acc 0.9067
e 64 | malicious users: 0 | test acc 0.9071 test loss 0.432648 best test_acc 0.9071
e 65 | malicious users: 0 | test acc 0.8996 test loss 0.471904 best test_acc 0.9071
e 66 | malicious users: 0 | test acc 0.8209 test loss 0.645341 best test_acc 0.9071
e 67 | malicious users: 0 | test acc 0.7937 test loss 0.577414 best test_acc 0.9071
e 68 | malicious users: 0 | test acc 0.8904 test loss 0.411244 best test_acc 0.9071
e 69 | malicious users: 0 | test acc 0.8958 test loss 0.571661 best test_acc 0.9071
e 70 | malicious users: 0 | test acc 0.7810 test loss 0.670686 best test_acc 0.9071
e 71 | malicious users: 0 | test acc 0.8805 test loss 0.485536 best test_acc 0.9071
e 72 | malicious users: 0 | test acc 0.7920 test loss 0.571964 best test_acc 0.9071
e 73 | malicious users: 0 | test acc 0.8886 test loss 0.460124 best test_acc 0.9071
e 74 | malicious users: 0 | test acc 0.8355 test loss 0.613489 best test_acc 0.9071
e 75 | malicious users: 0 | test acc 0.8523 test loss 0.592635 best test_acc 0.9071
e 76 | malicious users: 0 | test acc 0.9136 test loss 0.566347 best test_acc 0.9136
e 77 | malicious users: 0 | test acc 0.9282 test loss 0.361404 best test_acc 0.9282
e 78 | malicious users: 0 | test acc 0.8477 test loss 0.466405 best test_acc 0.9282
e 79 | malicious users: 0 | test acc 0.6907 test loss 0.811788 best test_acc 0.9282
e 80 | malicious users: 0 | test acc 0.8263 test loss 0.517456 best test_acc 0.9282
e 81 | malicious users: 0 | test acc 0.9090 test loss 0.496637 best test_acc 0.9282
e 82 | malicious users: 0 | test acc 0.8811 test loss 0.527831 best test_acc 0.9282
e 83 | malicious users: 0 | test acc 0.8911 test loss 0.496187 best test_acc 0.9282
e 84 | malicious users: 0 | test acc 0.8778 test loss 0.453027 best test_acc 0.9282
e 85 | malicious users: 0 | test acc 0.8892 test loss 0.530841 best test_acc 0.9282
e 86 | malicious users: 0 | test acc 0.9162 test loss 0.321918 best test_acc 0.9282
e 87 | malicious users: 0 | test acc 0.8114 test loss 0.639150 best test_acc 0.9282
e 88 | malicious users: 0 | test acc 0.9153 test loss 0.430967 best test_acc 0.9282
e 89 | malicious users: 0 | test acc 0.9058 test loss 0.390303 best test_acc 0.9282
e 90 | malicious users: 0 | test acc 0.8787 test loss 0.426993 best test_acc 0.9282
e 91 | malicious users: 0 | test acc 0.8688 test loss 0.492800 best test_acc 0.9282
e 92 | malicious users: 0 | test acc 0.8051 test loss 0.615720 best test_acc 0.9282
e 93 | malicious users: 0 | test acc 0.8975 test loss 0.523298 best test_acc 0.9282
e 94 | malicious users: 0 | test acc 0.7683 test loss 0.604200 best test_acc 0.9282
e 95 | malicious users: 0 | test acc 0.8121 test loss 0.634109 best test_acc 0.9282
e 96 | malicious users: 0 | test acc 0.9271 test loss 0.356807 best test_acc 0.9282
e 97 | malicious users: 0 | test acc 0.8770 test loss 0.524634 best test_acc 0.9282
e 98 | malicious users: 0 | test acc 0.9120 test loss 0.506794 best test_acc 0.9282
e 99 | malicious users: 0 | test acc 0.9108 test loss 0.405579 best test_acc 0.9282
e 100 | malicious users: 0 | test acc 0.8235 test loss 0.590183 best test_acc 0.9282
e 101 | malicious users: 0 | test acc 0.8545 test loss 0.619855 best test_acc 0.9282
e 102 | malicious users: 0 | test acc 0.9137 test loss 0.429271 best test_acc 0.9282
e 103 | malicious users: 0 | test acc 0.8331 test loss 0.612770 best test_acc 0.9282
e 104 | malicious users: 0 | test acc 0.8923 test loss 0.554599 best test_acc 0.9282
e 105 | malicious users: 0 | test acc 0.8471 test loss 0.522836 best test_acc 0.9282
e 106 | malicious users: 0 | test acc 0.8938 test loss 0.370686 best test_acc 0.9282
e 107 | malicious users: 0 | test acc 0.8973 test loss 0.415456 best test_acc 0.9282
e 108 | malicious users: 0 | test acc 0.8915 test loss 0.562262 best test_acc 0.9282
e 109 | malicious users: 0 | test acc 0.9378 test loss 0.296413 best test_acc 0.9378
