=> Saving data in Logs/FRL~try=733
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.5
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  FRL_defense_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.00 | total number of malicious clients: 0
e 0 | malicious users: 0 | test acc 0.3441 test loss 2.237767 best test_acc 0.3441
e 1 | malicious users: 0 | test acc 0.2704 test loss 2.241881 best test_acc 0.3441
e 2 | malicious users: 0 | test acc 0.2990 test loss 1.997526 best test_acc 0.3441
e 3 | malicious users: 0 | test acc 0.5302 test loss 1.803621 best test_acc 0.5302
e 4 | malicious users: 0 | test acc 0.6313 test loss 1.727218 best test_acc 0.6313
e 5 | malicious users: 0 | test acc 0.6591 test loss 1.455777 best test_acc 0.6591
e 6 | malicious users: 0 | test acc 0.5454 test loss 1.325872 best test_acc 0.6591
e 7 | malicious users: 0 | test acc 0.6170 test loss 1.202336 best test_acc 0.6591
e 8 | malicious users: 0 | test acc 0.7267 test loss 1.166120 best test_acc 0.7267
e 9 | malicious users: 0 | test acc 0.5718 test loss 1.155956 best test_acc 0.7267
e 10 | malicious users: 0 | test acc 0.7214 test loss 1.011109 best test_acc 0.7267
e 11 | malicious users: 0 | test acc 0.7934 test loss 0.829793 best test_acc 0.7934
e 12 | malicious users: 0 | test acc 0.7489 test loss 0.850710 best test_acc 0.7934
e 13 | malicious users: 0 | test acc 0.8284 test loss 0.847005 best test_acc 0.8284
e 14 | malicious users: 0 | test acc 0.7954 test loss 0.664143 best test_acc 0.8284
e 15 | malicious users: 0 | test acc 0.7307 test loss 0.930562 best test_acc 0.8284
e 16 | malicious users: 0 | test acc 0.7510 test loss 0.738734 best test_acc 0.8284
e 17 | malicious users: 0 | test acc 0.6642 test loss 0.989756 best test_acc 0.8284
e 18 | malicious users: 0 | test acc 0.8489 test loss 0.641845 best test_acc 0.8489
e 19 | malicious users: 0 | test acc 0.8392 test loss 0.617995 best test_acc 0.8489
e 20 | malicious users: 0 | test acc 0.7949 test loss 0.564347 best test_acc 0.8489
e 21 | malicious users: 0 | test acc 0.8001 test loss 0.846718 best test_acc 0.8489
e 22 | malicious users: 0 | test acc 0.7054 test loss 0.726980 best test_acc 0.8489
