=> Saving data in Logs/FRL~try=351
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.5
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  FRL_Euclidean
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.1966 test loss 2.284657 best test_acc 0.1966
e 1 | malicious users: 5 | test acc 0.1807 test loss 2.240575 best test_acc 0.1966
e 2 | malicious users: 5 | test acc 0.2930 test loss 2.152938 best test_acc 0.2930
e 3 | malicious users: 5 | test acc 0.4769 test loss 2.144524 best test_acc 0.4769
e 4 | malicious users: 5 | test acc 0.5007 test loss 1.976651 best test_acc 0.5007
e 5 | malicious users: 5 | test acc 0.4424 test loss 2.066158 best test_acc 0.5007
e 6 | malicious users: 5 | test acc 0.4677 test loss 2.005535 best test_acc 0.5007
e 7 | malicious users: 5 | test acc 0.4878 test loss 2.075175 best test_acc 0.5007
e 8 | malicious users: 5 | test acc 0.4915 test loss 1.994038 best test_acc 0.5007
e 9 | malicious users: 5 | test acc 0.5494 test loss 2.069932 best test_acc 0.5494
e 10 | malicious users: 5 | test acc 0.4042 test loss 2.095786 best test_acc 0.5494
e 11 | malicious users: 5 | test acc 0.5136 test loss 2.088958 best test_acc 0.5494
e 12 | malicious users: 5 | test acc 0.3851 test loss 2.011233 best test_acc 0.5494
e 13 | malicious users: 5 | test acc 0.5726 test loss 1.940818 best test_acc 0.5726
e 14 | malicious users: 5 | test acc 0.6333 test loss 2.055083 best test_acc 0.6333
e 15 | malicious users: 5 | test acc 0.4283 test loss 1.938185 best test_acc 0.6333
e 16 | malicious users: 5 | test acc 0.6095 test loss 2.098711 best test_acc 0.6333
e 17 | malicious users: 5 | test acc 0.5392 test loss 2.059549 best test_acc 0.6333
e 18 | malicious users: 5 | test acc 0.4997 test loss 1.952428 best test_acc 0.6333
e 19 | malicious users: 5 | test acc 0.6562 test loss 1.721677 best test_acc 0.6562
e 20 | malicious users: 5 | test acc 0.5615 test loss 1.895926 best test_acc 0.6562
e 21 | malicious users: 5 | test acc 0.6541 test loss 1.730776 best test_acc 0.6562
e 22 | malicious users: 5 | test acc 0.5614 test loss 1.792292 best test_acc 0.6562
e 23 | malicious users: 5 | test acc 0.5723 test loss 1.834191 best test_acc 0.6562
e 24 | malicious users: 5 | test acc 0.6836 test loss 1.810574 best test_acc 0.6836
e 25 | malicious users: 5 | test acc 0.6132 test loss 1.749901 best test_acc 0.6836
e 26 | malicious users: 5 | test acc 0.6025 test loss 1.736303 best test_acc 0.6836
e 27 | malicious users: 5 | test acc 0.6619 test loss 1.735273 best test_acc 0.6836
e 28 | malicious users: 5 | test acc 0.5527 test loss 1.878559 best test_acc 0.6836
e 29 | malicious users: 5 | test acc 0.6278 test loss 1.862047 best test_acc 0.6836
e 30 | malicious users: 5 | test acc 0.5217 test loss 1.754752 best test_acc 0.6836
e 31 | malicious users: 5 | test acc 0.7108 test loss 1.734198 best test_acc 0.7108
e 32 | malicious users: 5 | test acc 0.6849 test loss 1.886998 best test_acc 0.7108
e 33 | malicious users: 5 | test acc 0.6193 test loss 1.696569 best test_acc 0.7108
e 34 | malicious users: 5 | test acc 0.5295 test loss 1.945378 best test_acc 0.7108
e 35 | malicious users: 5 | test acc 0.6647 test loss 1.786789 best test_acc 0.7108
e 36 | malicious users: 5 | test acc 0.6261 test loss 1.739627 best test_acc 0.7108
e 37 | malicious users: 5 | test acc 0.6394 test loss 1.828833 best test_acc 0.7108
e 38 | malicious users: 5 | test acc 0.6495 test loss 1.764247 best test_acc 0.7108
e 39 | malicious users: 5 | test acc 0.6778 test loss 1.783634 best test_acc 0.7108
e 40 | malicious users: 5 | test acc 0.6371 test loss 1.810471 best test_acc 0.7108
e 41 | malicious users: 5 | test acc 0.6476 test loss 1.564733 best test_acc 0.7108
e 42 | malicious users: 5 | test acc 0.6316 test loss 1.901035 best test_acc 0.7108
e 43 | malicious users: 5 | test acc 0.6909 test loss 1.715035 best test_acc 0.7108
e 44 | malicious users: 5 | test acc 0.7093 test loss 1.616733 best test_acc 0.7108
e 45 | malicious users: 5 | test acc 0.6192 test loss 1.408882 best test_acc 0.7108
e 46 | malicious users: 5 | test acc 0.7064 test loss 1.771734 best test_acc 0.7108
e 47 | malicious users: 5 | test acc 0.6664 test loss 1.491737 best test_acc 0.7108
e 48 | malicious users: 5 | test acc 0.6087 test loss 1.988990 best test_acc 0.7108
e 49 | malicious users: 5 | test acc 0.5985 test loss 1.536000 best test_acc 0.7108
e 50 | malicious users: 5 | test acc 0.6320 test loss 1.819757 best test_acc 0.7108
e 51 | malicious users: 5 | test acc 0.6916 test loss 1.770326 best test_acc 0.7108
e 52 | malicious users: 5 | test acc 0.6249 test loss 1.609949 best test_acc 0.7108
e 53 | malicious users: 5 | test acc 0.5966 test loss 1.638275 best test_acc 0.7108
