=> Saving data in Logs/FRL~try=720
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.9
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.2383 test loss 2.229552 best test_acc 0.2383
e 1 | malicious users: 5 | test acc 0.4110 test loss 1.906588 best test_acc 0.4110
e 2 | malicious users: 5 | test acc 0.4745 test loss 1.510289 best test_acc 0.4745
e 3 | malicious users: 5 | test acc 0.5830 test loss 1.533341 best test_acc 0.5830
e 4 | malicious users: 5 | test acc 0.6381 test loss 1.224339 best test_acc 0.6381
e 5 | malicious users: 5 | test acc 0.6047 test loss 1.152772 best test_acc 0.6381
e 6 | malicious users: 5 | test acc 0.7017 test loss 0.852171 best test_acc 0.7017
e 7 | malicious users: 5 | test acc 0.5401 test loss 1.352361 best test_acc 0.7017
e 8 | malicious users: 5 | test acc 0.7115 test loss 0.849615 best test_acc 0.7115
e 9 | malicious users: 5 | test acc 0.6382 test loss 1.101031 best test_acc 0.7115
e 10 | malicious users: 5 | test acc 0.7294 test loss 0.914675 best test_acc 0.7294
e 11 | malicious users: 5 | test acc 0.7418 test loss 0.856721 best test_acc 0.7418
e 12 | malicious users: 5 | test acc 0.6519 test loss 1.013419 best test_acc 0.7418
e 13 | malicious users: 5 | test acc 0.7426 test loss 0.765609 best test_acc 0.7426
e 14 | malicious users: 5 | test acc 0.8017 test loss 0.707646 best test_acc 0.8017
e 15 | malicious users: 5 | test acc 0.7132 test loss 0.757240 best test_acc 0.8017
e 16 | malicious users: 5 | test acc 0.7138 test loss 0.965583 best test_acc 0.8017
e 17 | malicious users: 5 | test acc 0.7281 test loss 0.849047 best test_acc 0.8017
e 18 | malicious users: 5 | test acc 0.7809 test loss 0.709039 best test_acc 0.8017
e 19 | malicious users: 5 | test acc 0.7033 test loss 1.094047 best test_acc 0.8017
e 20 | malicious users: 5 | test acc 0.7818 test loss 0.669826 best test_acc 0.8017
e 21 | malicious users: 5 | test acc 0.6954 test loss 1.007839 best test_acc 0.8017
e 22 | malicious users: 5 | test acc 0.7461 test loss 0.614971 best test_acc 0.8017
e 23 | malicious users: 5 | test acc 0.6415 test loss 1.158024 best test_acc 0.8017
e 24 | malicious users: 5 | test acc 0.8006 test loss 0.695683 best test_acc 0.8017
e 25 | malicious users: 5 | test acc 0.6840 test loss 1.000425 best test_acc 0.8017
e 26 | malicious users: 5 | test acc 0.7521 test loss 0.714466 best test_acc 0.8017
e 27 | malicious users: 5 | test acc 0.7766 test loss 0.788709 best test_acc 0.8017
e 28 | malicious users: 5 | test acc 0.7753 test loss 0.633503 best test_acc 0.8017
e 29 | malicious users: 5 | test acc 0.7777 test loss 0.690290 best test_acc 0.8017
e 30 | malicious users: 5 | test acc 0.8327 test loss 0.581798 best test_acc 0.8327
e 31 | malicious users: 5 | test acc 0.8337 test loss 0.765395 best test_acc 0.8337
e 32 | malicious users: 5 | test acc 0.7802 test loss 0.663029 best test_acc 0.8337
e 33 | malicious users: 5 | test acc 0.7677 test loss 0.722870 best test_acc 0.8337
e 34 | malicious users: 5 | test acc 0.7417 test loss 0.752541 best test_acc 0.8337
e 35 | malicious users: 5 | test acc 0.7860 test loss 0.720221 best test_acc 0.8337
e 36 | malicious users: 5 | test acc 0.7349 test loss 0.768913 best test_acc 0.8337
e 37 | malicious users: 5 | test acc 0.8650 test loss 0.548416 best test_acc 0.8650
e 38 | malicious users: 5 | test acc 0.8282 test loss 0.638588 best test_acc 0.8650
e 39 | malicious users: 5 | test acc 0.7825 test loss 0.710269 best test_acc 0.8650
e 40 | malicious users: 5 | test acc 0.7708 test loss 0.771330 best test_acc 0.8650
e 41 | malicious users: 5 | test acc 0.7795 test loss 0.778673 best test_acc 0.8650
e 42 | malicious users: 5 | test acc 0.7343 test loss 0.737617 best test_acc 0.8650
e 43 | malicious users: 5 | test acc 0.7415 test loss 0.868550 best test_acc 0.8650
e 44 | malicious users: 5 | test acc 0.5967 test loss 1.026437 best test_acc 0.8650
e 45 | malicious users: 5 | test acc 0.7912 test loss 0.804575 best test_acc 0.8650
e 46 | malicious users: 5 | test acc 0.8191 test loss 0.563845 best test_acc 0.8650
e 47 | malicious users: 5 | test acc 0.6951 test loss 1.245829 best test_acc 0.8650
e 48 | malicious users: 5 | test acc 0.7996 test loss 0.690081 best test_acc 0.8650
e 49 | malicious users: 5 | test acc 0.7030 test loss 0.938009 best test_acc 0.8650
e 50 | malicious users: 5 | test acc 0.8209 test loss 0.615974 best test_acc 0.8650
e 51 | malicious users: 5 | test acc 0.6863 test loss 0.972512 best test_acc 0.8650
e 52 | malicious users: 5 | test acc 0.8573 test loss 0.507684 best test_acc 0.8650
e 53 | malicious users: 5 | test acc 0.8195 test loss 1.094448 best test_acc 0.8650
e 54 | malicious users: 5 | test acc 0.8540 test loss 0.490412 best test_acc 0.8650
e 55 | malicious users: 5 | test acc 0.8280 test loss 0.888166 best test_acc 0.8650
e 56 | malicious users: 5 | test acc 0.8746 test loss 0.387936 best test_acc 0.8746
e 57 | malicious users: 5 | test acc 0.6382 test loss 1.201803 best test_acc 0.8746
e 58 | malicious users: 5 | test acc 0.8154 test loss 0.517149 best test_acc 0.8746
e 59 | malicious users: 5 | test acc 0.8086 test loss 0.951287 best test_acc 0.8746
e 60 | malicious users: 5 | test acc 0.7279 test loss 0.679051 best test_acc 0.8746
e 61 | malicious users: 5 | test acc 0.6958 test loss 1.049385 best test_acc 0.8746
e 62 | malicious users: 5 | test acc 0.6794 test loss 0.839613 best test_acc 0.8746
e 63 | malicious users: 5 | test acc 0.8214 test loss 0.746027 best test_acc 0.8746
e 64 | malicious users: 5 | test acc 0.6641 test loss 0.939521 best test_acc 0.8746
e 65 | malicious users: 5 | test acc 0.8418 test loss 0.519938 best test_acc 0.8746
e 66 | malicious users: 5 | test acc 0.8344 test loss 0.653307 best test_acc 0.8746
e 67 | malicious users: 5 | test acc 0.8598 test loss 0.663725 best test_acc 0.8746
e 68 | malicious users: 5 | test acc 0.7925 test loss 0.752597 best test_acc 0.8746
e 69 | malicious users: 5 | test acc 0.6929 test loss 0.862799 best test_acc 0.8746
e 70 | malicious users: 5 | test acc 0.7250 test loss 0.774360 best test_acc 0.8746
e 71 | malicious users: 5 | test acc 0.7855 test loss 0.990944 best test_acc 0.8746
e 72 | malicious users: 5 | test acc 0.7385 test loss 0.761619 best test_acc 0.8746
e 73 | malicious users: 5 | test acc 0.6847 test loss 0.916659 best test_acc 0.8746
e 74 | malicious users: 5 | test acc 0.8439 test loss 0.544852 best test_acc 0.8746
e 75 | malicious users: 5 | test acc 0.8032 test loss 0.763737 best test_acc 0.8746
