=> Saving data in Logs/FRL~try=884
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  1
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  Reverse_mid_val
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 3 | test acc 0.3176 test loss 2.215116 best test_acc 0.3176
e 1 | malicious users: 8 | test acc 0.4225 test loss 1.964929 best test_acc 0.4225
e 2 | malicious users: 7 | test acc 0.4565 test loss 1.709188 best test_acc 0.4565
e 3 | malicious users: 4 | test acc 0.6009 test loss 1.565711 best test_acc 0.6009
e 4 | malicious users: 3 | test acc 0.6818 test loss 1.061648 best test_acc 0.6818
e 5 | malicious users: 4 | test acc 0.6419 test loss 1.170818 best test_acc 0.6818
e 6 | malicious users: 3 | test acc 0.7023 test loss 0.990896 best test_acc 0.7023
e 7 | malicious users: 6 | test acc 0.6951 test loss 0.966125 best test_acc 0.7023
e 8 | malicious users: 3 | test acc 0.7925 test loss 0.860035 best test_acc 0.7925
e 9 | malicious users: 6 | test acc 0.8219 test loss 0.843507 best test_acc 0.8219
e 10 | malicious users: 3 | test acc 0.8195 test loss 0.733443 best test_acc 0.8219
e 11 | malicious users: 2 | test acc 0.8160 test loss 0.649328 best test_acc 0.8219
e 12 | malicious users: 2 | test acc 0.8103 test loss 0.673164 best test_acc 0.8219
e 13 | malicious users: 4 | test acc 0.8898 test loss 0.531344 best test_acc 0.8898
e 14 | malicious users: 9 | test acc 0.8567 test loss 0.484157 best test_acc 0.8898
e 15 | malicious users: 5 | test acc 0.7935 test loss 0.899546 best test_acc 0.8898
e 16 | malicious users: 4 | test acc 0.8172 test loss 0.545120 best test_acc 0.8898
e 17 | malicious users: 3 | test acc 0.8895 test loss 0.522001 best test_acc 0.8898
e 18 | malicious users: 3 | test acc 0.8272 test loss 0.602692 best test_acc 0.8898
e 19 | malicious users: 6 | test acc 0.8386 test loss 0.528691 best test_acc 0.8898
e 20 | malicious users: 3 | test acc 0.8091 test loss 0.707578 best test_acc 0.8898
e 21 | malicious users: 8 | test acc 0.8080 test loss 0.620774 best test_acc 0.8898
e 22 | malicious users: 7 | test acc 0.7924 test loss 0.638194 best test_acc 0.8898
e 23 | malicious users: 3 | test acc 0.8915 test loss 0.404711 best test_acc 0.8915
e 24 | malicious users: 4 | test acc 0.8635 test loss 0.437219 best test_acc 0.8915
e 25 | malicious users: 4 | test acc 0.8996 test loss 0.493695 best test_acc 0.8996
e 26 | malicious users: 5 | test acc 0.8143 test loss 0.529014 best test_acc 0.8996
e 27 | malicious users: 3 | test acc 0.9082 test loss 0.380348 best test_acc 0.9082
e 28 | malicious users: 4 | test acc 0.8090 test loss 0.527851 best test_acc 0.9082
e 29 | malicious users: 2 | test acc 0.7670 test loss 0.619143 best test_acc 0.9082
e 30 | malicious users: 7 | test acc 0.7707 test loss 0.613574 best test_acc 0.9082
e 31 | malicious users: 7 | test acc 0.8978 test loss 0.356684 best test_acc 0.9082
e 32 | malicious users: 2 | test acc 0.8831 test loss 0.507408 best test_acc 0.9082
e 33 | malicious users: 7 | test acc 0.9202 test loss 0.405436 best test_acc 0.9202
e 34 | malicious users: 3 | test acc 0.9287 test loss 0.320538 best test_acc 0.9287
e 35 | malicious users: 2 | test acc 0.8562 test loss 0.479857 best test_acc 0.9287
e 36 | malicious users: 4 | test acc 0.9010 test loss 0.434011 best test_acc 0.9287
e 37 | malicious users: 7 | test acc 0.8435 test loss 0.479389 best test_acc 0.9287
e 38 | malicious users: 7 | test acc 0.8816 test loss 0.510741 best test_acc 0.9287
e 39 | malicious users: 6 | test acc 0.9275 test loss 0.369017 best test_acc 0.9287
e 40 | malicious users: 3 | test acc 0.8395 test loss 0.476554 best test_acc 0.9287
e 41 | malicious users: 4 | test acc 0.8848 test loss 0.458506 best test_acc 0.9287
e 42 | malicious users: 3 | test acc 0.9211 test loss 0.355069 best test_acc 0.9287
e 43 | malicious users: 5 | test acc 0.7784 test loss 0.680425 best test_acc 0.9287
e 44 | malicious users: 6 | test acc 0.9044 test loss 0.324396 best test_acc 0.9287
e 45 | malicious users: 4 | test acc 0.8996 test loss 0.641087 best test_acc 0.9287
e 46 | malicious users: 6 | test acc 0.9343 test loss 0.271820 best test_acc 0.9343
e 47 | malicious users: 4 | test acc 0.8308 test loss 0.501136 best test_acc 0.9343
e 48 | malicious users: 7 | test acc 0.7996 test loss 0.579751 best test_acc 0.9343
e 49 | malicious users: 4 | test acc 0.8480 test loss 0.429113 best test_acc 0.9343
e 50 | malicious users: 4 | test acc 0.8487 test loss 0.577601 best test_acc 0.9343
e 51 | malicious users: 4 | test acc 0.9368 test loss 0.291017 best test_acc 0.9368
e 52 | malicious users: 6 | test acc 0.8360 test loss 0.562300 best test_acc 0.9368
e 53 | malicious users: 3 | test acc 0.8668 test loss 0.456690 best test_acc 0.9368
e 54 | malicious users: 6 | test acc 0.9284 test loss 0.351362 best test_acc 0.9368
e 55 | malicious users: 7 | test acc 0.9184 test loss 0.377113 best test_acc 0.9368
e 56 | malicious users: 5 | test acc 0.8513 test loss 0.393309 best test_acc 0.9368
e 57 | malicious users: 5 | test acc 0.9094 test loss 0.325662 best test_acc 0.9368
e 58 | malicious users: 5 | test acc 0.9365 test loss 0.292929 best test_acc 0.9368
e 59 | malicious users: 2 | test acc 0.8825 test loss 0.447552 best test_acc 0.9368
e 60 | malicious users: 5 | test acc 0.9258 test loss 0.321318 best test_acc 0.9368
e 61 | malicious users: 2 | test acc 0.8565 test loss 0.420595 best test_acc 0.9368
e 62 | malicious users: 7 | test acc 0.9428 test loss 0.255795 best test_acc 0.9428
e 63 | malicious users: 8 | test acc 0.9379 test loss 0.269861 best test_acc 0.9428
e 64 | malicious users: 10 | test acc 0.8515 test loss 0.417033 best test_acc 0.9428
e 65 | malicious users: 4 | test acc 0.7363 test loss 0.698472 best test_acc 0.9428
e 66 | malicious users: 3 | test acc 0.8600 test loss 0.370541 best test_acc 0.9428
e 67 | malicious users: 2 | test acc 0.8736 test loss 0.508004 best test_acc 0.9428
e 68 | malicious users: 9 | test acc 0.8625 test loss 0.362891 best test_acc 0.9428
e 69 | malicious users: 4 | test acc 0.8910 test loss 0.386076 best test_acc 0.9428
e 70 | malicious users: 4 | test acc 0.9442 test loss 0.198906 best test_acc 0.9442
e 71 | malicious users: 9 | test acc 0.8115 test loss 0.651838 best test_acc 0.9442
e 72 | malicious users: 3 | test acc 0.9415 test loss 0.238307 best test_acc 0.9442
e 73 | malicious users: 6 | test acc 0.7823 test loss 0.704984 best test_acc 0.9442
e 74 | malicious users: 4 | test acc 0.9123 test loss 0.351147 best test_acc 0.9442
e 75 | malicious users: 5 | test acc 0.8931 test loss 0.449605 best test_acc 0.9442
e 76 | malicious users: 4 | test acc 0.9073 test loss 0.314621 best test_acc 0.9442
e 77 | malicious users: 4 | test acc 0.9359 test loss 0.340569 best test_acc 0.9442
e 78 | malicious users: 4 | test acc 0.9474 test loss 0.197122 best test_acc 0.9474
e 79 | malicious users: 7 | test acc 0.9413 test loss 0.233996 best test_acc 0.9474
e 80 | malicious users: 3 | test acc 0.9333 test loss 0.311451 best test_acc 0.9474
e 81 | malicious users: 5 | test acc 0.8787 test loss 0.415197 best test_acc 0.9474
e 82 | malicious users: 4 | test acc 0.8641 test loss 0.460384 best test_acc 0.9474
e 83 | malicious users: 5 | test acc 0.9483 test loss 0.205210 best test_acc 0.9483
e 84 | malicious users: 4 | test acc 0.9313 test loss 0.337279 best test_acc 0.9483
e 85 | malicious users: 7 | test acc 0.9288 test loss 0.276231 best test_acc 0.9483
e 86 | malicious users: 9 | test acc 0.8597 test loss 0.468283 best test_acc 0.9483
e 87 | malicious users: 3 | test acc 0.9269 test loss 0.314078 best test_acc 0.9483
e 88 | malicious users: 3 | test acc 0.9425 test loss 0.250734 best test_acc 0.9483
e 89 | malicious users: 4 | test acc 0.8813 test loss 0.421261 best test_acc 0.9483
e 90 | malicious users: 8 | test acc 0.8232 test loss 0.491132 best test_acc 0.9483
e 91 | malicious users: 4 | test acc 0.9390 test loss 0.266162 best test_acc 0.9483
e 92 | malicious users: 5 | test acc 0.8203 test loss 0.560361 best test_acc 0.9483
e 93 | malicious users: 6 | test acc 0.8595 test loss 0.442479 best test_acc 0.9483
e 94 | malicious users: 1 | test acc 0.7785 test loss 0.642332 best test_acc 0.9483
e 95 | malicious users: 4 | test acc 0.8978 test loss 0.375706 best test_acc 0.9483
e 96 | malicious users: 9 | test acc 0.9143 test loss 0.391198 best test_acc 0.9483
e 97 | malicious users: 7 | test acc 0.9464 test loss 0.256642 best test_acc 0.9483
e 98 | malicious users: 5 | test acc 0.9191 test loss 0.355301 best test_acc 0.9483
e 99 | malicious users: 6 | test acc 0.8172 test loss 0.662802 best test_acc 0.9483
e 100 | malicious users: 6 | test acc 0.8960 test loss 0.389570 best test_acc 0.9483
e 101 | malicious users: 3 | test acc 0.8220 test loss 0.532026 best test_acc 0.9483
e 102 | malicious users: 3 | test acc 0.9298 test loss 0.275899 best test_acc 0.9483
e 103 | malicious users: 5 | test acc 0.7999 test loss 0.499675 best test_acc 0.9483
e 104 | malicious users: 4 | test acc 0.9325 test loss 0.330088 best test_acc 0.9483
e 105 | malicious users: 4 | test acc 0.8515 test loss 0.441053 best test_acc 0.9483
e 106 | malicious users: 4 | test acc 0.9449 test loss 0.235981 best test_acc 0.9483
e 107 | malicious users: 8 | test acc 0.9478 test loss 0.253872 best test_acc 0.9483
e 108 | malicious users: 5 | test acc 0.9448 test loss 0.239255 best test_acc 0.9483
e 109 | malicious users: 7 | test acc 0.9572 test loss 0.172222 best test_acc 0.9572
e 110 | malicious users: 2 | test acc 0.8203 test loss 0.496906 best test_acc 0.9572
e 111 | malicious users: 7 | test acc 0.8959 test loss 0.440273 best test_acc 0.9572
e 112 | malicious users: 8 | test acc 0.9111 test loss 0.347742 best test_acc 0.9572
e 113 | malicious users: 1 | test acc 0.8980 test loss 0.456096 best test_acc 0.9572
e 114 | malicious users: 6 | test acc 0.9061 test loss 0.404555 best test_acc 0.9572
e 115 | malicious users: 4 | test acc 0.9136 test loss 0.323432 best test_acc 0.9572
e 116 | malicious users: 6 | test acc 0.8627 test loss 0.422433 best test_acc 0.9572
e 117 | malicious users: 3 | test acc 0.9324 test loss 0.264333 best test_acc 0.9572
e 118 | malicious users: 1 | test acc 0.8666 test loss 0.352534 best test_acc 0.9572
e 119 | malicious users: 6 | test acc 0.9327 test loss 0.304870 best test_acc 0.9572
e 120 | malicious users: 7 | test acc 0.8885 test loss 0.346519 best test_acc 0.9572
e 121 | malicious users: 7 | test acc 0.9104 test loss 0.313558 best test_acc 0.9572
e 122 | malicious users: 4 | test acc 0.9384 test loss 0.284204 best test_acc 0.9572
e 123 | malicious users: 8 | test acc 0.8657 test loss 0.426567 best test_acc 0.9572
e 124 | malicious users: 6 | test acc 0.8847 test loss 0.352024 best test_acc 0.9572
e 125 | malicious users: 6 | test acc 0.8655 test loss 0.372907 best test_acc 0.9572
e 126 | malicious users: 6 | test acc 0.9006 test loss 0.394314 best test_acc 0.9572
e 127 | malicious users: 6 | test acc 0.9565 test loss 0.179144 best test_acc 0.9572
e 128 | malicious users: 3 | test acc 0.9199 test loss 0.319994 best test_acc 0.9572
e 129 | malicious users: 6 | test acc 0.9192 test loss 0.307994 best test_acc 0.9572
e 130 | malicious users: 2 | test acc 0.8848 test loss 0.386863 best test_acc 0.9572
e 131 | malicious users: 7 | test acc 0.8744 test loss 0.416295 best test_acc 0.9572
e 132 | malicious users: 7 | test acc 0.7404 test loss 0.653988 best test_acc 0.9572
e 133 | malicious users: 2 | test acc 0.8935 test loss 0.330534 best test_acc 0.9572
e 134 | malicious users: 4 | test acc 0.9094 test loss 0.346579 best test_acc 0.9572
e 135 | malicious users: 3 | test acc 0.9394 test loss 0.260337 best test_acc 0.9572
e 136 | malicious users: 2 | test acc 0.9531 test loss 0.173626 best test_acc 0.9572
e 137 | malicious users: 6 | test acc 0.9207 test loss 0.363136 best test_acc 0.9572
e 138 | malicious users: 4 | test acc 0.8808 test loss 0.397353 best test_acc 0.9572
e 139 | malicious users: 1 | test acc 0.9102 test loss 0.324965 best test_acc 0.9572
e 140 | malicious users: 7 | test acc 0.9306 test loss 0.301931 best test_acc 0.9572
e 141 | malicious users: 5 | test acc 0.9551 test loss 0.214023 best test_acc 0.9572
e 142 | malicious users: 8 | test acc 0.9044 test loss 0.315432 best test_acc 0.9572
e 143 | malicious users: 10 | test acc 0.9494 test loss 0.224882 best test_acc 0.9572
e 144 | malicious users: 9 | test acc 0.9151 test loss 0.305914 best test_acc 0.9572
e 145 | malicious users: 5 | test acc 0.8716 test loss 0.350573 best test_acc 0.9572
e 146 | malicious users: 5 | test acc 0.9173 test loss 0.258272 best test_acc 0.9572
e 147 | malicious users: 7 | test acc 0.9287 test loss 0.348094 best test_acc 0.9572
e 148 | malicious users: 3 | test acc 0.9532 test loss 0.181033 best test_acc 0.9572
e 149 | malicious users: 6 | test acc 0.9278 test loss 0.340233 best test_acc 0.9572
e 150 | malicious users: 3 | test acc 0.9170 test loss 0.292866 best test_acc 0.9572
