=> Saving data in Logs/FRL~try=615
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.9
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 7 | test acc 0.0969 test loss 2.187403 best test_acc 0.0969
e 1 | malicious users: 4 | test acc 0.5189 test loss 1.921258 best test_acc 0.5189
e 2 | malicious users: 5 | test acc 0.4729 test loss 1.418348 best test_acc 0.5189
e 3 | malicious users: 3 | test acc 0.4815 test loss 1.604662 best test_acc 0.5189
e 4 | malicious users: 8 | test acc 0.4193 test loss 1.988155 best test_acc 0.5189
e 5 | malicious users: 9 | test acc 0.1013 test loss 28.386152 best test_acc 0.5189
e 6 | malicious users: 9 | test acc 0.3267 test loss 2.280782 best test_acc 0.5189
e 7 | malicious users: 5 | test acc 0.3718 test loss 2.031887 best test_acc 0.5189
e 8 | malicious users: 8 | test acc 0.1986 test loss 2.292258 best test_acc 0.5189
e 9 | malicious users: 7 | test acc 0.2596 test loss 2.233698 best test_acc 0.5189
e 10 | malicious users: 6 | test acc 0.3429 test loss 2.239739 best test_acc 0.5189
e 11 | malicious users: 6 | test acc 0.2277 test loss 2.186765 best test_acc 0.5189
e 12 | malicious users: 6 | test acc 0.3454 test loss 2.030734 best test_acc 0.5189
e 13 | malicious users: 8 | test acc 0.4954 test loss 1.694537 best test_acc 0.5189
e 14 | malicious users: 7 | test acc 0.3638 test loss 1.927718 best test_acc 0.5189
e 15 | malicious users: 5 | test acc 0.4631 test loss 1.726251 best test_acc 0.5189
e 16 | malicious users: 6 | test acc 0.5097 test loss 1.629524 best test_acc 0.5189
e 17 | malicious users: 4 | test acc 0.5522 test loss 1.380237 best test_acc 0.5522
e 18 | malicious users: 7 | test acc 0.5444 test loss 1.421813 best test_acc 0.5522
e 19 | malicious users: 3 | test acc 0.4605 test loss 1.948257 best test_acc 0.5522
e 20 | malicious users: 4 | test acc 0.6014 test loss 1.373457 best test_acc 0.6014
e 21 | malicious users: 7 | test acc 0.5985 test loss 1.512578 best test_acc 0.6014
e 22 | malicious users: 5 | test acc 0.6202 test loss 1.366204 best test_acc 0.6202
e 23 | malicious users: 2 | test acc 0.6572 test loss 1.407041 best test_acc 0.6572
e 24 | malicious users: 5 | test acc 0.5566 test loss 1.238744 best test_acc 0.6572
e 25 | malicious users: 3 | test acc 0.7226 test loss 1.049035 best test_acc 0.7226
e 26 | malicious users: 7 | test acc 0.4177 test loss 1.643719 best test_acc 0.7226
e 27 | malicious users: 5 | test acc 0.6045 test loss 1.226225 best test_acc 0.7226
e 28 | malicious users: 9 | test acc 0.1578 test loss 2.385723 best test_acc 0.7226
e 29 | malicious users: 3 | test acc 0.3667 test loss 2.126467 best test_acc 0.7226
e 30 | malicious users: 3 | test acc 0.5564 test loss 1.509428 best test_acc 0.7226
e 31 | malicious users: 7 | test acc 0.4594 test loss 1.758074 best test_acc 0.7226
e 32 | malicious users: 9 | test acc 0.2958 test loss 1.924606 best test_acc 0.7226
e 33 | malicious users: 5 | test acc 0.2519 test loss 1.897526 best test_acc 0.7226
e 34 | malicious users: 3 | test acc 0.5301 test loss 1.509721 best test_acc 0.7226
e 35 | malicious users: 7 | test acc 0.2840 test loss 1.869488 best test_acc 0.7226
e 36 | malicious users: 7 | test acc 0.4461 test loss 1.600001 best test_acc 0.7226
e 37 | malicious users: 8 | test acc 0.1912 test loss 2.198083 best test_acc 0.7226
e 38 | malicious users: 2 | test acc 0.4803 test loss 1.738133 best test_acc 0.7226
e 39 | malicious users: 9 | test acc 0.5228 test loss 1.432954 best test_acc 0.7226
e 40 | malicious users: 8 | test acc 0.1793 test loss 2.209117 best test_acc 0.7226
e 41 | malicious users: 7 | test acc 0.5112 test loss 1.476474 best test_acc 0.7226
e 42 | malicious users: 8 | test acc 0.1041 test loss 2.277606 best test_acc 0.7226
e 43 | malicious users: 1 | test acc 0.3412 test loss 1.745863 best test_acc 0.7226
e 44 | malicious users: 7 | test acc 0.5648 test loss 1.424380 best test_acc 0.7226
e 45 | malicious users: 7 | test acc 0.5438 test loss 1.449295 best test_acc 0.7226
e 46 | malicious users: 7 | test acc 0.5235 test loss 1.692400 best test_acc 0.7226
e 47 | malicious users: 2 | test acc 0.6247 test loss 1.233392 best test_acc 0.7226
e 48 | malicious users: 7 | test acc 0.5947 test loss 1.285367 best test_acc 0.7226
e 49 | malicious users: 5 | test acc 0.5958 test loss 1.543832 best test_acc 0.7226
e 50 | malicious users: 4 | test acc 0.6786 test loss 0.953610 best test_acc 0.7226
e 51 | malicious users: 8 | test acc 0.2079 test loss 2.206035 best test_acc 0.7226
e 52 | malicious users: 4 | test acc 0.5378 test loss 1.495590 best test_acc 0.7226
e 53 | malicious users: 8 | test acc 0.2233 test loss 2.333465 best test_acc 0.7226
e 54 | malicious users: 7 | test acc 0.7151 test loss 1.221238 best test_acc 0.7226
e 55 | malicious users: 4 | test acc 0.6146 test loss 1.366467 best test_acc 0.7226
e 56 | malicious users: 5 | test acc 0.5516 test loss 1.172273 best test_acc 0.7226
e 57 | malicious users: 4 | test acc 0.6330 test loss 1.186464 best test_acc 0.7226
e 58 | malicious users: 4 | test acc 0.7166 test loss 1.012589 best test_acc 0.7226
e 59 | malicious users: 1 | test acc 0.6628 test loss 1.122852 best test_acc 0.7226
e 60 | malicious users: 5 | test acc 0.7532 test loss 0.989435 best test_acc 0.7532
e 61 | malicious users: 10 | test acc 0.5239 test loss 1.687481 best test_acc 0.7532
e 62 | malicious users: 10 | test acc 0.6752 test loss 1.092793 best test_acc 0.7532
e 63 | malicious users: 5 | test acc 0.5001 test loss 1.357309 best test_acc 0.7532
e 64 | malicious users: 4 | test acc 0.6387 test loss 1.154398 best test_acc 0.7532
e 65 | malicious users: 7 | test acc 0.7683 test loss 0.951350 best test_acc 0.7683
e 66 | malicious users: 6 | test acc 0.4842 test loss 1.479437 best test_acc 0.7683
e 67 | malicious users: 7 | test acc 0.4578 test loss 1.480462 best test_acc 0.7683
e 68 | malicious users: 4 | test acc 0.4693 test loss 1.605987 best test_acc 0.7683
e 69 | malicious users: 4 | test acc 0.6884 test loss 0.979164 best test_acc 0.7683
e 70 | malicious users: 3 | test acc 0.5260 test loss 1.357677 best test_acc 0.7683
e 71 | malicious users: 5 | test acc 0.6705 test loss 0.960063 best test_acc 0.7683
e 72 | malicious users: 2 | test acc 0.6497 test loss 1.072827 best test_acc 0.7683
e 73 | malicious users: 4 | test acc 0.6096 test loss 1.124866 best test_acc 0.7683
e 74 | malicious users: 7 | test acc 0.5497 test loss 1.568695 best test_acc 0.7683
e 75 | malicious users: 7 | test acc 0.5553 test loss 1.714155 best test_acc 0.7683
e 76 | malicious users: 2 | test acc 0.4275 test loss 1.581017 best test_acc 0.7683
e 77 | malicious users: 5 | test acc 0.5170 test loss 1.408805 best test_acc 0.7683
e 78 | malicious users: 5 | test acc 0.5049 test loss 1.488873 best test_acc 0.7683
e 79 | malicious users: 3 | test acc 0.7508 test loss 1.116995 best test_acc 0.7683
e 80 | malicious users: 2 | test acc 0.6283 test loss 1.374784 best test_acc 0.7683
e 81 | malicious users: 6 | test acc 0.6610 test loss 1.026374 best test_acc 0.7683
e 82 | malicious users: 4 | test acc 0.4420 test loss 1.568182 best test_acc 0.7683
e 83 | malicious users: 8 | test acc 0.5511 test loss 1.198686 best test_acc 0.7683
e 84 | malicious users: 3 | test acc 0.7176 test loss 1.111778 best test_acc 0.7683
e 85 | malicious users: 2 | test acc 0.6655 test loss 1.234199 best test_acc 0.7683
e 86 | malicious users: 4 | test acc 0.6624 test loss 1.189038 best test_acc 0.7683
e 87 | malicious users: 5 | test acc 0.5528 test loss 1.257743 best test_acc 0.7683
e 88 | malicious users: 3 | test acc 0.4217 test loss 1.464511 best test_acc 0.7683
e 89 | malicious users: 4 | test acc 0.5029 test loss 1.370533 best test_acc 0.7683
e 90 | malicious users: 7 | test acc 0.4127 test loss 1.734300 best test_acc 0.7683
e 91 | malicious users: 5 | test acc 0.6334 test loss 1.330054 best test_acc 0.7683
e 92 | malicious users: 10 | test acc 0.7023 test loss 0.997265 best test_acc 0.7683
e 93 | malicious users: 6 | test acc 0.4607 test loss 1.562878 best test_acc 0.7683
e 94 | malicious users: 5 | test acc 0.4633 test loss 1.355004 best test_acc 0.7683
e 95 | malicious users: 6 | test acc 0.5544 test loss 1.421561 best test_acc 0.7683
e 96 | malicious users: 6 | test acc 0.5993 test loss 1.042973 best test_acc 0.7683
e 97 | malicious users: 8 | test acc 0.3071 test loss 2.232704 best test_acc 0.7683
e 98 | malicious users: 6 | test acc 0.6063 test loss 1.449458 best test_acc 0.7683
e 99 | malicious users: 5 | test acc 0.5703 test loss 1.396409 best test_acc 0.7683
e 100 | malicious users: 7 | test acc 0.4752 test loss 1.557586 best test_acc 0.7683
e 101 | malicious users: 7 | test acc 0.5012 test loss 1.638535 best test_acc 0.7683
e 102 | malicious users: 4 | test acc 0.5084 test loss 1.500354 best test_acc 0.7683
e 103 | malicious users: 2 | test acc 0.5322 test loss 1.497259 best test_acc 0.7683
e 104 | malicious users: 4 | test acc 0.6058 test loss 1.253974 best test_acc 0.7683
e 105 | malicious users: 4 | test acc 0.6203 test loss 1.147809 best test_acc 0.7683
e 106 | malicious users: 5 | test acc 0.6676 test loss 1.327951 best test_acc 0.7683
e 107 | malicious users: 4 | test acc 0.6238 test loss 1.062912 best test_acc 0.7683
e 108 | malicious users: 3 | test acc 0.5988 test loss 1.230336 best test_acc 0.7683
e 109 | malicious users: 3 | test acc 0.7702 test loss 1.207281 best test_acc 0.7702
e 110 | malicious users: 4 | test acc 0.6793 test loss 1.167652 best test_acc 0.7702
e 111 | malicious users: 2 | test acc 0.7364 test loss 1.090151 best test_acc 0.7702
e 112 | malicious users: 7 | test acc 0.5382 test loss 1.383878 best test_acc 0.7702
e 113 | malicious users: 6 | test acc 0.4116 test loss 1.754248 best test_acc 0.7702
e 114 | malicious users: 5 | test acc 0.6206 test loss 1.182494 best test_acc 0.7702
e 115 | malicious users: 4 | test acc 0.5973 test loss 1.217739 best test_acc 0.7702
e 116 | malicious users: 4 | test acc 0.6523 test loss 1.186252 best test_acc 0.7702
e 117 | malicious users: 3 | test acc 0.6696 test loss 1.093986 best test_acc 0.7702
e 118 | malicious users: 9 | test acc 0.2031 test loss 2.367827 best test_acc 0.7702
e 119 | malicious users: 5 | test acc 0.4408 test loss 1.855282 best test_acc 0.7702
e 120 | malicious users: 6 | test acc 0.5321 test loss 1.268975 best test_acc 0.7702
e 121 | malicious users: 4 | test acc 0.5405 test loss 1.436495 best test_acc 0.7702
e 122 | malicious users: 2 | test acc 0.5015 test loss 1.383134 best test_acc 0.7702
e 123 | malicious users: 10 | test acc 0.3841 test loss 1.716366 best test_acc 0.7702
e 124 | malicious users: 5 | test acc 0.2307 test loss 1.938914 best test_acc 0.7702
e 125 | malicious users: 4 | test acc 0.4252 test loss 1.592009 best test_acc 0.7702
e 126 | malicious users: 8 | test acc 0.3573 test loss 1.713215 best test_acc 0.7702
e 127 | malicious users: 5 | test acc 0.4619 test loss 1.386831 best test_acc 0.7702
e 128 | malicious users: 2 | test acc 0.5376 test loss 1.476404 best test_acc 0.7702
e 129 | malicious users: 5 | test acc 0.6047 test loss 1.255329 best test_acc 0.7702
e 130 | malicious users: 3 | test acc 0.4011 test loss 1.695823 best test_acc 0.7702
e 131 | malicious users: 5 | test acc 0.6053 test loss 1.387077 best test_acc 0.7702
e 132 | malicious users: 8 | test acc 0.3428 test loss 1.861806 best test_acc 0.7702
