2024-04-11 06:31:52,610 INFO    Thread-21 (_run_job):233745 [wandb_setup.py:_flush():76] Current SDK version is 0.16.6
2024-04-11 06:31:52,611 INFO    Thread-21 (_run_job):233745 [wandb_setup.py:_flush():76] Configure stats pid to 233745
2024-04-11 06:31:52,611 INFO    Thread-21 (_run_job):233745 [wandb_setup.py:_flush():76] Loading settings from /home/test/.config/wandb/settings
2024-04-11 06:31:52,611 INFO    Thread-21 (_run_job):233745 [wandb_setup.py:_flush():76] Loading settings from /home/test/FRL/wandb/settings
2024-04-11 06:31:52,611 INFO    Thread-21 (_run_job):233745 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'project': 'my-FRL-attack-sweep', 'entity': 'griffith', 'root_dir': '/home/test/FRL', 'run_id': '75ihihrv', 'sweep_param_path': '/home/test/FRL/wandb/sweep-xeqyus9s/config-75ihihrv.yaml', 'sweep_id': 'xeqyus9s'}
2024-04-11 06:31:52,611 INFO    Thread-21 (_run_job):233745 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-04-11 06:31:52,611 INFO    Thread-21 (_run_job):233745 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program_abspath': '/home/test/FRL/main.py', 'program': '/home/test/FRL/main.py'}
2024-04-11 06:31:52,611 INFO    Thread-21 (_run_job):233745 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-04-11 06:31:52,612 INFO    Thread-21 (_run_job):233745 [wandb_init.py:_log_setup():521] Logging user logs to /home/test/FRL/wandb/run-20240411_063152-75ihihrv/logs/debug.log
2024-04-11 06:31:52,612 INFO    Thread-21 (_run_job):233745 [wandb_init.py:_log_setup():522] Logging internal logs to /home/test/FRL/wandb/run-20240411_063152-75ihihrv/logs/debug-internal.log
2024-04-11 06:31:52,612 INFO    Thread-21 (_run_job):233745 [wandb_init.py:init():561] calling init triggers
2024-04-11 06:31:52,612 INFO    Thread-21 (_run_job):233745 [wandb_init.py:init():568] wandb.init called with sweep_config: {'k_s': 80, 'lr': 0.1, 'n_s': 80, 'α': 0.7}
config: {}
2024-04-11 06:31:52,612 INFO    Thread-21 (_run_job):233745 [wandb_init.py:init():611] starting backend
2024-04-11 06:31:52,612 INFO    Thread-21 (_run_job):233745 [wandb_init.py:init():615] setting up manager
2024-04-11 06:31:52,627 INFO    Thread-21 (_run_job):233745 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-04-11 06:31:52,627 INFO    Thread-21 (_run_job):233745 [wandb_init.py:init():623] backend started and connected
2024-04-11 06:31:52,646 INFO    Thread-21 (_run_job):233745 [wandb_run.py:_config_callback():1347] config_cb None None {'k_s': 80, 'lr': 0.1, 'n_s': 80, 'α': 0.7}
2024-04-11 06:31:52,646 INFO    Thread-21 (_run_job):233745 [wandb_init.py:init():715] updated telemetry
2024-04-11 06:31:52,652 INFO    Thread-21 (_run_job):233745 [wandb_init.py:init():748] communicating run to backend with 90.0 second timeout
2024-04-11 06:31:53,165 INFO    Thread-21 (_run_job):233745 [wandb_run.py:_on_init():2357] communicating current version
2024-04-11 06:31:53,225 INFO    Thread-21 (_run_job):233745 [wandb_run.py:_on_init():2366] got version response 
2024-04-11 06:31:53,225 INFO    Thread-21 (_run_job):233745 [wandb_init.py:init():799] starting run threads in backend
2024-04-11 06:31:54,761 INFO    Thread-21 (_run_job):233745 [wandb_run.py:_console_start():2335] atexit reg
2024-04-11 06:31:54,762 INFO    Thread-21 (_run_job):233745 [wandb_run.py:_redirect():2190] redirect: wrap_raw
2024-04-11 06:31:54,762 INFO    Thread-21 (_run_job):233745 [wandb_run.py:_redirect():2255] Wrapping output streams.
2024-04-11 06:31:54,762 INFO    Thread-21 (_run_job):233745 [wandb_run.py:_redirect():2280] Redirects installed.
2024-04-11 06:31:54,762 INFO    Thread-21 (_run_job):233745 [wandb_init.py:init():842] run started, returning control to user process
2024-04-11 09:00:34,547 INFO    Thread-21 (_run_job):233745 [wandb_run.py:_finish():2064] finishing run griffith/my-FRL-attack-sweep/75ihihrv
2024-04-11 09:00:34,547 INFO    Thread-21 (_run_job):233745 [wandb_run.py:_atexit_cleanup():2304] got exitcode: 0
2024-04-11 09:00:34,547 INFO    Thread-21 (_run_job):233745 [wandb_run.py:_restore():2287] restore
2024-04-11 09:00:34,548 INFO    Thread-21 (_run_job):233745 [wandb_run.py:_restore():2293] restore done
2024-04-11 09:00:39,149 INFO    Thread-21 (_run_job):233745 [wandb_run.py:_footer_history_summary_info():3936] rendering history
2024-04-11 09:00:39,150 INFO    Thread-21 (_run_job):233745 [wandb_run.py:_footer_history_summary_info():3968] rendering summary
2024-04-11 09:00:39,166 INFO    Thread-21 (_run_job):233745 [wandb_run.py:_footer_sync_info():3895] logging synced files
