
fraction of maliciou clients: 0.10 | total number of malicious clients: 100
e 0 | malicious users: 3 | test acc 0.4916 test loss 2.012260 best test_acc 0.4916
e 1 | malicious users: 1 | test acc 0.7730 test loss 1.203170 best test_acc 0.7730
e 2 | malicious users: 1 | test acc 0.7200 test loss 0.964474 best test_acc 0.7730
e 3 | malicious users: 4 | test acc 0.8360 test loss 0.524680 best test_acc 0.8360
e 4 | malicious users: 2 | test acc 0.8911 test loss 0.401871 best test_acc 0.8911
e 5 | malicious users: 2 | test acc 0.9125 test loss 0.316698 best test_acc 0.9125
e 6 | malicious users: 1 | test acc 0.8789 test loss 0.365599 best test_acc 0.9125
e 7 | malicious users: 3 | test acc 0.9280 test loss 0.262294 best test_acc 0.9280
e 8 | malicious users: 5 | test acc 0.9203 test loss 0.270816 best test_acc 0.9280
e 9 | malicious users: 1 | test acc 0.9386 test loss 0.207776 best test_acc 0.9386
e 10 | malicious users: 4 | test acc 0.9420 test loss 0.214725 best test_acc 0.9420
e 11 | malicious users: 0 | test acc 0.9354 test loss 0.217777 best test_acc 0.9420
e 12 | malicious users: 3 | test acc 0.9397 test loss 0.209005 best test_acc 0.9420
e 13 | malicious users: 2 | test acc 0.9501 test loss 0.170340 best test_acc 0.9501
e 14 | malicious users: 4 | test acc 0.9492 test loss 0.183189 best test_acc 0.9501
e 15 | malicious users: 2 | test acc 0.9524 test loss 0.178494 best test_acc 0.9524
e 16 | malicious users: 4 | test acc 0.9432 test loss 0.198844 best test_acc 0.9524
e 17 | malicious users: 3 | test acc 0.9523 test loss 0.168335 best test_acc 0.9524
e 18 | malicious users: 3 | test acc 0.9478 test loss 0.194132 best test_acc 0.9524
e 19 | malicious users: 2 | test acc 0.9565 test loss 0.156913 best test_acc 0.9565
e 20 | malicious users: 3 | test acc 0.9551 test loss 0.180187 best test_acc 0.9565
e 21 | malicious users: 3 | test acc 0.9548 test loss 0.170824 best test_acc 0.9565
e 22 | malicious users: 0 | test acc 0.9609 test loss 0.154794 best test_acc 0.9609
e 23 | malicious users: 2 | test acc 0.9565 test loss 0.156880 best test_acc 0.9609
e 24 | malicious users: 3 | test acc 0.9507 test loss 0.189280 best test_acc 0.9609
e 25 | malicious users: 2 | test acc 0.9526 test loss 0.173463 best test_acc 0.9609
e 26 | malicious users: 3 | test acc 0.9522 test loss 0.174770 best test_acc 0.9609
e 27 | malicious users: 0 | test acc 0.9587 test loss 0.158723 best test_acc 0.9609
e 28 | malicious users: 2 | test acc 0.9592 test loss 0.149735 best test_acc 0.9609
e 29 | malicious users: 1 | test acc 0.9578 test loss 0.139955 best test_acc 0.9609
e 30 | malicious users: 2 | test acc 0.9581 test loss 0.163911 best test_acc 0.9609
e 31 | malicious users: 1 | test acc 0.9625 test loss 0.139496 best test_acc 0.9625
e 32 | malicious users: 1 | test acc 0.9581 test loss 0.139183 best test_acc 0.9625
e 33 | malicious users: 4 | test acc 0.9603 test loss 0.150723 best test_acc 0.9625
e 34 | malicious users: 3 | test acc 0.9574 test loss 0.148255 best test_acc 0.9625
e 35 | malicious users: 6 | test acc 0.9353 test loss 0.331250 best test_acc 0.9625
e 36 | malicious users: 3 | test acc 0.9496 test loss 0.199002 best test_acc 0.9625
e 37 | malicious users: 3 | test acc 0.9447 test loss 0.242676 best test_acc 0.9625
e 38 | malicious users: 2 | test acc 0.9455 test loss 0.270111 best test_acc 0.9625
e 39 | malicious users: 3 | test acc 0.9492 test loss 0.196880 best test_acc 0.9625
e 40 | malicious users: 2 | test acc 0.9369 test loss 0.221154 best test_acc 0.9625
e 41 | malicious users: 3 | test acc 0.9457 test loss 0.219294 best test_acc 0.9625
e 42 | malicious users: 1 | test acc 0.9522 test loss 0.178512 best test_acc 0.9625
e 43 | malicious users: 1 | test acc 0.9540 test loss 0.169801 best test_acc 0.9625
e 44 | malicious users: 2 | test acc 0.9572 test loss 0.155162 best test_acc 0.9625
e 45 | malicious users: 5 | test acc 0.9457 test loss 0.231976 best test_acc 0.9625
e 46 | malicious users: 3 | test acc 0.9512 test loss 0.239900 best test_acc 0.9625
e 47 | malicious users: 1 | test acc 0.9515 test loss 0.170886 best test_acc 0.9625
e 48 | malicious users: 2 | test acc 0.9530 test loss 0.176991 best test_acc 0.9625
e 49 | malicious users: 3 | test acc 0.9522 test loss 0.191411 best test_acc 0.9625
e 50 | malicious users: 1 | test acc 0.9581 test loss 0.146460 best test_acc 0.9625
e 51 | malicious users: 2 | test acc 0.9573 test loss 0.157771 best test_acc 0.9625
e 52 | malicious users: 4 | test acc 0.9546 test loss 0.188130 best test_acc 0.9625
e 53 | malicious users: 2 | test acc 0.9538 test loss 0.183308 best test_acc 0.9625
e 54 | malicious users: 3 | test acc 0.9536 test loss 0.189092 best test_acc 0.9625
e 55 | malicious users: 2 | test acc 0.9569 test loss 0.190220 best test_acc 0.9625
e 56 | malicious users: 3 | test acc 0.9490 test loss 0.211858 best test_acc 0.9625
e 57 | malicious users: 3 | test acc 0.9571 test loss 0.220555 best test_acc 0.9625
e 58 | malicious users: 2 | test acc 0.9533 test loss 0.169335 best test_acc 0.9625
e 59 | malicious users: 2 | test acc 0.9527 test loss 0.243420 best test_acc 0.9625
e 60 | malicious users: 3 | test acc 0.9542 test loss 0.180053 best test_acc 0.9625
e 61 | malicious users: 2 | test acc 0.9558 test loss 0.170537 best test_acc 0.9625
e 62 | malicious users: 0 | test acc 0.9549 test loss 0.165772 best test_acc 0.9625
e 63 | malicious users: 3 | test acc 0.9561 test loss 0.196323 best test_acc 0.9625
e 64 | malicious users: 1 | test acc 0.9525 test loss 0.197370 best test_acc 0.9625
e 65 | malicious users: 0 | test acc 0.9594 test loss 0.132831 best test_acc 0.9625
e 66 | malicious users: 1 | test acc 0.9602 test loss 0.139810 best test_acc 0.9625
e 67 | malicious users: 2 | test acc 0.9586 test loss 0.157399 best test_acc 0.9625
e 68 | malicious users: 5 | test acc 0.9639 test loss 0.180366 best test_acc 0.9639
e 69 | malicious users: 1 | test acc 0.9594 test loss 0.138284 best test_acc 0.9639
e 70 | malicious users: 4 | test acc 0.9564 test loss 0.240173 best test_acc 0.9639
e 71 | malicious users: 0 | test acc 0.9508 test loss 0.156298 best test_acc 0.9639
e 72 | malicious users: 4 | test acc 0.9599 test loss 0.202671 best test_acc 0.9639
e 73 | malicious users: 4 | test acc 0.9570 test loss 0.220352 best test_acc 0.9639
e 74 | malicious users: 3 | test acc 0.9560 test loss 0.179283 best test_acc 0.9639
e 75 | malicious users: 3 | test acc 0.9525 test loss 0.301420 best test_acc 0.9639
e 76 | malicious users: 0 | test acc 0.9591 test loss 0.151039 best test_acc 0.9639
e 77 | malicious users: 2 | test acc 0.9559 test loss 0.166017 best test_acc 0.9639
e 78 | malicious users: 2 | test acc 0.9582 test loss 0.161703 best test_acc 0.9639
e 79 | malicious users: 2 | test acc 0.9612 test loss 0.154399 best test_acc 0.9639
e 80 | malicious users: 1 | test acc 0.9539 test loss 0.153064 best test_acc 0.9639
e 81 | malicious users: 3 | test acc 0.9554 test loss 0.187659 best test_acc 0.9639
e 82 | malicious users: 3 | test acc 0.9588 test loss 0.165610 best test_acc 0.9639
e 83 | malicious users: 3 | test acc 0.9558 test loss 0.184138 best test_acc 0.9639
e 84 | malicious users: 1 | test acc 0.9569 test loss 0.185286 best test_acc 0.9639
e 85 | malicious users: 3 | test acc 0.9562 test loss 0.170238 best test_acc 0.9639
e 86 | malicious users: 1 | test acc 0.9548 test loss 0.156940 best test_acc 0.9639
e 87 | malicious users: 1 | test acc 0.9621 test loss 0.142625 best test_acc 0.9639
e 88 | malicious users: 2 | test acc 0.9625 test loss 0.136783 best test_acc 0.9639
e 89 | malicious users: 4 | test acc 0.9390 test loss 0.233795 best test_acc 0.9639
e 90 | malicious users: 3 | test acc 0.9551 test loss 0.185710 best test_acc 0.9639
e 91 | malicious users: 2 | test acc 0.9569 test loss 0.173089 best test_acc 0.9639
e 92 | malicious users: 2 | test acc 0.9533 test loss 0.188078 best test_acc 0.9639
e 93 | malicious users: 1 | test acc 0.9631 test loss 0.134157 best test_acc 0.9639
e 94 | malicious users: 3 | test acc 0.9594 test loss 0.166788 best test_acc 0.9639
e 95 | malicious users: 2 | test acc 0.9339 test loss 0.232692 best test_acc 0.9639
e 96 | malicious users: 3 | test acc 0.9613 test loss 0.170633 best test_acc 0.9639
