=> Saving data in Logs/FRL~try=798
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.1
batch size is :  8
test batch size is:  128
10
84
87
98
127
143
179
234
398
400
414
427
473
512
524
534
558
574
582
671
734
767
820
823
876
881
889
921
958
use_cuda:  True
type of FL:  FRP_defense
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
/home/test/anaconda3/envs/FRL_test/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:138: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
e 64 | malicious users: 5 | test acc 0.7530 test loss 0.954005 best test_acc 0.8352
e 65 | malicious users: 5 | test acc 0.8484 test loss 0.899967 best test_acc 0.8484
e 66 | malicious users: 5 | test acc 0.8373 test loss 1.220083 best test_acc 0.8484
e 67 | malicious users: 5 | test acc 0.8015 test loss 0.912505 best test_acc 0.8484
e 68 | malicious users: 5 | test acc 0.7843 test loss 0.920066 best test_acc 0.8484
e 69 | malicious users: 5 | test acc 0.7385 test loss 1.044148 best test_acc 0.8484
e 70 | malicious users: 5 | test acc 0.8172 test loss 0.971663 best test_acc 0.8484
e 71 | malicious users: 5 | test acc 0.7334 test loss 1.173382 best test_acc 0.8484
e 72 | malicious users: 5 | test acc 0.7600 test loss 0.903002 best test_acc 0.8484
e 73 | malicious users: 5 | test acc 0.4472 test loss 1.384639 best test_acc 0.8484
e 74 | malicious users: 5 | test acc 0.7009 test loss 1.118193 best test_acc 0.8484
e 75 | malicious users: 5 | test acc 0.8908 test loss 0.943236 best test_acc 0.8908
e 76 | malicious users: 5 | test acc 0.6994 test loss 0.910733 best test_acc 0.8908
e 77 | malicious users: 5 | test acc 0.7563 test loss 0.885801 best test_acc 0.8908
e 78 | malicious users: 5 | test acc 0.7623 test loss 0.891298 best test_acc 0.8908
e 79 | malicious users: 5 | test acc 0.8300 test loss 0.939834 best test_acc 0.8908
e 80 | malicious users: 5 | test acc 0.7688 test loss 0.887916 best test_acc 0.8908
e 81 | malicious users: 5 | test acc 0.8162 test loss 0.926311 best test_acc 0.8908
e 82 | malicious users: 5 | test acc 0.8467 test loss 1.056854 best test_acc 0.8908
e 83 | malicious users: 5 | test acc 0.7800 test loss 1.011442 best test_acc 0.8908
e 84 | malicious users: 5 | test acc 0.7339 test loss 1.126307 best test_acc 0.8908
e 85 | malicious users: 5 | test acc 0.6616 test loss 1.101290 best test_acc 0.8908
e 86 | malicious users: 5 | test acc 0.7374 test loss 1.000963 best test_acc 0.8908
e 87 | malicious users: 5 | test acc 0.9026 test loss 0.869821 best test_acc 0.9026
e 88 | malicious users: 5 | test acc 0.6318 test loss 0.876254 best test_acc 0.9026
e 89 | malicious users: 5 | test acc 0.7011 test loss 0.934591 best test_acc 0.9026
e 90 | malicious users: 5 | test acc 0.7439 test loss 0.831343 best test_acc 0.9026
e 91 | malicious users: 5 | test acc 0.8374 test loss 0.856847 best test_acc 0.9026
e 92 | malicious users: 5 | test acc 0.7375 test loss 0.920640 best test_acc 0.9026
e 93 | malicious users: 5 | test acc 0.7571 test loss 1.054178 best test_acc 0.9026
e 94 | malicious users: 5 | test acc 0.6707 test loss 1.231067 best test_acc 0.9026
e 95 | malicious users: 5 | test acc 0.6344 test loss 1.124327 best test_acc 0.9026
e 96 | malicious users: 5 | test acc 0.7868 test loss 1.055982 best test_acc 0.9026
e 97 | malicious users: 5 | test acc 0.7400 test loss 0.941411 best test_acc 0.9026
e 98 | malicious users: 5 | test acc 0.8283 test loss 0.833384 best test_acc 0.9026
e 99 | malicious users: 5 | test acc 0.8625 test loss 0.697393 best test_acc 0.9026
e 100 | malicious users: 5 | test acc 0.8208 test loss 0.673318 best test_acc 0.9026
e 101 | malicious users: 5 | test acc 0.8339 test loss 1.195273 best test_acc 0.9026
e 102 | malicious users: 5 | test acc 0.8001 test loss 1.143453 best test_acc 0.9026
e 103 | malicious users: 5 | test acc 0.7164 test loss 1.090103 best test_acc 0.9026
e 104 | malicious users: 5 | test acc 0.7872 test loss 0.971039 best test_acc 0.9026
e 105 | malicious users: 5 | test acc 0.7632 test loss 0.961181 best test_acc 0.9026
e 106 | malicious users: 5 | test acc 0.7924 test loss 1.044290 best test_acc 0.9026
e 107 | malicious users: 5 | test acc 0.7532 test loss 1.125728 best test_acc 0.9026
e 108 | malicious users: 5 | test acc 0.8417 test loss 1.017223 best test_acc 0.9026
e 109 | malicious users: 5 | test acc 0.8501 test loss 0.650611 best test_acc 0.9026
e 110 | malicious users: 5 | test acc 0.6827 test loss 0.958335 best test_acc 0.9026
e 111 | malicious users: 5 | test acc 0.7428 test loss 0.925491 best test_acc 0.9026
e 112 | malicious users: 5 | test acc 0.8694 test loss 0.835763 best test_acc 0.9026
e 113 | malicious users: 5 | test acc 0.7490 test loss 1.144175 best test_acc 0.9026
e 114 | malicious users: 5 | test acc 0.8307 test loss 0.683639 best test_acc 0.9026
e 115 | malicious users: 5 | test acc 0.8659 test loss 1.008811 best test_acc 0.9026
e 116 | malicious users: 5 | test acc 0.8314 test loss 0.818858 best test_acc 0.9026
e 117 | malicious users: 5 | test acc 0.7690 test loss 0.916202 best test_acc 0.9026
e 118 | malicious users: 5 | test acc 0.4139 test loss 1.786070 best test_acc 0.9026
e 119 | malicious users: 5 | test acc 0.6120 test loss 1.286709 best test_acc 0.9026
e 120 | malicious users: 5 | test acc 0.7870 test loss 1.010789 best test_acc 0.9026
e 121 | malicious users: 5 | test acc 0.8410 test loss 0.936557 best test_acc 0.9026
e 122 | malicious users: 5 | test acc 0.5032 test loss 1.201887 best test_acc 0.9026
e 123 | malicious users: 5 | test acc 0.7771 test loss 1.030300 best test_acc 0.9026
e 124 | malicious users: 5 | test acc 0.6769 test loss 1.028013 best test_acc 0.9026
e 125 | malicious users: 5 | test acc 0.7625 test loss 1.014368 best test_acc 0.9026
e 126 | malicious users: 5 | test acc 0.7916 test loss 0.872150 best test_acc 0.9026
e 127 | malicious users: 5 | test acc 0.8258 test loss 0.895549 best test_acc 0.9026
e 128 | malicious users: 5 | test acc 0.8913 test loss 0.825036 best test_acc 0.9026
e 129 | malicious users: 5 | test acc 0.8335 test loss 0.656598 best test_acc 0.9026
e 130 | malicious users: 5 | test acc 0.6935 test loss 1.395152 best test_acc 0.9026
e 131 | malicious users: 5 | test acc 0.7501 test loss 0.916154 best test_acc 0.9026
e 132 | malicious users: 5 | test acc 0.7709 test loss 1.175459 best test_acc 0.9026
e 133 | malicious users: 5 | test acc 0.8011 test loss 0.918019 best test_acc 0.9026
e 134 | malicious users: 5 | test acc 0.7289 test loss 0.881691 best test_acc 0.9026
e 135 | malicious users: 5 | test acc 0.4086 test loss 1.343447 best test_acc 0.9026
e 136 | malicious users: 5 | test acc 0.8318 test loss 1.022073 best test_acc 0.9026
e 137 | malicious users: 5 | test acc 0.8315 test loss 0.796533 best test_acc 0.9026
e 138 | malicious users: 5 | test acc 0.8612 test loss 0.917834 best test_acc 0.9026
e 139 | malicious users: 5 | test acc 0.6439 test loss 1.033333 best test_acc 0.9026
e 140 | malicious users: 5 | test acc 0.8296 test loss 0.904583 best test_acc 0.9026
e 141 | malicious users: 5 | test acc 0.6935 test loss 1.075690 best test_acc 0.9026
e 142 | malicious users: 5 | test acc 0.8868 test loss 0.850926 best test_acc 0.9026
e 143 | malicious users: 5 | test acc 0.8795 test loss 0.820513 best test_acc 0.9026
e 144 | malicious users: 5 | test acc 0.8678 test loss 0.898951 best test_acc 0.9026
e 145 | malicious users: 5 | test acc 0.8647 test loss 0.818489 best test_acc 0.9026
e 146 | malicious users: 5 | test acc 0.7683 test loss 0.815784 best test_acc 0.9026
e 147 | malicious users: 5 | test acc 0.8878 test loss 0.832633 best test_acc 0.9026
e 148 | malicious users: 5 | test acc 0.7901 test loss 0.852098 best test_acc 0.9026
e 149 | malicious users: 5 | test acc 0.8203 test loss 0.896459 best test_acc 0.9026
e 150 | malicious users: 5 | test acc 0.7660 test loss 0.849182 best test_acc 0.9026
e 151 | malicious users: 5 | test acc 0.8411 test loss 0.748347 best test_acc 0.9026
e 152 | malicious users: 5 | test acc 0.8255 test loss 0.939362 best test_acc 0.9026
e 153 | malicious users: 5 | test acc 0.6846 test loss 0.989972 best test_acc 0.9026
e 154 | malicious users: 5 | test acc 0.7560 test loss 1.002095 best test_acc 0.9026
e 155 | malicious users: 5 | test acc 0.8186 test loss 0.900631 best test_acc 0.9026
e 156 | malicious users: 5 | test acc 0.8541 test loss 0.748013 best test_acc 0.9026
e 157 | malicious users: 5 | test acc 0.7703 test loss 0.930249 best test_acc 0.9026
e 158 | malicious users: 5 | test acc 0.7942 test loss 1.049140 best test_acc 0.9026
e 159 | malicious users: 5 | test acc 0.8688 test loss 0.799862 best test_acc 0.9026
e 160 | malicious users: 5 | test acc 0.7589 test loss 0.850296 best test_acc 0.9026
e 161 | malicious users: 5 | test acc 0.8574 test loss 0.866629 best test_acc 0.9026
e 162 | malicious users: 5 | test acc 0.8153 test loss 0.854711 best test_acc 0.9026
e 163 | malicious users: 5 | test acc 0.6686 test loss 1.039721 best test_acc 0.9026
e 164 | malicious users: 5 | test acc 0.6601 test loss 1.029335 best test_acc 0.9026
e 165 | malicious users: 5 | test acc 0.8283 test loss 0.862307 best test_acc 0.9026
