=> Saving data in Logs/FRL~try=421
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  1
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.00 | total number of malicious clients: 0
e 0 | malicious users: 0 | test acc 0.3119 test loss 2.224088 best test_acc 0.3119
e 1 | malicious users: 0 | test acc 0.3653 test loss 2.069649 best test_acc 0.3653
e 2 | malicious users: 0 | test acc 0.5135 test loss 1.762005 best test_acc 0.5135
e 3 | malicious users: 0 | test acc 0.5430 test loss 1.619341 best test_acc 0.5430
e 4 | malicious users: 0 | test acc 0.6346 test loss 1.117263 best test_acc 0.6346
e 5 | malicious users: 0 | test acc 0.6887 test loss 1.315232 best test_acc 0.6887
e 6 | malicious users: 0 | test acc 0.6981 test loss 0.878014 best test_acc 0.6981
e 7 | malicious users: 0 | test acc 0.7438 test loss 0.948797 best test_acc 0.7438
e 8 | malicious users: 0 | test acc 0.7799 test loss 0.808055 best test_acc 0.7799
e 9 | malicious users: 0 | test acc 0.7771 test loss 0.954036 best test_acc 0.7799
e 10 | malicious users: 0 | test acc 0.7822 test loss 0.779343 best test_acc 0.7822
e 11 | malicious users: 0 | test acc 0.7934 test loss 0.647737 best test_acc 0.7934
e 12 | malicious users: 0 | test acc 0.8155 test loss 0.623083 best test_acc 0.8155
e 13 | malicious users: 0 | test acc 0.7919 test loss 0.647470 best test_acc 0.8155
e 14 | malicious users: 0 | test acc 0.7976 test loss 0.645099 best test_acc 0.8155
e 15 | malicious users: 0 | test acc 0.8181 test loss 0.623612 best test_acc 0.8181
e 16 | malicious users: 0 | test acc 0.8333 test loss 0.567768 best test_acc 0.8333
e 17 | malicious users: 0 | test acc 0.7829 test loss 0.686321 best test_acc 0.8333
e 18 | malicious users: 0 | test acc 0.9014 test loss 0.474708 best test_acc 0.9014
e 19 | malicious users: 0 | test acc 0.8270 test loss 0.620533 best test_acc 0.9014
e 20 | malicious users: 0 | test acc 0.8427 test loss 0.492567 best test_acc 0.9014
e 21 | malicious users: 0 | test acc 0.8922 test loss 0.424474 best test_acc 0.9014
e 22 | malicious users: 0 | test acc 0.8159 test loss 0.559237 best test_acc 0.9014
e 23 | malicious users: 0 | test acc 0.8084 test loss 0.618571 best test_acc 0.9014
e 24 | malicious users: 0 | test acc 0.9120 test loss 0.382546 best test_acc 0.9120
e 25 | malicious users: 0 | test acc 0.9044 test loss 0.400037 best test_acc 0.9120
e 26 | malicious users: 0 | test acc 0.8176 test loss 0.521855 best test_acc 0.9120
e 27 | malicious users: 0 | test acc 0.9193 test loss 0.422272 best test_acc 0.9193
e 28 | malicious users: 0 | test acc 0.8400 test loss 0.475620 best test_acc 0.9193
e 29 | malicious users: 0 | test acc 0.8789 test loss 0.479305 best test_acc 0.9193
e 30 | malicious users: 0 | test acc 0.8909 test loss 0.427255 best test_acc 0.9193
e 31 | malicious users: 0 | test acc 0.8329 test loss 0.582887 best test_acc 0.9193
e 32 | malicious users: 0 | test acc 0.9039 test loss 0.361180 best test_acc 0.9193
e 33 | malicious users: 0 | test acc 0.8311 test loss 0.567296 best test_acc 0.9193
e 34 | malicious users: 0 | test acc 0.7295 test loss 0.731410 best test_acc 0.9193
e 35 | malicious users: 0 | test acc 0.8464 test loss 0.411541 best test_acc 0.9193
e 36 | malicious users: 0 | test acc 0.8925 test loss 0.532611 best test_acc 0.9193
e 37 | malicious users: 0 | test acc 0.8863 test loss 0.409762 best test_acc 0.9193
e 38 | malicious users: 0 | test acc 0.9225 test loss 0.352970 best test_acc 0.9225
e 39 | malicious users: 0 | test acc 0.8462 test loss 0.441529 best test_acc 0.9225
e 40 | malicious users: 0 | test acc 0.8621 test loss 0.395603 best test_acc 0.9225
e 41 | malicious users: 0 | test acc 0.8294 test loss 0.553944 best test_acc 0.9225
e 42 | malicious users: 0 | test acc 0.9265 test loss 0.363938 best test_acc 0.9265
e 43 | malicious users: 0 | test acc 0.9364 test loss 0.262671 best test_acc 0.9364
e 44 | malicious users: 0 | test acc 0.8297 test loss 0.554451 best test_acc 0.9364
e 45 | malicious users: 0 | test acc 0.8967 test loss 0.450434 best test_acc 0.9364
e 46 | malicious users: 0 | test acc 0.8920 test loss 0.379119 best test_acc 0.9364
e 47 | malicious users: 0 | test acc 0.9241 test loss 0.265026 best test_acc 0.9364
e 48 | malicious users: 0 | test acc 0.7617 test loss 0.587521 best test_acc 0.9364
e 49 | malicious users: 0 | test acc 0.8978 test loss 0.406536 best test_acc 0.9364
e 50 | malicious users: 0 | test acc 0.9353 test loss 0.266561 best test_acc 0.9364
e 51 | malicious users: 0 | test acc 0.8755 test loss 0.481974 best test_acc 0.9364
e 52 | malicious users: 0 | test acc 0.8823 test loss 0.369506 best test_acc 0.9364
e 53 | malicious users: 0 | test acc 0.8769 test loss 0.487269 best test_acc 0.9364
e 54 | malicious users: 0 | test acc 0.8264 test loss 0.520377 best test_acc 0.9364
e 55 | malicious users: 0 | test acc 0.8445 test loss 0.570594 best test_acc 0.9364
e 56 | malicious users: 0 | test acc 0.9222 test loss 0.432288 best test_acc 0.9364
e 57 | malicious users: 0 | test acc 0.9131 test loss 0.298483 best test_acc 0.9364
e 58 | malicious users: 0 | test acc 0.8061 test loss 0.634714 best test_acc 0.9364
e 59 | malicious users: 0 | test acc 0.9317 test loss 0.245072 best test_acc 0.9364
e 60 | malicious users: 0 | test acc 0.8273 test loss 0.502216 best test_acc 0.9364
e 61 | malicious users: 0 | test acc 0.8248 test loss 0.489213 best test_acc 0.9364
e 62 | malicious users: 0 | test acc 0.7393 test loss 0.754368 best test_acc 0.9364
e 63 | malicious users: 0 | test acc 0.8642 test loss 0.502279 best test_acc 0.9364
e 64 | malicious users: 0 | test acc 0.9120 test loss 0.345600 best test_acc 0.9364
e 65 | malicious users: 0 | test acc 0.9252 test loss 0.298068 best test_acc 0.9364
e 66 | malicious users: 0 | test acc 0.8153 test loss 0.614528 best test_acc 0.9364
e 67 | malicious users: 0 | test acc 0.9243 test loss 0.254125 best test_acc 0.9364
e 68 | malicious users: 0 | test acc 0.7936 test loss 0.664622 best test_acc 0.9364
e 69 | malicious users: 0 | test acc 0.8437 test loss 0.518472 best test_acc 0.9364
