=> Saving data in Logs/FRL~try=858
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.1
batch size is :  8
test batch size is:  128
10
84
87
98
127
143
179
234
398
400
414
427
473
512
524
534
558
574
582
671
734
767
820
823
876
881
889
921
958
use_cuda:  True
type of FL:  other_attacks_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
/home/test/anaconda3/envs/FRL_test/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:138: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
e 64 | malicious users: 5 | test acc 0.8468 test loss 0.784879 best test_acc 0.8896
e 65 | malicious users: 5 | test acc 0.7312 test loss 0.880009 best test_acc 0.8896
e 66 | malicious users: 5 | test acc 0.7608 test loss 1.132423 best test_acc 0.8896
e 67 | malicious users: 5 | test acc 0.8299 test loss 0.649237 best test_acc 0.8896
e 68 | malicious users: 5 | test acc 0.7655 test loss 1.062180 best test_acc 0.8896
e 69 | malicious users: 5 | test acc 0.8719 test loss 0.721605 best test_acc 0.8896
e 70 | malicious users: 5 | test acc 0.8419 test loss 0.811742 best test_acc 0.8896
e 71 | malicious users: 5 | test acc 0.6980 test loss 0.924997 best test_acc 0.8896
e 72 | malicious users: 5 | test acc 0.8667 test loss 0.740476 best test_acc 0.8896
e 73 | malicious users: 5 | test acc 0.8851 test loss 0.685756 best test_acc 0.8896
e 74 | malicious users: 5 | test acc 0.7999 test loss 0.746773 best test_acc 0.8896
e 75 | malicious users: 5 | test acc 0.8386 test loss 0.729694 best test_acc 0.8896
e 76 | malicious users: 5 | test acc 0.8470 test loss 0.802307 best test_acc 0.8896
e 77 | malicious users: 5 | test acc 0.7251 test loss 0.919333 best test_acc 0.8896
e 78 | malicious users: 5 | test acc 0.5946 test loss 1.032139 best test_acc 0.8896
e 79 | malicious users: 5 | test acc 0.8060 test loss 0.836298 best test_acc 0.8896
e 80 | malicious users: 5 | test acc 0.8472 test loss 0.782449 best test_acc 0.8896
e 81 | malicious users: 5 | test acc 0.8754 test loss 0.725205 best test_acc 0.8896
e 82 | malicious users: 5 | test acc 0.6513 test loss 1.275791 best test_acc 0.8896
e 83 | malicious users: 5 | test acc 0.7853 test loss 0.926536 best test_acc 0.8896
e 84 | malicious users: 5 | test acc 0.8418 test loss 0.865510 best test_acc 0.8896
e 85 | malicious users: 5 | test acc 0.6591 test loss 1.003821 best test_acc 0.8896
e 86 | malicious users: 5 | test acc 0.6623 test loss 0.989878 best test_acc 0.8896
e 87 | malicious users: 5 | test acc 0.5929 test loss 1.011251 best test_acc 0.8896
e 88 | malicious users: 5 | test acc 0.5063 test loss 1.133618 best test_acc 0.8896
