=> Saving data in Logs/MNISTmy_attack_defense~try=24
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  iid
batch size is :  32
test batch size is:  128
use_cuda:  True
type of FL:  my_attack_defense
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.00 | total number of malicious clients: 0
e 0 | malicious users: 0 | test acc 0.2347 test loss 2.297442 best test_acc 0.2347
e 1 | malicious users: 0 | test acc 0.2515 test loss 2.291831 best test_acc 0.2515
e 2 | malicious users: 0 | test acc 0.3451 test loss 2.286229 best test_acc 0.3451
e 3 | malicious users: 0 | test acc 0.4302 test loss 2.279685 best test_acc 0.4302
e 4 | malicious users: 0 | test acc 0.4211 test loss 2.274098 best test_acc 0.4302
e 5 | malicious users: 0 | test acc 0.4568 test loss 2.267160 best test_acc 0.4568
e 6 | malicious users: 0 | test acc 0.4795 test loss 2.258467 best test_acc 0.4795
e 7 | malicious users: 0 | test acc 0.5129 test loss 2.250829 best test_acc 0.5129
e 8 | malicious users: 0 | test acc 0.4887 test loss 2.241534 best test_acc 0.5129
e 9 | malicious users: 0 | test acc 0.5039 test loss 2.232203 best test_acc 0.5129
e 10 | malicious users: 0 | test acc 0.5040 test loss 2.220312 best test_acc 0.5129
e 11 | malicious users: 0 | test acc 0.5040 test loss 2.208690 best test_acc 0.5129
e 12 | malicious users: 0 | test acc 0.5481 test loss 2.194413 best test_acc 0.5481
e 13 | malicious users: 0 | test acc 0.5344 test loss 2.174829 best test_acc 0.5481
e 14 | malicious users: 0 | test acc 0.5312 test loss 2.159271 best test_acc 0.5481
e 15 | malicious users: 0 | test acc 0.5322 test loss 2.137631 best test_acc 0.5481
e 16 | malicious users: 0 | test acc 0.5555 test loss 2.106738 best test_acc 0.5555
e 17 | malicious users: 0 | test acc 0.6048 test loss 2.081174 best test_acc 0.6048
e 18 | malicious users: 0 | test acc 0.6189 test loss 2.041428 best test_acc 0.6189
e 19 | malicious users: 0 | test acc 0.6406 test loss 1.996840 best test_acc 0.6406
e 20 | malicious users: 0 | test acc 0.6520 test loss 1.932650 best test_acc 0.6520
e 21 | malicious users: 0 | test acc 0.6656 test loss 1.864850 best test_acc 0.6656
e 22 | malicious users: 0 | test acc 0.6890 test loss 1.767371 best test_acc 0.6890
e 23 | malicious users: 0 | test acc 0.6984 test loss 1.694467 best test_acc 0.6984
e 24 | malicious users: 0 | test acc 0.6696 test loss 1.628520 best test_acc 0.6984
e 25 | malicious users: 0 | test acc 0.6945 test loss 1.545459 best test_acc 0.6984
e 26 | malicious users: 0 | test acc 0.7190 test loss 1.451176 best test_acc 0.7190
e 27 | malicious users: 0 | test acc 0.7133 test loss 1.364607 best test_acc 0.7190
e 28 | malicious users: 0 | test acc 0.7554 test loss 1.279398 best test_acc 0.7554
e 29 | malicious users: 0 | test acc 0.7142 test loss 1.215769 best test_acc 0.7554
e 30 | malicious users: 0 | test acc 0.7604 test loss 1.159734 best test_acc 0.7604
e 31 | malicious users: 0 | test acc 0.7174 test loss 1.080046 best test_acc 0.7604
e 32 | malicious users: 0 | test acc 0.7525 test loss 1.028545 best test_acc 0.7604
e 33 | malicious users: 0 | test acc 0.7665 test loss 0.973983 best test_acc 0.7665
e 34 | malicious users: 0 | test acc 0.7523 test loss 0.939573 best test_acc 0.7665
e 35 | malicious users: 0 | test acc 0.7767 test loss 0.910119 best test_acc 0.7767
e 36 | malicious users: 0 | test acc 0.7627 test loss 0.892376 best test_acc 0.7767
e 37 | malicious users: 0 | test acc 0.8055 test loss 0.828584 best test_acc 0.8055
e 38 | malicious users: 0 | test acc 0.8043 test loss 0.811197 best test_acc 0.8055
e 39 | malicious users: 0 | test acc 0.7811 test loss 0.811691 best test_acc 0.8055
e 40 | malicious users: 0 | test acc 0.8132 test loss 0.775785 best test_acc 0.8132
e 41 | malicious users: 0 | test acc 0.7957 test loss 0.763836 best test_acc 0.8132
e 42 | malicious users: 0 | test acc 0.8228 test loss 0.734813 best test_acc 0.8228
e 43 | malicious users: 0 | test acc 0.8082 test loss 0.718984 best test_acc 0.8228
e 44 | malicious users: 0 | test acc 0.7961 test loss 0.727865 best test_acc 0.8228
e 45 | malicious users: 0 | test acc 0.8185 test loss 0.698005 best test_acc 0.8228
e 46 | malicious users: 0 | test acc 0.8355 test loss 0.667181 best test_acc 0.8355
