=> Saving data in Logs/FRL~try=482
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.5
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.15 | total number of malicious clients: 150
e 0 | malicious users: 3 | test acc 0.1838 test loss 2.247767 best test_acc 0.1838
e 1 | malicious users: 4 | test acc 0.2534 test loss 2.212794 best test_acc 0.2534
e 2 | malicious users: 4 | test acc 0.5585 test loss 2.077420 best test_acc 0.5585
e 3 | malicious users: 3 | test acc 0.5242 test loss 1.971214 best test_acc 0.5585
e 4 | malicious users: 7 | test acc 0.5766 test loss 1.883555 best test_acc 0.5766
e 5 | malicious users: 3 | test acc 0.5167 test loss 1.837908 best test_acc 0.5766
e 6 | malicious users: 2 | test acc 0.6477 test loss 1.441550 best test_acc 0.6477
e 7 | malicious users: 3 | test acc 0.5540 test loss 1.417580 best test_acc 0.6477
e 8 | malicious users: 2 | test acc 0.7506 test loss 1.300595 best test_acc 0.7506
e 9 | malicious users: 3 | test acc 0.5288 test loss 1.485409 best test_acc 0.7506
e 10 | malicious users: 5 | test acc 0.6261 test loss 1.463856 best test_acc 0.7506
e 11 | malicious users: 5 | test acc 0.6224 test loss 1.339861 best test_acc 0.7506
e 12 | malicious users: 4 | test acc 0.7503 test loss 1.083392 best test_acc 0.7506
e 13 | malicious users: 2 | test acc 0.6809 test loss 1.026465 best test_acc 0.7506
e 14 | malicious users: 12 | test acc 0.7538 test loss 1.663789 best test_acc 0.7538
e 15 | malicious users: 1 | test acc 0.6443 test loss 1.035382 best test_acc 0.7538
e 16 | malicious users: 6 | test acc 0.5638 test loss 1.509215 best test_acc 0.7538
e 17 | malicious users: 2 | test acc 0.7238 test loss 0.903831 best test_acc 0.7538
e 18 | malicious users: 3 | test acc 0.7072 test loss 1.044759 best test_acc 0.7538
e 19 | malicious users: 5 | test acc 0.6700 test loss 0.952275 best test_acc 0.7538
e 20 | malicious users: 2 | test acc 0.8053 test loss 0.841749 best test_acc 0.8053
e 21 | malicious users: 3 | test acc 0.7954 test loss 0.819427 best test_acc 0.8053
e 22 | malicious users: 4 | test acc 0.7145 test loss 0.929215 best test_acc 0.8053
e 23 | malicious users: 4 | test acc 0.6806 test loss 1.149085 best test_acc 0.8053
e 24 | malicious users: 2 | test acc 0.7644 test loss 0.735320 best test_acc 0.8053
e 25 | malicious users: 3 | test acc 0.7559 test loss 0.933210 best test_acc 0.8053
e 26 | malicious users: 4 | test acc 0.6718 test loss 1.302699 best test_acc 0.8053
e 27 | malicious users: 5 | test acc 0.7970 test loss 0.855068 best test_acc 0.8053
e 28 | malicious users: 3 | test acc 0.6949 test loss 0.892886 best test_acc 0.8053
e 29 | malicious users: 7 | test acc 0.7006 test loss 1.081787 best test_acc 0.8053
e 30 | malicious users: 2 | test acc 0.7360 test loss 0.832856 best test_acc 0.8053
e 31 | malicious users: 3 | test acc 0.7712 test loss 0.871009 best test_acc 0.8053
e 32 | malicious users: 0 | test acc 0.8705 test loss 0.686178 best test_acc 0.8705
e 33 | malicious users: 2 | test acc 0.7953 test loss 0.780314 best test_acc 0.8705
e 34 | malicious users: 3 | test acc 0.8112 test loss 0.794994 best test_acc 0.8705
e 35 | malicious users: 3 | test acc 0.8463 test loss 0.828114 best test_acc 0.8705
e 36 | malicious users: 5 | test acc 0.8788 test loss 0.670609 best test_acc 0.8788
e 37 | malicious users: 3 | test acc 0.7854 test loss 0.775801 best test_acc 0.8788
e 38 | malicious users: 3 | test acc 0.7921 test loss 0.755806 best test_acc 0.8788
e 39 | malicious users: 1 | test acc 0.7649 test loss 0.633576 best test_acc 0.8788
e 40 | malicious users: 6 | test acc 0.7771 test loss 0.812234 best test_acc 0.8788
e 41 | malicious users: 1 | test acc 0.7568 test loss 0.647956 best test_acc 0.8788
e 42 | malicious users: 5 | test acc 0.7253 test loss 1.031165 best test_acc 0.8788
e 43 | malicious users: 4 | test acc 0.7918 test loss 0.588627 best test_acc 0.8788
e 44 | malicious users: 1 | test acc 0.8267 test loss 0.718139 best test_acc 0.8788
e 45 | malicious users: 4 | test acc 0.8420 test loss 0.759799 best test_acc 0.8788
e 46 | malicious users: 3 | test acc 0.8682 test loss 0.608886 best test_acc 0.8788
