=> Saving data in Logs/FRL~try=925
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.1
batch size is :  8
test batch size is:  128
10
84
87
98
127
143
179
234
398
400
414
427
473
512
524
534
558
574
582
671
734
767
820
823
876
881
889
921
958
use_cuda:  True
type of FL:  FRL
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
/home/test/anaconda3/envs/FRL_test/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:138: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
e 64 | malicious users: 2 | test acc 0.8666 test loss 0.905137 best test_acc 0.8690
e 65 | malicious users: 3 | test acc 0.8996 test loss 0.800726 best test_acc 0.8996
e 66 | malicious users: 4 | test acc 0.8681 test loss 0.955130 best test_acc 0.8996
e 67 | malicious users: 5 | test acc 0.8197 test loss 1.005793 best test_acc 0.8996
e 68 | malicious users: 7 | test acc 0.7930 test loss 0.908257 best test_acc 0.8996
e 69 | malicious users: 6 | test acc 0.7595 test loss 0.826384 best test_acc 0.8996
e 70 | malicious users: 4 | test acc 0.8417 test loss 0.937142 best test_acc 0.8996
e 71 | malicious users: 3 | test acc 0.8733 test loss 0.868757 best test_acc 0.8996
e 72 | malicious users: 1 | test acc 0.8141 test loss 0.900520 best test_acc 0.8996
e 73 | malicious users: 3 | test acc 0.8206 test loss 0.910963 best test_acc 0.8996
e 74 | malicious users: 5 | test acc 0.8081 test loss 1.300059 best test_acc 0.8996
e 75 | malicious users: 8 | test acc 0.3539 test loss 1.543493 best test_acc 0.8996
e 76 | malicious users: 6 | test acc 0.6237 test loss 1.241704 best test_acc 0.8996
e 77 | malicious users: 6 | test acc 0.8611 test loss 0.936012 best test_acc 0.8996
e 78 | malicious users: 3 | test acc 0.9095 test loss 0.816128 best test_acc 0.9095
e 79 | malicious users: 4 | test acc 0.8926 test loss 0.775506 best test_acc 0.9095
e 80 | malicious users: 2 | test acc 0.8890 test loss 0.871658 best test_acc 0.9095
e 81 | malicious users: 8 | test acc 0.4843 test loss 1.371536 best test_acc 0.9095
e 82 | malicious users: 5 | test acc 0.7211 test loss 1.029497 best test_acc 0.9095
e 83 | malicious users: 3 | test acc 0.8833 test loss 0.988586 best test_acc 0.9095
e 84 | malicious users: 4 | test acc 0.8796 test loss 0.835002 best test_acc 0.9095
e 85 | malicious users: 6 | test acc 0.7858 test loss 0.959278 best test_acc 0.9095
e 86 | malicious users: 2 | test acc 0.8585 test loss 0.827532 best test_acc 0.9095
e 87 | malicious users: 4 | test acc 0.8967 test loss 0.706182 best test_acc 0.9095
e 88 | malicious users: 6 | test acc 0.7144 test loss 0.871206 best test_acc 0.9095
e 89 | malicious users: 7 | test acc 0.7960 test loss 0.860876 best test_acc 0.9095
e 90 | malicious users: 4 | test acc 0.8973 test loss 0.814446 best test_acc 0.9095
e 91 | malicious users: 9 | test acc 0.6221 test loss 1.206265 best test_acc 0.9095
e 92 | malicious users: 6 | test acc 0.7013 test loss 1.016460 best test_acc 0.9095
e 93 | malicious users: 8 | test acc 0.6595 test loss 1.163035 best test_acc 0.9095
e 94 | malicious users: 6 | test acc 0.7864 test loss 0.999897 best test_acc 0.9095
e 95 | malicious users: 2 | test acc 0.9241 test loss 0.756448 best test_acc 0.9241
e 96 | malicious users: 6 | test acc 0.8325 test loss 0.928805 best test_acc 0.9241
e 97 | malicious users: 3 | test acc 0.6872 test loss 0.916886 best test_acc 0.9241
e 98 | malicious users: 7 | test acc 0.8458 test loss 0.839589 best test_acc 0.9241
e 99 | malicious users: 9 | test acc 0.5506 test loss 1.319092 best test_acc 0.9241
e 100 | malicious users: 9 | test acc 0.6322 test loss 1.449951 best test_acc 0.9241
e 101 | malicious users: 8 | test acc 0.6313 test loss 1.198848 best test_acc 0.9241
e 102 | malicious users: 8 | test acc 0.3035 test loss 1.747663 best test_acc 0.9241
e 103 | malicious users: 3 | test acc 0.7390 test loss 1.208103 best test_acc 0.9241
e 104 | malicious users: 3 | test acc 0.8030 test loss 0.907303 best test_acc 0.9241
e 105 | malicious users: 5 | test acc 0.7809 test loss 0.906671 best test_acc 0.9241
e 106 | malicious users: 3 | test acc 0.8664 test loss 0.795434 best test_acc 0.9241
e 107 | malicious users: 4 | test acc 0.8885 test loss 0.741005 best test_acc 0.9241
e 108 | malicious users: 5 | test acc 0.8768 test loss 0.782627 best test_acc 0.9241
e 109 | malicious users: 6 | test acc 0.7782 test loss 0.830065 best test_acc 0.9241
e 110 | malicious users: 5 | test acc 0.7365 test loss 0.860185 best test_acc 0.9241
e 111 | malicious users: 8 | test acc 0.7865 test loss 1.404481 best test_acc 0.9241
e 112 | malicious users: 3 | test acc 0.8933 test loss 0.798843 best test_acc 0.9241
e 113 | malicious users: 1 | test acc 0.7662 test loss 0.945183 best test_acc 0.9241
e 114 | malicious users: 4 | test acc 0.8211 test loss 0.801330 best test_acc 0.9241
e 115 | malicious users: 2 | test acc 0.8964 test loss 0.871656 best test_acc 0.9241
e 116 | malicious users: 6 | test acc 0.7543 test loss 0.814329 best test_acc 0.9241
e 117 | malicious users: 8 | test acc 0.5259 test loss 1.305536 best test_acc 0.9241
e 118 | malicious users: 4 | test acc 0.8492 test loss 0.905614 best test_acc 0.9241
e 119 | malicious users: 6 | test acc 0.7464 test loss 0.864262 best test_acc 0.9241
e 120 | malicious users: 5 | test acc 0.8268 test loss 0.885861 best test_acc 0.9241
e 121 | malicious users: 5 | test acc 0.8431 test loss 0.955099 best test_acc 0.9241
e 122 | malicious users: 6 | test acc 0.8813 test loss 0.814943 best test_acc 0.9241
e 123 | malicious users: 2 | test acc 0.8724 test loss 0.678792 best test_acc 0.9241
e 124 | malicious users: 5 | test acc 0.7655 test loss 0.862719 best test_acc 0.9241
e 125 | malicious users: 8 | test acc 0.7029 test loss 0.928090 best test_acc 0.9241
e 126 | malicious users: 3 | test acc 0.7199 test loss 1.036968 best test_acc 0.9241
e 127 | malicious users: 2 | test acc 0.9188 test loss 0.716489 best test_acc 0.9241
e 128 | malicious users: 7 | test acc 0.7371 test loss 0.963827 best test_acc 0.9241
e 129 | malicious users: 5 | test acc 0.8361 test loss 0.750209 best test_acc 0.9241
e 130 | malicious users: 6 | test acc 0.7699 test loss 0.968934 best test_acc 0.9241
e 131 | malicious users: 4 | test acc 0.8218 test loss 0.777557 best test_acc 0.9241
e 132 | malicious users: 5 | test acc 0.7715 test loss 0.962345 best test_acc 0.9241
e 133 | malicious users: 8 | test acc 0.7480 test loss 0.865851 best test_acc 0.9241
e 134 | malicious users: 6 | test acc 0.7841 test loss 0.963365 best test_acc 0.9241
e 135 | malicious users: 7 | test acc 0.7582 test loss 0.966233 best test_acc 0.9241
