
fraction of maliciou clients: 0.10 | total number of malicious clients: 100
e 0 | malicious users: 5 | test acc 0.1861 test loss 2.176399 best test_acc 0.1861
e 1 | malicious users: 3 | test acc 0.3488 test loss 2.001945 best test_acc 0.3488
e 2 | malicious users: 1 | test acc 0.4720 test loss 1.807666 best test_acc 0.4720
e 3 | malicious users: 2 | test acc 0.6675 test loss 1.603600 best test_acc 0.6675
e 4 | malicious users: 1 | test acc 0.7330 test loss 1.362649 best test_acc 0.7330
e 5 | malicious users: 3 | test acc 0.7672 test loss 1.145184 best test_acc 0.7672
e 6 | malicious users: 2 | test acc 0.7877 test loss 0.997533 best test_acc 0.7877
e 7 | malicious users: 1 | test acc 0.7840 test loss 0.901255 best test_acc 0.7877
e 8 | malicious users: 5 | test acc 0.8062 test loss 0.789843 best test_acc 0.8062
e 9 | malicious users: 2 | test acc 0.8151 test loss 0.735855 best test_acc 0.8151
e 10 | malicious users: 4 | test acc 0.8396 test loss 0.647018 best test_acc 0.8396
e 11 | malicious users: 2 | test acc 0.8347 test loss 0.616099 best test_acc 0.8396
e 12 | malicious users: 3 | test acc 0.8588 test loss 0.550100 best test_acc 0.8588
e 13 | malicious users: 4 | test acc 0.8541 test loss 0.541145 best test_acc 0.8588
e 14 | malicious users: 3 | test acc 0.8713 test loss 0.502873 best test_acc 0.8713
e 15 | malicious users: 3 | test acc 0.8604 test loss 0.501424 best test_acc 0.8713
e 16 | malicious users: 3 | test acc 0.8809 test loss 0.463585 best test_acc 0.8809
e 17 | malicious users: 4 | test acc 0.8640 test loss 0.483046 best test_acc 0.8809
e 18 | malicious users: 3 | test acc 0.8811 test loss 0.458253 best test_acc 0.8811
e 19 | malicious users: 4 | test acc 0.8783 test loss 0.448888 best test_acc 0.8811
e 20 | malicious users: 2 | test acc 0.8756 test loss 0.450095 best test_acc 0.8811
e 21 | malicious users: 2 | test acc 0.8867 test loss 0.416796 best test_acc 0.8867
e 22 | malicious users: 1 | test acc 0.8892 test loss 0.417978 best test_acc 0.8892
e 23 | malicious users: 5 | test acc 0.8899 test loss 0.404351 best test_acc 0.8899
e 24 | malicious users: 2 | test acc 0.8888 test loss 0.396350 best test_acc 0.8899
e 25 | malicious users: 2 | test acc 0.8976 test loss 0.383350 best test_acc 0.8976
e 26 | malicious users: 3 | test acc 0.8982 test loss 0.377065 best test_acc 0.8982
e 27 | malicious users: 3 | test acc 0.8976 test loss 0.370337 best test_acc 0.8982
e 28 | malicious users: 6 | test acc 0.8942 test loss 0.379145 best test_acc 0.8982
e 29 | malicious users: 3 | test acc 0.8970 test loss 0.375447 best test_acc 0.8982
e 30 | malicious users: 0 | test acc 0.9040 test loss 0.349233 best test_acc 0.9040
e 31 | malicious users: 1 | test acc 0.8978 test loss 0.362334 best test_acc 0.9040
e 32 | malicious users: 4 | test acc 0.8936 test loss 0.372949 best test_acc 0.9040
e 33 | malicious users: 1 | test acc 0.9021 test loss 0.351855 best test_acc 0.9040
e 34 | malicious users: 0 | test acc 0.9052 test loss 0.351787 best test_acc 0.9052
e 35 | malicious users: 2 | test acc 0.9072 test loss 0.339409 best test_acc 0.9072
e 36 | malicious users: 5 | test acc 0.9078 test loss 0.341033 best test_acc 0.9078
e 37 | malicious users: 1 | test acc 0.9101 test loss 0.332884 best test_acc 0.9101
e 38 | malicious users: 1 | test acc 0.9055 test loss 0.336087 best test_acc 0.9101
e 39 | malicious users: 3 | test acc 0.9066 test loss 0.338447 best test_acc 0.9101
e 40 | malicious users: 4 | test acc 0.9057 test loss 0.338604 best test_acc 0.9101
e 41 | malicious users: 2 | test acc 0.9053 test loss 0.341588 best test_acc 0.9101
e 42 | malicious users: 2 | test acc 0.9100 test loss 0.324824 best test_acc 0.9101
e 43 | malicious users: 3 | test acc 0.9103 test loss 0.326572 best test_acc 0.9103
e 44 | malicious users: 1 | test acc 0.9099 test loss 0.321891 best test_acc 0.9103
e 45 | malicious users: 3 | test acc 0.9134 test loss 0.316041 best test_acc 0.9134
e 46 | malicious users: 2 | test acc 0.9116 test loss 0.314183 best test_acc 0.9134
e 47 | malicious users: 5 | test acc 0.8954 test loss 0.337587 best test_acc 0.9134
e 48 | malicious users: 5 | test acc 0.8982 test loss 0.345770 best test_acc 0.9134
e 49 | malicious users: 3 | test acc 0.9104 test loss 0.317588 best test_acc 0.9134
e 50 | malicious users: 2 | test acc 0.9115 test loss 0.306005 best test_acc 0.9134
e 51 | malicious users: 0 | test acc 0.9136 test loss 0.301863 best test_acc 0.9136
e 52 | malicious users: 3 | test acc 0.9153 test loss 0.301892 best test_acc 0.9153
e 53 | malicious users: 3 | test acc 0.9156 test loss 0.303563 best test_acc 0.9156
e 54 | malicious users: 4 | test acc 0.9159 test loss 0.303971 best test_acc 0.9159
e 55 | malicious users: 3 | test acc 0.9159 test loss 0.296531 best test_acc 0.9159
e 56 | malicious users: 2 | test acc 0.9214 test loss 0.292059 best test_acc 0.9214
e 57 | malicious users: 4 | test acc 0.9151 test loss 0.300801 best test_acc 0.9214
e 58 | malicious users: 2 | test acc 0.9187 test loss 0.292414 best test_acc 0.9214
e 59 | malicious users: 1 | test acc 0.9202 test loss 0.287801 best test_acc 0.9214
e 60 | malicious users: 5 | test acc 0.9180 test loss 0.286577 best test_acc 0.9214
e 61 | malicious users: 1 | test acc 0.9198 test loss 0.286526 best test_acc 0.9214
e 62 | malicious users: 1 | test acc 0.9157 test loss 0.289488 best test_acc 0.9214
e 63 | malicious users: 7 | test acc 0.9134 test loss 0.304868 best test_acc 0.9214
e 64 | malicious users: 1 | test acc 0.9210 test loss 0.280530 best test_acc 0.9214
e 65 | malicious users: 3 | test acc 0.9205 test loss 0.286435 best test_acc 0.9214
e 66 | malicious users: 2 | test acc 0.9218 test loss 0.275435 best test_acc 0.9218
e 67 | malicious users: 3 | test acc 0.9186 test loss 0.278990 best test_acc 0.9218
e 68 | malicious users: 2 | test acc 0.9243 test loss 0.273096 best test_acc 0.9243
e 69 | malicious users: 5 | test acc 0.9197 test loss 0.277456 best test_acc 0.9243
e 70 | malicious users: 2 | test acc 0.9210 test loss 0.273925 best test_acc 0.9243
