
fraction of maliciou clients: 0.10 | total number of malicious clients: 100
e 0 | malicious users: 2 | test acc 0.3994 test loss 2.147090 best test_acc 0.3994
e 1 | malicious users: 3 | test acc 0.7016 test loss 1.641856 best test_acc 0.7016
e 2 | malicious users: 3 | test acc 0.6236 test loss 1.619144 best test_acc 0.7016
e 3 | malicious users: 4 | test acc 0.6706 test loss 1.326741 best test_acc 0.7016
e 4 | malicious users: 2 | test acc 0.6769 test loss 0.975184 best test_acc 0.7016
e 5 | malicious users: 1 | test acc 0.7875 test loss 0.705548 best test_acc 0.7875
e 6 | malicious users: 3 | test acc 0.7493 test loss 0.982946 best test_acc 0.7875
e 7 | malicious users: 5 | test acc 0.8287 test loss 0.813525 best test_acc 0.8287
e 8 | malicious users: 3 | test acc 0.7690 test loss 0.843384 best test_acc 0.8287
e 9 | malicious users: 3 | test acc 0.7687 test loss 0.871564 best test_acc 0.8287
e 10 | malicious users: 1 | test acc 0.8676 test loss 0.489659 best test_acc 0.8676
e 11 | malicious users: 2 | test acc 0.8880 test loss 0.495609 best test_acc 0.8880
e 12 | malicious users: 2 | test acc 0.8047 test loss 0.581288 best test_acc 0.8880
e 13 | malicious users: 2 | test acc 0.8893 test loss 0.621524 best test_acc 0.8893
e 14 | malicious users: 4 | test acc 0.8349 test loss 0.636012 best test_acc 0.8893
e 15 | malicious users: 0 | test acc 0.8683 test loss 0.583672 best test_acc 0.8893
e 16 | malicious users: 2 | test acc 0.8850 test loss 0.450925 best test_acc 0.8893
e 17 | malicious users: 0 | test acc 0.9060 test loss 0.351229 best test_acc 0.9060
e 18 | malicious users: 2 | test acc 0.9040 test loss 0.457673 best test_acc 0.9060
e 19 | malicious users: 0 | test acc 0.8418 test loss 0.446718 best test_acc 0.9060
e 20 | malicious users: 0 | test acc 0.8446 test loss 0.471167 best test_acc 0.9060
e 21 | malicious users: 6 | test acc 0.9152 test loss 0.713701 best test_acc 0.9152
e 22 | malicious users: 3 | test acc 0.8474 test loss 0.781625 best test_acc 0.9152
e 23 | malicious users: 2 | test acc 0.9100 test loss 0.440723 best test_acc 0.9152
e 24 | malicious users: 0 | test acc 0.9167 test loss 0.357990 best test_acc 0.9167
e 25 | malicious users: 2 | test acc 0.8419 test loss 0.596190 best test_acc 0.9167
e 26 | malicious users: 3 | test acc 0.8634 test loss 0.531437 best test_acc 0.9167
e 27 | malicious users: 2 | test acc 0.9300 test loss 0.373244 best test_acc 0.9300
e 28 | malicious users: 1 | test acc 0.9222 test loss 0.414331 best test_acc 0.9300
e 29 | malicious users: 3 | test acc 0.9030 test loss 0.537756 best test_acc 0.9300
e 30 | malicious users: 4 | test acc 0.8968 test loss 0.724281 best test_acc 0.9300
e 31 | malicious users: 2 | test acc 0.9049 test loss 0.553454 best test_acc 0.9300
e 32 | malicious users: 2 | test acc 0.9062 test loss 0.522257 best test_acc 0.9300
e 33 | malicious users: 3 | test acc 0.8987 test loss 0.509751 best test_acc 0.9300
e 34 | malicious users: 3 | test acc 0.8775 test loss 0.667382 best test_acc 0.9300
e 35 | malicious users: 2 | test acc 0.9081 test loss 0.692262 best test_acc 0.9300
e 36 | malicious users: 1 | test acc 0.9218 test loss 0.330285 best test_acc 0.9300
e 37 | malicious users: 2 | test acc 0.9311 test loss 0.434604 best test_acc 0.9311
e 38 | malicious users: 3 | test acc 0.9256 test loss 0.507673 best test_acc 0.9311
e 39 | malicious users: 2 | test acc 0.9149 test loss 0.418817 best test_acc 0.9311
e 40 | malicious users: 2 | test acc 0.8955 test loss 0.518505 best test_acc 0.9311
e 41 | malicious users: 0 | test acc 0.9171 test loss 0.331382 best test_acc 0.9311
e 42 | malicious users: 3 | test acc 0.9268 test loss 0.500909 best test_acc 0.9311
e 43 | malicious users: 1 | test acc 0.9246 test loss 0.329008 best test_acc 0.9311
e 44 | malicious users: 3 | test acc 0.9191 test loss 0.471015 best test_acc 0.9311
e 45 | malicious users: 0 | test acc 0.9345 test loss 0.308586 best test_acc 0.9345
e 46 | malicious users: 5 | test acc 0.9333 test loss 0.587870 best test_acc 0.9345
e 47 | malicious users: 2 | test acc 0.8825 test loss 0.612181 best test_acc 0.9345
e 48 | malicious users: 3 | test acc 0.9199 test loss 0.553686 best test_acc 0.9345
e 49 | malicious users: 2 | test acc 0.8522 test loss 0.621072 best test_acc 0.9345
e 50 | malicious users: 0 | test acc 0.9325 test loss 0.320132 best test_acc 0.9345
e 51 | malicious users: 5 | test acc 0.9214 test loss 0.645172 best test_acc 0.9345
e 52 | malicious users: 2 | test acc 0.8981 test loss 0.447924 best test_acc 0.9345
e 53 | malicious users: 1 | test acc 0.9248 test loss 0.317689 best test_acc 0.9345
e 54 | malicious users: 2 | test acc 0.9177 test loss 0.444105 best test_acc 0.9345
e 55 | malicious users: 4 | test acc 0.8779 test loss 0.819931 best test_acc 0.9345
e 56 | malicious users: 6 | test acc 0.9158 test loss 0.872482 best test_acc 0.9345
e 57 | malicious users: 0 | test acc 0.8893 test loss 0.602327 best test_acc 0.9345
e 58 | malicious users: 4 | test acc 0.9169 test loss 0.467022 best test_acc 0.9345
e 59 | malicious users: 2 | test acc 0.9135 test loss 0.454184 best test_acc 0.9345
e 60 | malicious users: 3 | test acc 0.9259 test loss 0.460611 best test_acc 0.9345
e 61 | malicious users: 5 | test acc 0.9048 test loss 0.644482 best test_acc 0.9345
e 62 | malicious users: 0 | test acc 0.8383 test loss 0.590199 best test_acc 0.9345
e 63 | malicious users: 4 | test acc 0.9062 test loss 0.567081 best test_acc 0.9345
e 64 | malicious users: 2 | test acc 0.9102 test loss 0.447633 best test_acc 0.9345
e 65 | malicious users: 4 | test acc 0.9155 test loss 0.556516 best test_acc 0.9345
e 66 | malicious users: 3 | test acc 0.9219 test loss 0.465875 best test_acc 0.9345
e 67 | malicious users: 3 | test acc 0.9121 test loss 0.551909 best test_acc 0.9345
e 68 | malicious users: 4 | test acc 0.9132 test loss 0.717173 best test_acc 0.9345
e 69 | malicious users: 3 | test acc 0.9200 test loss 0.439811 best test_acc 0.9345
e 70 | malicious users: 2 | test acc 0.8735 test loss 0.577260 best test_acc 0.9345
e 71 | malicious users: 2 | test acc 0.9279 test loss 0.427376 best test_acc 0.9345
e 72 | malicious users: 4 | test acc 0.9166 test loss 0.572272 best test_acc 0.9345
e 73 | malicious users: 6 | test acc 0.8843 test loss 0.974287 best test_acc 0.9345
e 74 | malicious users: 4 | test acc 0.9004 test loss 0.533932 best test_acc 0.9345
e 75 | malicious users: 1 | test acc 0.9275 test loss 0.451093 best test_acc 0.9345
e 76 | malicious users: 1 | test acc 0.9141 test loss 0.344487 best test_acc 0.9345
e 77 | malicious users: 2 | test acc 0.9229 test loss 0.358773 best test_acc 0.9345
e 78 | malicious users: 2 | test acc 0.9325 test loss 0.333914 best test_acc 0.9345
e 79 | malicious users: 5 | test acc 0.9106 test loss 0.650746 best test_acc 0.9345
e 80 | malicious users: 3 | test acc 0.9209 test loss 0.489658 best test_acc 0.9345
e 81 | malicious users: 4 | test acc 0.9121 test loss 0.553010 best test_acc 0.9345
e 82 | malicious users: 0 | test acc 0.9291 test loss 0.320450 best test_acc 0.9345
e 83 | malicious users: 1 | test acc 0.9101 test loss 0.342045 best test_acc 0.9345
e 84 | malicious users: 3 | test acc 0.9385 test loss 0.334114 best test_acc 0.9385
e 85 | malicious users: 1 | test acc 0.9336 test loss 0.259122 best test_acc 0.9385
e 86 | malicious users: 3 | test acc 0.9314 test loss 0.462584 best test_acc 0.9385
e 87 | malicious users: 2 | test acc 0.9263 test loss 0.308140 best test_acc 0.9385
e 88 | malicious users: 2 | test acc 0.9208 test loss 0.392568 best test_acc 0.9385
e 89 | malicious users: 0 | test acc 0.9347 test loss 0.283991 best test_acc 0.9385
e 90 | malicious users: 1 | test acc 0.9352 test loss 0.262073 best test_acc 0.9385
e 91 | malicious users: 3 | test acc 0.9216 test loss 0.387399 best test_acc 0.9385
e 92 | malicious users: 1 | test acc 0.9209 test loss 0.315318 best test_acc 0.9385
e 93 | malicious users: 1 | test acc 0.9419 test loss 0.253094 best test_acc 0.9419
e 94 | malicious users: 0 | test acc 0.9384 test loss 0.221550 best test_acc 0.9419
e 95 | malicious users: 4 | test acc 0.9157 test loss 0.400923 best test_acc 0.9419
e 96 | malicious users: 2 | test acc 0.9235 test loss 0.379317 best test_acc 0.9419
