=> Saving data in Logs/FRL~try=821
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.5
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.2744 test loss 2.174476 best test_acc 0.2744
e 1 | malicious users: 5 | test acc 0.3551 test loss 2.117404 best test_acc 0.3551
e 2 | malicious users: 5 | test acc 0.4715 test loss 1.773944 best test_acc 0.4715
e 3 | malicious users: 5 | test acc 0.3706 test loss 1.615314 best test_acc 0.4715
e 4 | malicious users: 5 | test acc 0.5486 test loss 1.409140 best test_acc 0.5486
e 5 | malicious users: 5 | test acc 0.6572 test loss 1.308072 best test_acc 0.6572
e 6 | malicious users: 5 | test acc 0.7036 test loss 1.122108 best test_acc 0.7036
e 7 | malicious users: 5 | test acc 0.6184 test loss 1.149585 best test_acc 0.7036
e 8 | malicious users: 5 | test acc 0.6207 test loss 0.963626 best test_acc 0.7036
e 9 | malicious users: 5 | test acc 0.7415 test loss 1.133915 best test_acc 0.7415
e 10 | malicious users: 5 | test acc 0.6075 test loss 1.082924 best test_acc 0.7415
e 11 | malicious users: 5 | test acc 0.5376 test loss 1.270592 best test_acc 0.7415
e 12 | malicious users: 5 | test acc 0.6905 test loss 1.001382 best test_acc 0.7415
e 13 | malicious users: 5 | test acc 0.7231 test loss 0.839242 best test_acc 0.7415
e 14 | malicious users: 5 | test acc 0.6676 test loss 0.988526 best test_acc 0.7415
e 15 | malicious users: 5 | test acc 0.7572 test loss 0.748642 best test_acc 0.7572
e 16 | malicious users: 5 | test acc 0.5583 test loss 1.325039 best test_acc 0.7572
e 17 | malicious users: 5 | test acc 0.7637 test loss 0.748880 best test_acc 0.7637
e 18 | malicious users: 5 | test acc 0.6595 test loss 0.894715 best test_acc 0.7637
e 19 | malicious users: 5 | test acc 0.7158 test loss 0.751296 best test_acc 0.7637
e 20 | malicious users: 5 | test acc 0.7562 test loss 0.959465 best test_acc 0.7637
e 21 | malicious users: 5 | test acc 0.6694 test loss 0.902309 best test_acc 0.7637
e 22 | malicious users: 5 | test acc 0.5148 test loss 1.305136 best test_acc 0.7637
e 23 | malicious users: 5 | test acc 0.7844 test loss 0.776781 best test_acc 0.7844
e 24 | malicious users: 5 | test acc 0.5017 test loss 1.288163 best test_acc 0.7844
e 25 | malicious users: 5 | test acc 0.8179 test loss 0.788476 best test_acc 0.8179
e 26 | malicious users: 5 | test acc 0.7246 test loss 0.871232 best test_acc 0.8179
e 27 | malicious users: 5 | test acc 0.7216 test loss 0.860479 best test_acc 0.8179
e 28 | malicious users: 5 | test acc 0.5565 test loss 1.261392 best test_acc 0.8179
e 29 | malicious users: 5 | test acc 0.6692 test loss 0.935889 best test_acc 0.8179
e 30 | malicious users: 5 | test acc 0.7561 test loss 0.722984 best test_acc 0.8179
e 31 | malicious users: 5 | test acc 0.6946 test loss 0.978394 best test_acc 0.8179
e 32 | malicious users: 5 | test acc 0.6311 test loss 0.962513 best test_acc 0.8179
e 33 | malicious users: 5 | test acc 0.7564 test loss 0.733160 best test_acc 0.8179
e 34 | malicious users: 5 | test acc 0.8534 test loss 0.667303 best test_acc 0.8534
e 35 | malicious users: 5 | test acc 0.8025 test loss 0.746695 best test_acc 0.8534
e 36 | malicious users: 5 | test acc 0.7126 test loss 0.792274 best test_acc 0.8534
e 37 | malicious users: 5 | test acc 0.6723 test loss 0.963238 best test_acc 0.8534
e 38 | malicious users: 5 | test acc 0.8009 test loss 0.773711 best test_acc 0.8534
e 39 | malicious users: 5 | test acc 0.7283 test loss 0.798882 best test_acc 0.8534
e 40 | malicious users: 5 | test acc 0.7821 test loss 0.658037 best test_acc 0.8534
e 41 | malicious users: 5 | test acc 0.7471 test loss 0.960621 best test_acc 0.8534
e 42 | malicious users: 5 | test acc 0.6278 test loss 0.860975 best test_acc 0.8534
e 43 | malicious users: 5 | test acc 0.6986 test loss 0.853648 best test_acc 0.8534
e 44 | malicious users: 5 | test acc 0.6551 test loss 0.995158 best test_acc 0.8534
e 45 | malicious users: 5 | test acc 0.6605 test loss 0.919938 best test_acc 0.8534
e 46 | malicious users: 5 | test acc 0.8751 test loss 0.567311 best test_acc 0.8751
e 47 | malicious users: 5 | test acc 0.7330 test loss 0.824815 best test_acc 0.8751
e 48 | malicious users: 5 | test acc 0.6454 test loss 0.959348 best test_acc 0.8751
e 49 | malicious users: 5 | test acc 0.7237 test loss 0.823782 best test_acc 0.8751
e 50 | malicious users: 5 | test acc 0.7169 test loss 0.732312 best test_acc 0.8751
e 51 | malicious users: 5 | test acc 0.7901 test loss 1.020863 best test_acc 0.8751
e 52 | malicious users: 5 | test acc 0.7399 test loss 0.714501 best test_acc 0.8751
e 53 | malicious users: 5 | test acc 0.8166 test loss 0.855546 best test_acc 0.8751
e 54 | malicious users: 5 | test acc 0.8569 test loss 0.578584 best test_acc 0.8751
e 55 | malicious users: 5 | test acc 0.8003 test loss 0.757214 best test_acc 0.8751
e 56 | malicious users: 5 | test acc 0.6189 test loss 0.960457 best test_acc 0.8751
e 57 | malicious users: 5 | test acc 0.6479 test loss 1.014907 best test_acc 0.8751
e 58 | malicious users: 5 | test acc 0.6766 test loss 0.918653 best test_acc 0.8751
e 59 | malicious users: 5 | test acc 0.6486 test loss 1.120789 best test_acc 0.8751
e 60 | malicious users: 5 | test acc 0.7114 test loss 0.778793 best test_acc 0.8751
e 61 | malicious users: 5 | test acc 0.6697 test loss 1.078067 best test_acc 0.8751
e 62 | malicious users: 5 | test acc 0.7599 test loss 0.677211 best test_acc 0.8751
e 63 | malicious users: 5 | test acc 0.7338 test loss 1.016199 best test_acc 0.8751
e 64 | malicious users: 5 | test acc 0.8864 test loss 0.648493 best test_acc 0.8864
e 65 | malicious users: 5 | test acc 0.7428 test loss 0.845971 best test_acc 0.8864
e 66 | malicious users: 5 | test acc 0.6568 test loss 0.851452 best test_acc 0.8864
e 67 | malicious users: 5 | test acc 0.7587 test loss 0.739572 best test_acc 0.8864
e 68 | malicious users: 5 | test acc 0.7472 test loss 0.759117 best test_acc 0.8864
e 69 | malicious users: 5 | test acc 0.8230 test loss 0.767893 best test_acc 0.8864
e 70 | malicious users: 5 | test acc 0.6907 test loss 0.842107 best test_acc 0.8864
e 71 | malicious users: 5 | test acc 0.6918 test loss 0.917689 best test_acc 0.8864
e 72 | malicious users: 5 | test acc 0.7685 test loss 0.792933 best test_acc 0.8864
e 73 | malicious users: 5 | test acc 0.6370 test loss 0.901728 best test_acc 0.8864
e 74 | malicious users: 5 | test acc 0.7210 test loss 0.764783 best test_acc 0.8864
e 75 | malicious users: 5 | test acc 0.7608 test loss 0.783929 best test_acc 0.8864
e 76 | malicious users: 5 | test acc 0.7918 test loss 0.701559 best test_acc 0.8864
e 77 | malicious users: 5 | test acc 0.6882 test loss 0.968860 best test_acc 0.8864
e 78 | malicious users: 5 | test acc 0.8143 test loss 0.687156 best test_acc 0.8864
e 79 | malicious users: 5 | test acc 0.8086 test loss 0.778281 best test_acc 0.8864
e 80 | malicious users: 5 | test acc 0.8250 test loss 0.559926 best test_acc 0.8864
e 81 | malicious users: 5 | test acc 0.8271 test loss 0.685446 best test_acc 0.8864
e 82 | malicious users: 5 | test acc 0.8727 test loss 0.644244 best test_acc 0.8864
e 83 | malicious users: 5 | test acc 0.7965 test loss 0.634584 best test_acc 0.8864
e 84 | malicious users: 5 | test acc 0.7746 test loss 0.701697 best test_acc 0.8864
e 85 | malicious users: 5 | test acc 0.6562 test loss 0.935320 best test_acc 0.8864
e 86 | malicious users: 5 | test acc 0.7717 test loss 0.619654 best test_acc 0.8864
e 87 | malicious users: 5 | test acc 0.7135 test loss 0.849861 best test_acc 0.8864
e 88 | malicious users: 5 | test acc 0.6028 test loss 1.019588 best test_acc 0.8864
e 89 | malicious users: 5 | test acc 0.7419 test loss 0.815828 best test_acc 0.8864
e 90 | malicious users: 5 | test acc 0.6825 test loss 0.868856 best test_acc 0.8864
e 91 | malicious users: 5 | test acc 0.7382 test loss 0.889749 best test_acc 0.8864
e 92 | malicious users: 5 | test acc 0.6595 test loss 0.886469 best test_acc 0.8864
e 93 | malicious users: 5 | test acc 0.7341 test loss 0.791292 best test_acc 0.8864
e 94 | malicious users: 5 | test acc 0.8730 test loss 0.595865 best test_acc 0.8864
e 95 | malicious users: 5 | test acc 0.6977 test loss 0.827492 best test_acc 0.8864
e 96 | malicious users: 5 | test acc 0.7815 test loss 0.914116 best test_acc 0.8864
e 97 | malicious users: 5 | test acc 0.7958 test loss 0.570295 best test_acc 0.8864
e 98 | malicious users: 5 | test acc 0.7606 test loss 0.853552 best test_acc 0.8864
e 99 | malicious users: 5 | test acc 0.8661 test loss 0.631545 best test_acc 0.8864
e 100 | malicious users: 5 | test acc 0.7810 test loss 0.603611 best test_acc 0.8864
e 101 | malicious users: 5 | test acc 0.8466 test loss 0.660558 best test_acc 0.8864
e 102 | malicious users: 5 | test acc 0.7210 test loss 0.845816 best test_acc 0.8864
e 103 | malicious users: 5 | test acc 0.8363 test loss 0.654362 best test_acc 0.8864
