=> Saving data in Logs/FRL~try=543
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  1
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.05 | total number of malicious clients: 50
e 0 | malicious users: 0 | test acc 0.2184 test loss 2.200673 best test_acc 0.2184
e 1 | malicious users: 1 | test acc 0.5053 test loss 2.009176 best test_acc 0.5053
e 2 | malicious users: 4 | test acc 0.5564 test loss 1.603519 best test_acc 0.5564
e 3 | malicious users: 1 | test acc 0.6054 test loss 1.392568 best test_acc 0.6054
e 4 | malicious users: 2 | test acc 0.6237 test loss 1.233189 best test_acc 0.6237
e 5 | malicious users: 0 | test acc 0.5830 test loss 1.132950 best test_acc 0.6237
e 6 | malicious users: 1 | test acc 0.7324 test loss 0.898007 best test_acc 0.7324
e 7 | malicious users: 0 | test acc 0.7020 test loss 0.881185 best test_acc 0.7324
e 8 | malicious users: 1 | test acc 0.7273 test loss 0.919141 best test_acc 0.7324
e 9 | malicious users: 1 | test acc 0.7903 test loss 0.746330 best test_acc 0.7903
e 10 | malicious users: 2 | test acc 0.7732 test loss 0.874404 best test_acc 0.7903
e 11 | malicious users: 1 | test acc 0.7912 test loss 0.748723 best test_acc 0.7912
e 12 | malicious users: 1 | test acc 0.7264 test loss 0.803568 best test_acc 0.7912
e 13 | malicious users: 4 | test acc 0.7200 test loss 1.047878 best test_acc 0.7912
e 14 | malicious users: 2 | test acc 0.8896 test loss 0.449968 best test_acc 0.8896
e 15 | malicious users: 2 | test acc 0.8258 test loss 0.811879 best test_acc 0.8896
e 16 | malicious users: 1 | test acc 0.7974 test loss 0.514617 best test_acc 0.8896
e 17 | malicious users: 0 | test acc 0.8321 test loss 0.821640 best test_acc 0.8896
e 18 | malicious users: 2 | test acc 0.7421 test loss 0.702977 best test_acc 0.8896
e 19 | malicious users: 0 | test acc 0.7549 test loss 0.631049 best test_acc 0.8896
e 20 | malicious users: 0 | test acc 0.8289 test loss 0.592844 best test_acc 0.8896
e 21 | malicious users: 2 | test acc 0.8312 test loss 0.650101 best test_acc 0.8896
e 22 | malicious users: 0 | test acc 0.8366 test loss 0.519846 best test_acc 0.8896
e 23 | malicious users: 3 | test acc 0.8579 test loss 0.475428 best test_acc 0.8896
e 24 | malicious users: 2 | test acc 0.8158 test loss 0.564482 best test_acc 0.8896
e 25 | malicious users: 1 | test acc 0.8243 test loss 0.589240 best test_acc 0.8896
e 26 | malicious users: 2 | test acc 0.7779 test loss 0.698914 best test_acc 0.8896
e 27 | malicious users: 2 | test acc 0.8135 test loss 0.546800 best test_acc 0.8896
e 28 | malicious users: 1 | test acc 0.8712 test loss 0.509291 best test_acc 0.8896
e 29 | malicious users: 1 | test acc 0.8451 test loss 0.496501 best test_acc 0.8896
e 30 | malicious users: 3 | test acc 0.8193 test loss 0.513221 best test_acc 0.8896
e 31 | malicious users: 2 | test acc 0.8193 test loss 0.702210 best test_acc 0.8896
e 32 | malicious users: 2 | test acc 0.8637 test loss 0.569344 best test_acc 0.8896
e 33 | malicious users: 1 | test acc 0.8189 test loss 0.657227 best test_acc 0.8896
e 34 | malicious users: 2 | test acc 0.8486 test loss 0.536198 best test_acc 0.8896
e 35 | malicious users: 3 | test acc 0.8344 test loss 0.478595 best test_acc 0.8896
e 36 | malicious users: 0 | test acc 0.8946 test loss 0.434103 best test_acc 0.8946
e 37 | malicious users: 0 | test acc 0.8845 test loss 0.362831 best test_acc 0.8946
e 38 | malicious users: 1 | test acc 0.8137 test loss 0.543614 best test_acc 0.8946
e 39 | malicious users: 2 | test acc 0.9027 test loss 0.509092 best test_acc 0.9027
e 40 | malicious users: 2 | test acc 0.9399 test loss 0.258169 best test_acc 0.9399
e 41 | malicious users: 2 | test acc 0.9101 test loss 0.362043 best test_acc 0.9399
e 42 | malicious users: 1 | test acc 0.8491 test loss 0.528211 best test_acc 0.9399
e 43 | malicious users: 1 | test acc 0.8357 test loss 0.458883 best test_acc 0.9399
e 44 | malicious users: 0 | test acc 0.9278 test loss 0.314270 best test_acc 0.9399
e 45 | malicious users: 1 | test acc 0.9294 test loss 0.327506 best test_acc 0.9399
e 46 | malicious users: 1 | test acc 0.8385 test loss 0.480015 best test_acc 0.9399
e 47 | malicious users: 0 | test acc 0.8784 test loss 0.495399 best test_acc 0.9399
e 48 | malicious users: 1 | test acc 0.8404 test loss 0.475652 best test_acc 0.9399
e 49 | malicious users: 1 | test acc 0.7678 test loss 0.622288 best test_acc 0.9399
e 50 | malicious users: 1 | test acc 0.9003 test loss 0.357345 best test_acc 0.9399
e 51 | malicious users: 0 | test acc 0.7749 test loss 0.660836 best test_acc 0.9399
e 52 | malicious users: 1 | test acc 0.7164 test loss 0.713907 best test_acc 0.9399
e 53 | malicious users: 1 | test acc 0.8818 test loss 0.413690 best test_acc 0.9399
e 54 | malicious users: 3 | test acc 0.8478 test loss 0.539485 best test_acc 0.9399
e 55 | malicious users: 1 | test acc 0.8897 test loss 0.350160 best test_acc 0.9399
e 56 | malicious users: 2 | test acc 0.8453 test loss 0.497955 best test_acc 0.9399
e 57 | malicious users: 0 | test acc 0.8534 test loss 0.458509 best test_acc 0.9399
e 58 | malicious users: 2 | test acc 0.9137 test loss 0.535506 best test_acc 0.9399
e 59 | malicious users: 1 | test acc 0.8703 test loss 0.386100 best test_acc 0.9399
e 60 | malicious users: 3 | test acc 0.7319 test loss 0.796374 best test_acc 0.9399
e 61 | malicious users: 1 | test acc 0.9441 test loss 0.228440 best test_acc 0.9441
e 62 | malicious users: 1 | test acc 0.8550 test loss 0.653247 best test_acc 0.9441
e 63 | malicious users: 2 | test acc 0.8960 test loss 0.389647 best test_acc 0.9441
